"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"1","provincia","Antofagasta","p21","1990","Hombre","Empleados de Oficina",49340,42884,"[40494, 58043]","[36240, 49271]"
"2","provincia","Antofagasta","p21","1990","Hombre","Fuerzas Armadas",216536,144960,"[167321, 266803]","[108720, 194548]"
"3","provincia","Antofagasta","p21","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",280773,195640,"[171384, 386633]","[161580, 475200]"
"4","provincia","Antofagasta","p21","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",97018,76104,"[67076, 124177]","[54360, 93771]"
"5","provincia","Antofagasta","p21","1990","Hombre","Profesionales, Científicos e Intelectuales",146971,84828,"[115823, 176161]","[76104, 106681]"
"6","provincia","Antofagasta","p21","1990","Hombre","Técnicos y Profesionales de Nivel Medio",123295,56880,"[90912, 159912]","[40940, 72770]"
"7","provincia","Antofagasta","p21","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",78515,66440,"[68539, 90730]","[59638, 77085]"
"8","provincia","Antofagasta","p21","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",60478,49528,"[55628, 67653]","[48320, 55628]"
"9","provincia","Antofagasta","p21","1990","Hombre","Trabajadores de Servicios y Vendedores",81019,66440,"[72026, 93827]","[58558, 72480]"
"10","provincia","Arauco","p82","1990","Hombre","Empleados de Oficina",68194,38656,"[33737, 116038]","[24160, 58965]"
"11","provincia","Arauco","p82","1990","Hombre","Fuerzas Armadas",80475,60400,"[58022, 112297]","[48320, 103644]"
"12","provincia","Arauco","p82","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",297000,297000,"[198000, 396000]","[198000, 396000]"
"13","provincia","Arauco","p82","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",72480,72480,"[1477, 66629]","[1477, 66629]"
"14","provincia","Arauco","p82","1990","Hombre","Profesionales, Científicos e Intelectuales",67064,48320,"[50875, 88914]","[31408, 59925]"
"15","provincia","Arauco","p82","1990","Hombre","Técnicos y Profesionales de Nivel Medio",110468,51322,"[56774, 175415]","[36712, 73968]"
"16","provincia","Arauco","p82","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",39022,36240,"[36239, 41135]","[34056, 36240]"
"17","provincia","Arauco","p82","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",48457,36240,"[40765, 56042]","[36240, 46364]"
"18","provincia","Arauco","p82","1990","Hombre","Trabajadores de Servicios y Vendedores",52824,43488,"[43843, 61835]","[36240, 51480]"
"19","provincia","Arica","p151","1990","Hombre","Empleados de Oficina",68382,45300,"[49045, 90616]","[37448, 52346]"
"20","provincia","Arica","p151","1990","Hombre","Fuerzas Armadas",109029,84560,"[88085, 127431]","[74076, 120800]"
"21","provincia","Arica","p151","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",427349,362400,"[234753, 652999]","[156436, 725404]"
"22","provincia","Arica","p151","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",99124,96640,"[84891, 114534]","[84560, 118794]"
"23","provincia","Arica","p151","1990","Hombre","Profesionales, Científicos e Intelectuales",112231,72480,"[79703, 155213]","[60400, 99000]"
"24","provincia","Arica","p151","1990","Hombre","Técnicos y Profesionales de Nivel Medio",74162,56108,"[59024, 88606]","[36082, 66949]"
"25","provincia","Arica","p151","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",47983,39600,"[42903, 52429]","[36240, 49500]"
"26","provincia","Arica","p151","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",59994,48320,"[53524, 67635]","[42280, 54360]"
"27","provincia","Arica","p151","1990","Hombre","Trabajadores de Servicios y Vendedores",86533,59400,"[71067, 102280]","[59400, 60400]"
"28","provincia","Aysén","p112","1990","Hombre","Empleados de Oficina",68187,62816,"[54021, 89732]","[41978, 76104]"
"29","provincia","Aysén","p112","1990","Hombre","Fuerzas Armadas",163770,72480,"[77131, 290999]","[65232, 241600]"
"30","provincia","Aysén","p112","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",225878,207720,"[158682, 316800]","[131672, 356400]"
"31","provincia","Aysén","p112","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",163080,163080,"[144960, 181200]","[144960, 181200]"
"32","provincia","Aysén","p112","1990","Hombre","Profesionales, Científicos e Intelectuales",140834,99000,"[111398, 180628]","[79954, 116406]"
"33","provincia","Aysén","p112","1990","Hombre","Técnicos y Profesionales de Nivel Medio",137371,99000,"[91668, 193654]","[59400, 159900]"
"34","provincia","Aysén","p112","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",50141,36240,"[41244, 61000]","[31408, 50332]"
"35","provincia","Aysén","p112","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",60903,57984,"[52900, 68777]","[46917, 62816]"
"36","provincia","Aysén","p112","1990","Hombre","Trabajadores de Servicios y Vendedores",67422,57984,"[56210, 79919]","[51480, 64024]"
"37","provincia","Aysén","p112","1990","Hombre","Trabajadores No Calificados",33824,33824,"[689, 31094]","[689, 31094]"
"38","provincia","Bíobío","p83","1990","Hombre","Empleados de Oficina",33898,31408,"[27598, 42493]","[27784, 37920]"
"39","provincia","Bíobío","p83","1990","Hombre","Fuerzas Armadas",163780,114760,"[119225, 217226]","[78520, 205360]"
"40","provincia","Bíobío","p83","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",476794,476794,"[9713, 438301]","[9713, 438301]"
"41","provincia","Bíobío","p83","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",90600,90600,"[60400, 120800]","[60400, 120800]"
"42","provincia","Bíobío","p83","1990","Hombre","Profesionales, Científicos e Intelectuales",235813,49500,"[112644, 403808]","[36240, 59400]"
"43","provincia","Bíobío","p83","1990","Hombre","Técnicos y Profesionales de Nivel Medio",54729,59400,"[43939, 69671]","[36240, 79200]"
"44","provincia","Bíobío","p83","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",41213,36240,"[36494, 46385]","[31686, 44756]"
"45","provincia","Bíobío","p83","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",47078,36240,"[39568, 58919]","[33824, 42280]"
"46","provincia","Bíobío","p83","1990","Hombre","Trabajadores de Servicios y Vendedores",127341,47520,"[46809, 290797]","[42280, 54360]"
"47","provincia","Bíobío","p83","1990","Hombre","Trabajadores No Calificados",48049,48049,"[979, 44171]","[979, 44171]"
"48","provincia","Cachapoal","p61","1990","Hombre","Empleados de Oficina",45215,36240,"[38808, 53771]","[31408, 39586]"
"49","provincia","Cachapoal","p61","1990","Hombre","Fuerzas Armadas",171218,120800,"[142442, 196901]","[96640, 157397]"
"50","provincia","Cachapoal","p61","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",450500,450500,"[297000, 604000]","[297000, 604000]"
"51","provincia","Cachapoal","p61","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",87379,96640,"[48320, 117176]","[48320, 117176]"
"52","provincia","Cachapoal","p61","1990","Hombre","Profesionales, Científicos e Intelectuales",186446,103860,"[125691, 261839]","[86898, 120800]"
"53","provincia","Cachapoal","p61","1990","Hombre","Técnicos y Profesionales de Nivel Medio",120222,59900,"[84532, 182294]","[49190, 89100]"
"54","provincia","Cachapoal","p61","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",48045,36240,"[44392, 51619]","[36240, 36240]"
"55","provincia","Cachapoal","p61","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",78239,66440,"[69206, 84974]","[59400, 72480]"
"56","provincia","Cachapoal","p61","1990","Hombre","Trabajadores de Servicios y Vendedores",73093,59400,"[64720, 82665]","[50087, 69089]"
"57","provincia","Cachapoal","p61","1990","Hombre","Trabajadores No Calificados",25542,25542,"[521, 23481]","[521, 23481]"
"58","provincia","Cardenal Caro","p62","1990","Hombre","Empleados de Oficina",75104,75104,"[31408, 118800]","[31408, 118800]"
"59","provincia","Cardenal Caro","p62","1990","Hombre","Fuerzas Armadas",69460,69460,"[62816, 76104]","[62816, 76104]"
"60","provincia","Cardenal Caro","p62","1990","Hombre","Profesionales, Científicos e Intelectuales",71854,67041,"[50944, 97541]","[60946, 84560]"
"61","provincia","Cardenal Caro","p62","1990","Hombre","Técnicos y Profesionales de Nivel Medio",77756,59400,"[44632, 126061]","[29700, 178200]"
"62","provincia","Cardenal Caro","p62","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",32593,32617,"[28475, 39456]","[21744, 34126]"
"63","provincia","Cardenal Caro","p62","1990","Hombre","Trabajadores de Artes Mecánicas y Otros",19800,19800,"[404, 18202]","[404, 18202]"
"64","provincia","Cardenal Caro","p62","1990","Hombre","Trabajadores de Servicios y Vendedores",33299,31408,"[19251, 50821]","[8456, 65867]"
"65","provincia","Cauquenes","p72","1990","Hombre","Empleados de Oficina",18788,21980,"[8594, 25972]","[3406, 27784]"
"66","provincia","Cauquenes","p72","1990","Hombre","Fuerzas Armadas",73890,60400,"[58974, 92622]","[54360, 96640]"
"67","provincia","Cauquenes","p72","1990","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",2131000,2131000,"[302000, 3960000]","[302000, 3960000]"
"68","provincia","Cauquenes","p72","1990","Hombre","Operadores y Montadores de Instalaciones y Máquinas",36240,36240,"[739, 33315]","[739, 33315]"
"69","provincia","Cauquenes","p72","1990","Hombre","Profesionales, Científicos e Intelectuales",59242,39600,"[40492, 78773]","[20019, 59400]"
"70","provincia","Cauquenes","p72","1990","Hombre","Técnicos y Profesionales de Nivel Medio",41109,25604,"[24455, 69043]","[16912, 69300]"
"71","provincia","Cauquenes","p72","1990","Hombre","Trabajadores Agropecuarios y Pesqueros",30831,29700,"[25827, 36379]","[26269, 32329]"
