"","geography_level","geography_name","geography_id","year","sexo","oficio","mean_income","median_income","ci_mean_income","ci_median_income"
"1","region","Antofagasta","2","1990","Hombre","Empleados de Oficina",47186,37508,"[41082, 51377]","[36240, 47730]"
"2","region","Araucanía","9","1990","Hombre","Empleados de Oficina",66385,34732,"[44692, 103750]","[31408, 37980]"
"3","region","Arica y Parinacota","15","1990","Hombre","Empleados de Oficina",68382,45300,"[49045, 90616]","[37448, 52346]"
"4","region","Atacama","3","1990","Hombre","Empleados de Oficina",41126,36240,"[37293, 44873]","[34186, 41987]"
"5","region","Aysén","11","1990","Hombre","Empleados de Oficina",55142,48320,"[46096, 65143]","[36240, 54360]"
"6","region","Bíobío","8","1990","Hombre","Empleados de Oficina",71065,36240,"[40385, 125287]","[33824, 38593]"
"7","region","Coquimbo","4","1990","Hombre","Empleados de Oficina",45171,33824,"[38162, 53066]","[31408, 37480]"
"8","region","Los Lagos","10","1990","Hombre","Empleados de Oficina",45573,33166,"[35876, 59609]","[31408, 36240]"
"9","region","Los Ríos","14","1990","Hombre","Empleados de Oficina",38653,31408,"[32367, 48060]","[31408, 36557]"
"10","region","Magallanes","12","1990","Hombre","Empleados de Oficina",52964,37448,"[41371, 64609]","[31408, 48320]"
"11","region","Maule","7","1990","Hombre","Empleados de Oficina",49451,31408,"[39456, 64036]","[31408, 39600]"
"12","region","Metropolitana","13","1990","Hombre","Empleados de Oficina",54071,38656,"[49366, 60542]","[37332, 42280]"
"13","region","O'Higgins","6","1990","Hombre","Empleados de Oficina",43735,35636,"[37979, 49714]","[31408, 38111]"
"14","region","Tarapacá","1","1990","Hombre","Empleados de Oficina",79196,48320,"[48421, 124172]","[40377, 59504]"
"15","region","Valparaíso","5","1990","Hombre","Empleados de Oficina",49144,33824,"[39549, 60045]","[31408, 36240]"
"16","region","Antofagasta","2","1990","Hombre","Fuerzas Armadas",212652,129256,"[175569, 257947]","[115047, 181200]"
"17","region","Araucanía","9","1990","Hombre","Fuerzas Armadas",101877,89100,"[91845, 112258]","[77312, 97908]"
"18","region","Arica y Parinacota","15","1990","Hombre","Fuerzas Armadas",109029,84560,"[88085, 127431]","[74076, 120800]"
"19","region","Atacama","3","1990","Hombre","Fuerzas Armadas",212642,157040,"[177868, 258627]","[120800, 221215]"
"20","region","Aysén","11","1990","Hombre","Fuerzas Armadas",153162,157040,"[106236, 193539]","[66440, 169120]"
