"","sexo","oficio","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Hombre","Empleados de Oficina","Alhué",49387,33660,117810,NA,131323,171667,248935,204357,436475,NA,240000,5e+05
"2","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Alhué",78520,303000,1086079,NA,217523,1023736,343409,1282027,308100,NA,4e+05,526269
"3","Hombre","Profesionales, Científicos e Intelectuales","Alhué",87709,158804,254464,NA,293670,NA,347500,394405,497250,NA,750000,6e+05
"4","Hombre","Técnicos y Profesionales de Nivel Medio","Alhué",63170,128760,117810,NA,269825,224835,585969,202000,689794,NA,314250,487500
"5","Hombre","Trabajadores Agropecuarios y Pesqueros","Alhué",40214,65478,75382,NA,99230,148803,157440,202420,267938,229068,372857,271429
"6","Hombre","Trabajadores de Artes Mecánicas y Otros","Alhué",47354,96901,114433,NA,158768,206301,231168,298291,387686,298480,391429,417510
"7","Hombre","Trabajadores de Servicios y Vendedores","Alhué",44316,125248,84433,NA,94055,76000,181598,222630,460243,342040,NA,277640
"8","Hombre","Empleados de Oficina","Andacollo",34056,61430,147798,NA,153210,257000,348800,136350,331500,437600,495000,486667
"9","Hombre","Profesionales, Científicos e Intelectuales","Andacollo",82753,NA,NA,NA,515387,4e+05,6e+05,361184,389512,1310776,3e+05,518528
"10","Hombre","Técnicos y Profesionales de Nivel Medio","Andacollo",33884,NA,82467,NA,371480,179380,397500,466933,349700,NA,643333,550000
"11","Hombre","Trabajadores Agropecuarios y Pesqueros","Andacollo",52378,NA,48625,48000,73155,98459,148002,120089,203340,272393,140667,240000
"12","Hombre","Trabajadores de Artes Mecánicas y Otros","Andacollo",51791,78001,113466,117726,130200,126355,188745,215575,477932,357054,303814,379920
"13","Hombre","Trabajadores de Servicios y Vendedores","Andacollo",30200,220945,65851,75751,157026,91520,190070,123000,455780,30810,215000,206000
"14","Hombre","Empleados de Oficina","Angol",41418,76867,107100,1632250,185539,204347,233200,247450,252171,344245,375753,305071
"15","Hombre","Fuerzas Armadas","Angol",152546,60356,182070,173333,200800,354052,225000,NA,NA,456198,440000,540000
"16","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Angol",297000,166590,196690,544563,315593,448770,613280,801400,1747539,947750,1003846,547500
"17","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Angol",72480,57268,174728,162234,129020,140266,218598,267038,254146,246446,397248,404307
"18","Hombre","Profesionales, Científicos e Intelectuales","Angol",163701,69030,315973,498500,371204,637257,611073,920574,872950,917066,761118,1122829
"19","Hombre","Técnicos y Profesionales de Nivel Medio","Angol",139449,126896,149696,185684,180064,310273,309968,470083,280614,647023,389459,569708
"20","Hombre","Trabajadores Agropecuarios y Pesqueros","Angol",33385,61196,179633,93819,116067,78388,138722,125748,278299,240053,194838,211750
"21","Hombre","Trabajadores de Artes Mecánicas y Otros","Angol",50621,63265,100406,102878,122677,123718,150925,207612,240507,291474,346809,287941
"22","Hombre","Trabajadores de Servicios y Vendedores","Angol",35032,48765,98434,159975,148463,206607,180782,211945,185963,448493,394482,350600
"23","Hombre","Empleados de Oficina","Antofagasta",51764,139275,154616,186072,229898,334040,268093,245313,327675,483016,459476,793002
"24","Hombre","Fuerzas Armadas","Antofagasta",224976,105869,152164,357600,NA,150000,385167,707000,NA,687645,531429,490000
"25","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Antofagasta",301288,217573,262143,1229343,595651,1419409,870333,679754,1573362,1530598,1498802,905255
"26","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Antofagasta",97018,127915,162025,271235,317129,314832,269159,406654,436379,557324,578654,568351
"27","Hombre","Profesionales, Científicos e Intelectuales","Antofagasta",139301,354259,695529,874665,1042738,1344944,721862,695391,1074416,1181354,1288589,1416553
"28","Hombre","Técnicos y Profesionales de Nivel Medio","Antofagasta",125954,182206,202997,394859,611357,606053,374012,366708,655684,802358,813950,777629
"29","Hombre","Trabajadores Agropecuarios y Pesqueros","Antofagasta",88179,77325,93251,199623,224825,115865,244352,800280,318500,299610,332348,317937
"30","Hombre","Trabajadores de Artes Mecánicas y Otros","Antofagasta",58581,118622,133868,199888,279652,219002,287511,340704,399018,556835,523246,575364
"31","Hombre","Trabajadores de Servicios y Vendedores","Antofagasta",81247,100519,90719,152756,379044,190982,213553,248048,341338,425860,465068,443019
"32","Hombre","Empleados de Oficina","Arica",68382,161435,150810,183346,223210,208267,221700,228633,313488,434568,362368,483000
"33","Hombre","Fuerzas Armadas","Arica",109029,142779,223152,NA,217868,341950,328571,469650,373269,698052,698091,562818
"34","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Arica",427349,569062,491735,1078786,644028,534474,390996,296340,834167,917448,548923,732960
"35","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Arica",99124,101811,240072,145829,173777,166567,283587,287769,365840,485188,382416,345006
"36","Hombre","Profesionales, Científicos e Intelectuales","Arica",112231,228892,415779,433183,375680,1214607,690189,558077,611205,741778,870623,1148597
"37","Hombre","Técnicos y Profesionales de Nivel Medio","Arica",74162,273670,126174,259601,485604,265311,409321,206664,702760,613168,486612,643095
