"","sexo","oficio","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Hombre","Empleados de Oficina",54045,120320,153539,198596,230941,222313,235979,259782,355534,398385,374958,449428
"2","Hombre","Fuerzas Armadas",164866,147487,191611,203633,262126,280323,416730,428908,561087,729544,652706,753188
"3","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos",554517,534293,634669,760936,863645,658940,1034343,935690,1049471,1157884,929720,1071034
"4","Hombre","Operadores y Montadores de Instalaciones y Máquinas",90285,106909,133911,170220,196681,194000,211983,256572,347122,420389,382987,417179
"5","Hombre","Profesionales, Científicos e Intelectuales",128300,374306,440228,559464,774599,699763,827243,884909,951468,1150363,1108240,1220495
"6","Hombre","Técnicos y Profesionales de Nivel Medio",111240,204445,231997,307053,368155,350138,413874,443886,512172,610133,615140,663409
"7","Hombre","Trabajadores Agropecuarios y Pesqueros",42851,97917,82994,142527,150683,128451,154636,185585,262307,297125,224853,270330
"8","Hombre","Trabajadores de Artes Mecánicas y Otros",61220,98969,124619,156288,185214,179705,206393,247665,314497,389476,336094,366658
"9","Hombre","Trabajadores de Servicios y Vendedores",71364,110635,123579,169336,179936,181757,189229,245359,328846,355179,329851,373921
"10","Hombre","Trabajadores No Calificados",64442,56643,67590,83969,100708,103629,114914,140189,197978,252222,231698,274070
"11","Mujer","Empleados de Oficina",32377,85233,114746,136487,163789,163613,176811,196180,254083,292917,303803,350601
"12","Mujer","Fuerzas Armadas",78546,96928,132498,191889,228980,215909,386250,334536,384741,622611,422768,790813
"13","Mujer","Miembros del Poder Ejecutivo y Cuerpos Legislativos",364163,308386,299294,468608,406982,327201,415753,468837,594893,577764,413275,479340
"14","Mujer","Operadores y Montadores de Instalaciones y Máquinas",77379,94410,90377,133896,150206,148270,189019,194194,275802,388062,269029,299668
"15","Mujer","Profesionales, Científicos e Intelectuales",73962,159844,208481,276000,377905,364419,443637,494832,563168,726270,722696,818772
"16","Mujer","Técnicos y Profesionales de Nivel Medio",70572,120347,146303,198034,241748,235920,282888,305224,332051,453902,429645,479247
"17","Mujer","Trabajadores Agropecuarios y Pesqueros",41004,77377,70230,88897,108962,91882,115961,141544,193217,199668,183737,212418
"18","Mujer","Trabajadores de Artes Mecánicas y Otros",40990,65282,80188,107768,121398,114353,125267,149026,213383,223002,163819,192351
"19","Mujer","Trabajadores de Servicios y Vendedores",47823,77096,89641,112167,126060,123247,132704,159352,231297,240743,221606,254017
"20","Mujer","Trabajadores No Calificados",61535,42625,56086,64709,81583,83504,92966,112063,154114,175664,172175,205469
