"","sexo","oficio","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Hombre","Empleados de Oficina","Antofagasta",49340,146075,156158,202119,229352,281476,248214,273354,422260,481105,461110,745685
"2","Hombre","Fuerzas Armadas","Antofagasta",216536,108015,152164,323200,195780,329333,380143,707000,NA,649897,531429,490000
"3","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Antofagasta",280773,208329,554006,1018070,542445,1095164,776470,746314,1203432,1544597,1291754,1036080
"4","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Antofagasta",97018,125827,155682,218312,275935,259041,272364,349330,420699,556367,573259,598500
"5","Hombre","Profesionales, Científicos e Intelectuales","Antofagasta",146971,311606,551991,700828,765714,961217,583436,1173348,941121,1166373,1278095,1349572
"6","Hombre","Técnicos y Profesionales de Nivel Medio","Antofagasta",123295,181703,194447,301896,538848,449760,353002,670515,641015,793164,796570,766690
"7","Hombre","Trabajadores Agropecuarios y Pesqueros","Antofagasta",78515,94488,84309,144622,157632,161555,215882,303223,418599,448822,390405,303306
"8","Hombre","Trabajadores de Artes Mecánicas y Otros","Antofagasta",60478,125315,132420,202183,272081,213369,298184,370788,407156,554732,511263,529356
"9","Hombre","Trabajadores de Servicios y Vendedores","Antofagasta",81019,110448,91358,162389,309341,194447,195364,316383,332187,446115,473208,450476
"10","Hombre","Empleados de Oficina","Arauco",68194,93079,128383,208939,177928,167854,183061,199601,276326,503240,354368,399364
"11","Hombre","Fuerzas Armadas","Arauco",80475,81977,NA,60000,277773,254539,NA,NA,221000,NA,NA,404701
"12","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Arauco",297000,481224,270455,331568,311293,318630,503258,428118,1291333,574898,585060,368577
"13","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Arauco",72480,86902,96796,131992,140814,180113,187022,195120,266057,309957,355868,376539
"14","Hombre","Profesionales, Científicos e Intelectuales","Arauco",67064,243285,183910,242301,474069,572607,482951,469831,717344,742007,811910,843318
"15","Hombre","Técnicos y Profesionales de Nivel Medio","Arauco",110468,197652,122704,390675,305881,202285,358816,336980,403243,331383,459352,469961
"16","Hombre","Trabajadores Agropecuarios y Pesqueros","Arauco",39022,105464,61720,101834,118705,112391,168206,130603,205937,201841,175927,236350
"17","Hombre","Trabajadores de Artes Mecánicas y Otros","Arauco",48457,75434,91297,120609,121474,150636,208222,176646,221408,299508,227933,294594
"18","Hombre","Trabajadores de Servicios y Vendedores","Arauco",52824,98133,84071,152587,145016,147615,154964,178661,237603,226482,416745,343893
"19","Hombre","Empleados de Oficina","Arica",68382,161435,150810,183346,223210,191371,210467,215961,310103,428651,367416,483000
"20","Hombre","Fuerzas Armadas","Arica",109029,142779,223152,NA,217868,341950,328571,469650,373269,698052,698091,562818
"21","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Arica",427349,569062,491735,1078786,593347,479635,375608,303945,834167,909143,545732,732960
"22","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Arica",99124,101811,240072,145829,166962,166076,272320,279116,351303,484585,382296,370713
"23","Hombre","Profesionales, Científicos e Intelectuales","Arica",112231,228892,415779,433183,405541,921341,559142,519035,611205,741778,876002,1127605
"24","Hombre","Técnicos y Profesionales de Nivel Medio","Arica",74162,273670,126174,259601,438868,265311,385189,203479,702760,613168,486612,613985
"25","Hombre","Trabajadores Agropecuarios y Pesqueros","Arica",47983,86007,111141,329650,154870,149525,189512,178292,297321,443946,227905,194689
"26","Hombre","Trabajadores de Artes Mecánicas y Otros","Arica",59994,111161,139940,131435,188773,123323,167327,218569,370781,454681,324316,374669
"27","Hombre","Trabajadores de Servicios y Vendedores","Arica",86533,123376,137095,139210,233223,145808,131835,246563,315195,355772,345718,333467
"28","Hombre","Empleados de Oficina","Aysén",68187,133972,190281,231333,248992,317500,330250,356656,459845,436046,341585,465462
"29","Hombre","Fuerzas Armadas","Aysén",163770,NA,NA,224000,345264,336000,NA,303000,644583,520744,875040,806667
"30","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Aysén",225878,812375,477476,659350,458426,1130563,507916,676955,406276,1126105,1071053,834667
"31","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Aysén",163080,106291,118904,165414,196675,213424,260519,375406,417429,389611,360423,402636
"32","Hombre","Profesionales, Científicos e Intelectuales","Aysén",140834,346937,313268,376778,457799,937474,579146,683831,874250,958023,1058433,928500
"33","Hombre","Técnicos y Profesionales de Nivel Medio","Aysén",137371,135913,186660,187497,350312,316576,563552,450355,578643,677986,703071,551923
"34","Hombre","Trabajadores Agropecuarios y Pesqueros","Aysén",50141,129345,113309,223446,170375,162212,219439,290177,375294,404020,292525,420869
"35","Hombre","Trabajadores de Artes Mecánicas y Otros","Aysén",60903,125621,93028,122917,182651,178710,251070,283536,376112,385722,316672,405200
"36","Hombre","Trabajadores de Servicios y Vendedores","Aysén",67422,82966,138694,182414,144310,163818,257374,426191,512274,556542,370052,424500
"37","Hombre","Trabajadores No Calificados","Aysén",33824,62016,72392,101698,97475,126197,134414,207133,241647,331613,261493,292720
"38","Hombre","Empleados de Oficina","Bíobío",33898,87530,137394,146766,257534,183457,212966,250166,344693,313455,349796,382602
"39","Hombre","Fuerzas Armadas","Bíobío",163780,118030,119595,NA,244307,212407,NA,232300,528190,454010,388571,578958
"40","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Bíobío",476794,232607,364116,727853,602224,418037,567079,601200,767778,1056720,442576,1143732
"41","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Bíobío",90600,92056,97416,145809,150688,162491,187379,224413,333184,299447,330123,381110
"42","Hombre","Profesionales, Científicos e Intelectuales","Bíobío",235813,184068,252316,447855,730218,682558,433948,614797,622228,716531,804707,983881
"43","Hombre","Técnicos y Profesionales de Nivel Medio","Bíobío",54729,121500,184697,334343,350757,333549,322776,352513,379181,503942,447859,474400
"44","Hombre","Trabajadores Agropecuarios y Pesqueros","Bíobío",41213,78558,67249,191623,168334,120231,125830,140167,202162,260801,217195,243487
"45","Hombre","Trabajadores de Artes Mecánicas y Otros","Bíobío",47078,82093,92864,148069,148830,156094,175463,204425,271665,311244,319221,319457
"46","Hombre","Trabajadores de Servicios y Vendedores","Bíobío",127341,71043,86719,137045,138060,175332,156605,237014,277134,287154,273793,377977
"47","Hombre","Trabajadores No Calificados","Bíobío",48049,45812,57250,65575,85142,88217,102204,123400,175638,202181,211687,250371
"48","Hombre","Empleados de Oficina","Cachapoal",45215,134891,189312,214486,219060,224233,234976,235376,360775,335850,412731,531229
"49","Hombre","Fuerzas Armadas","Cachapoal",171218,117172,149940,137500,118221,152000,NA,303000,284538,547000,453333,611429
"50","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Cachapoal",450500,595587,762944,688906,586596,550926,663723,700397,656573,732381,754333,745828
"51","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Cachapoal",87379,127115,124506,156111,177669,195210,225570,259730,337460,366865,387739,416205
"52","Hombre","Profesionales, Científicos e Intelectuales","Cachapoal",186446,372881,484513,433406,846771,604587,774972,753906,1040836,988060,931359,1128114
"53","Hombre","Técnicos y Profesionales de Nivel Medio","Cachapoal",120222,198248,277881,280609,400361,379346,394385,454510,427285,564468,558009,685240
"54","Hombre","Trabajadores Agropecuarios y Pesqueros","Cachapoal",48045,142564,142122,142097,199796,154633,173004,218168,331337,318318,256100,327389
"55","Hombre","Trabajadores de Artes Mecánicas y Otros","Cachapoal",78239,122543,140028,160875,201256,187907,220436,261212,314045,366523,336121,384535
"56","Hombre","Trabajadores de Servicios y Vendedores","Cachapoal",73093,142815,130606,164899,142763,158870,198952,233042,329066,297323,284193,352588
"57","Hombre","Trabajadores No Calificados","Cachapoal",25542,55401,70012,82959,93936,103945,121062,145009,201915,251098,235141,270359
"58","Hombre","Empleados de Oficina","Cardenal Caro",75104,NA,91035,112500,184234,166919,110000,242063,263133,366217,452857,455600
"59","Hombre","Fuerzas Armadas","Cardenal Caro",69460,125541,NA,NA,NA,342000,NA,NA,NA,NA,340000,NA
"60","Hombre","Profesionales, Científicos e Intelectuales","Cardenal Caro",71854,48925,147262,172500,436482,419585,1435900,338152,610740,678258,5e+05,880930
"61","Hombre","Técnicos y Profesionales de Nivel Medio","Cardenal Caro",77756,103366,118490,257588,150597,292618,356000,300450,456540,433756,470000,656047
"62","Hombre","Trabajadores Agropecuarios y Pesqueros","Cardenal Caro",32593,42290,66353,124402,153646,127941,143526,173413,310459,308076,222208,216329
