"","sexo","region","oficio","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Hombre","Antofagasta","Empleados de Oficina",47186,146411,170391,203938,235925,293794,267920,276159,437682,472392,445086,709467
"2","Hombre","Araucanía","Empleados de Oficina",66385,97557,179713,190334,176463,174354,245499,244956,302741,335175,344505,327799
"3","Hombre","Arica y Parinacota","Empleados de Oficina",68382,161435,150810,192263,385434,188989,197385,222186,310103,423332,364939,466647
"4","Hombre","Atacama","Empleados de Oficina",41126,165260,174702,226828,205632,301158,222007,266077,326510,462918,450878,512157
"5","Hombre","Aysén","Empleados de Oficina",55142,119096,170981,207326,214349,350129,317947,352524,505905,417789,366298,686205
"6","Hombre","Bíobío","Empleados de Oficina",71065,95475,129256,164893,224429,190773,206378,230316,322769,388639,334947,411102
"7","Hombre","Coquimbo","Empleados de Oficina",45171,99945,110528,173727,206040,189083,229462,230437,400353,406009,408582,447561
"8","Hombre","Los Lagos","Empleados de Oficina",45573,91613,147157,157930,190360,187081,226212,245110,352627,396337,360098,408428
"9","Hombre","Los Ríos","Empleados de Oficina",38653,106886,127746,150905,279932,253144,177289,281470,445297,307482,302462,343405
"10","Hombre","Magallanes","Empleados de Oficina",52964,194451,191917,184502,231207,237412,268841,300764,478024,547907,429243,536091
"11","Hombre","Maule","Empleados de Oficina",49451,95212,125564,134488,215013,185167,182444,213189,359611,338104,328870,427523
"12","Hombre","Metropolitana","Empleados de Oficina",54071,121573,159514,222159,247767,230508,257219,283281,363300,392043,374051,441144
"13","Hombre","O'Higgins","Empleados de Oficina",43735,131512,172352,181396,209296,228334,220578,226021,312653,335942,406897,490368
"14","Hombre","Tarapacá","Empleados de Oficina",79196,91098,167348,196330,279072,216633,218817,269764,375257,407150,432890,431955
"15","Hombre","Valparaíso","Empleados de Oficina",49144,113727,151775,205400,208299,226017,230228,243951,336275,371302,352837,420083
"16","Hombre","Antofagasta","Fuerzas Armadas",212652,124122,152164,300622,188919,329333,380143,586172,570917,602333,531429,532000
"17","Hombre","Araucanía","Fuerzas Armadas",101877,100326,215256,185000,299460,311581,234058,270175,220971,353636,324500,478571
"18","Hombre","Arica y Parinacota","Fuerzas Armadas",109029,142779,223152,180000,321509,341950,328571,466620,414676,698052,698091,562818
"19","Hombre","Atacama","Fuerzas Armadas",212642,196001,127181,193000,238450,262500,247500,323200,607750,522385,8e+05,1103333
"20","Hombre","Aysén","Fuerzas Armadas",153162,171644,303896,200933,411910,366607,450000,681180,686021,908035,905126,873333
"21","Hombre","Bíobío","Fuerzas Armadas",117292,114379,148499,159267,238222,250776,362201,299283,497172,678856,535913,586946
"22","Hombre","Coquimbo","Fuerzas Armadas",137937,94782,146251,NA,156122,4e+05,470000,NA,NA,NA,302167,6e+05
"23","Hombre","Los Lagos","Fuerzas Armadas",176415,121249,175376,195000,291160,370000,345778,441840,589279,224228,595143,467500
"24","Hombre","Los Ríos","Fuerzas Armadas",142463,87986,222232,166813,145580,261773,3e+05,536226,552500,769778,576099,453571
"25","Hombre","Magallanes","Fuerzas Armadas",169089,161022,190835,214056,333381,348551,452809,497813,774344,841805,672788,805765
"26","Hombre","Maule","Fuerzas Armadas",143047,104916,167890,242500,233957,265333,435100,231674,349409,712271,376667,762170
"27","Hombre","Metropolitana","Fuerzas Armadas",181769,172169,237970,215910,246055,253468,508165,374646,521239,702501,874293,1245319
"28","Hombre","O'Higgins","Fuerzas Armadas",153147,114343,154700,193000,134737,196245,4e+05,300980,281775,547000,412500,611429
"29","Hombre","Tarapacá","Fuerzas Armadas",214503,238522,175067,259375,251703,386082,258554,521833,459266,638912,659338,666606
"30","Hombre","Valparaíso","Fuerzas Armadas",160931,124963,126734,161080,217717,225652,300314,344073,449196,664886,608187,684046
"31","Hombre","Antofagasta","Miembros del Poder Ejecutivo y Cuerpos Legislativos",517967,214824,458607,852025,545282,807070,712652,769244,1199924,1522335,1089087,976616
"32","Hombre","Araucanía","Miembros del Poder Ejecutivo y Cuerpos Legislativos",394440,292373,482526,449013,778687,590908,647869,701676,760415,643592,808506,812904
"33","Hombre","Arica y Parinacota","Miembros del Poder Ejecutivo y Cuerpos Legislativos",427349,569062,491735,944749,474115,470706,371537,278206,881617,909143,544339,693333
"34","Hombre","Atacama","Miembros del Poder Ejecutivo y Cuerpos Legislativos",770882,256561,308025,815612,386971,501718,559474,647357,530085,846186,796772,843909
"35","Hombre","Aysén","Miembros del Poder Ejecutivo y Cuerpos Legislativos",273585,578194,490329,597765,468250,912883,862569,706917,795944,1173210,901858,809337
"36","Hombre","Bíobío","Miembros del Poder Ejecutivo y Cuerpos Legislativos",461864,411333,292222,498652,799135,411846,667297,758929,818606,1016061,630230,724091
"37","Hombre","Coquimbo","Miembros del Poder Ejecutivo y Cuerpos Legislativos",510744,256470,443370,496894,475311,427688,674402,887489,689613,806062,817768,839094
"38","Hombre","Los Lagos","Miembros del Poder Ejecutivo y Cuerpos Legislativos",729605,386887,588877,703351,629562,529221,692269,861802,913979,1246297,781533,588912
"39","Hombre","Los Ríos","Miembros del Poder Ejecutivo y Cuerpos Legislativos",416428,202675,517111,665533,468302,429107,549391,785495,729003,813841,833362,594343
"40","Hombre","Magallanes","Miembros del Poder Ejecutivo y Cuerpos Legislativos",244620,803013,472134,625730,2835204,1031290,2321588,1199245,1250117,2278927,1360218,1892308
"41","Hombre","Maule","Miembros del Poder Ejecutivo y Cuerpos Legislativos",957814,398740,390376,509230,538321,729305,606937,617086,903927,737683,708583,608445
"42","Hombre","Metropolitana","Miembros del Poder Ejecutivo y Cuerpos Legislativos",542781,761047,1394172,1033521,1271503,983611,1754837,1431322,1482799,1802680,1456498,1607336
"43","Hombre","O'Higgins","Miembros del Poder Ejecutivo y Cuerpos Legislativos",381078,575447,706279,573304,573142,416682,572422,665964,617362,791080,701836,674728
"44","Hombre","Tarapacá","Miembros del Poder Ejecutivo y Cuerpos Legislativos",633256,466660,688094,463430,514338,597332,598678,750292,912541,1020099,848208,950730
"45","Hombre","Valparaíso","Miembros del Poder Ejecutivo y Cuerpos Legislativos",621722,572460,347766,647343,580376,525346,642666,813214,841547,881007,855652,808020
"46","Hombre","Antofagasta","Operadores y Montadores de Instalaciones y Máquinas",91003,126024,165768,223406,264857,267428,286017,332153,472218,566435,564993,626886
"47","Hombre","Araucanía","Operadores y Montadores de Instalaciones y Máquinas",75540,77716,149237,146161,146509,151547,164356,233240,311467,325916,299923,351707
"48","Hombre","Arica y Parinacota","Operadores y Montadores de Instalaciones y Máquinas",99124,101811,240072,142617,165902,170174,243384,263056,344177,484070,381591,380662
"49","Hombre","Atacama","Operadores y Montadores de Instalaciones y Máquinas",177173,122761,151691,195232,205670,238074,252031,318944,419764,535259,500818,561188
"50","Hombre","Aysén","Operadores y Montadores de Instalaciones y Máquinas",127545,93561,123244,184087,201325,202492,262355,340267,387886,433948,369837,407702
"51","Hombre","Bíobío","Operadores y Montadores de Instalaciones y Máquinas",93318,85986,97533,134211,163478,169920,186270,210009,303889,320471,332968,371462
"52","Hombre","Coquimbo","Operadores y Montadores de Instalaciones y Máquinas",184824,106787,132395,149889,188257,195742,226898,249861,371607,421033,415708,437661
"53","Hombre","Los Lagos","Operadores y Montadores de Instalaciones y Máquinas",81180,104128,126997,175334,166344,170003,195304,242529,328082,354071,310841,339809
"54","Hombre","Los Ríos","Operadores y Montadores de Instalaciones y Máquinas",66742,95092,116983,138931,154558,148063,208767,215166,288570,351582,286572,347244
"55","Hombre","Magallanes","Operadores y Montadores de Instalaciones y Máquinas",117685,147370,180130,196501,244398,240810,240896,291573,527036,593795,457811,510390
"56","Hombre","Maule","Operadores y Montadores de Instalaciones y Máquinas",70038,99179,98035,144397,159718,169560,173871,227566,292994,346467,329696,362104
"57","Hombre","Metropolitana","Operadores y Montadores de Instalaciones y Máquinas",69024,110591,142446,188864,210453,203946,227699,278342,361099,379550,362364,426958
"58","Hombre","O'Higgins","Operadores y Montadores de Instalaciones y Máquinas",80030,120426,117376,149971,178965,179957,213680,237980,328215,352033,358909,398749
"59","Hombre","Tarapacá","Operadores y Montadores de Instalaciones y Máquinas",112876,137352,136890,229091,235219,234197,239094,317008,404579,512526,513270,499807
"60","Hombre","Valparaíso","Operadores y Montadores de Instalaciones y Máquinas",84995,115006,154305,174895,209199,217650,218491,268638,346608,369492,370661,389513
"61","Hombre","Antofagasta","Profesionales, Científicos e Intelectuales",122177,346058,544621,643056,755192,861308,651101,940670,959240,1136041,1189120,1280143
"62","Hombre","Araucanía","Profesionales, Científicos e Intelectuales",123398,164903,283409,328567,385312,548349,656013,605559,706042,923568,854701,896115
"63","Hombre","Arica y Parinacota","Profesionales, Científicos e Intelectuales",112231,228892,415779,398971,410093,786280,474767,519335,573416,734379,878324,1129053
"64","Hombre","Atacama","Profesionales, Científicos e Intelectuales",142662,327172,373687,385775,572907,577735,760349,717126,765116,1039451,1277446,1224450
"65","Hombre","Aysén","Profesionales, Científicos e Intelectuales",123080,439692,274137,310964,1782434,1186393,679602,740427,1058430,1311621,1161480,1144551
"66","Hombre","Bíobío","Profesionales, Científicos e Intelectuales",117421,192345,250647,413724,533636,569080,576525,664416,698230,1227797,891650,992772
"67","Hombre","Coquimbo","Profesionales, Científicos e Intelectuales",100485,212650,289836,527329,553656,406517,620902,679240,787535,861578,916439,1048080
"68","Hombre","Los Lagos","Profesionales, Científicos e Intelectuales",207067,322794,461997,378997,492244,616602,590044,648773,696226,887777,1124345,1024318
"69","Hombre","Los Ríos","Profesionales, Científicos e Intelectuales",96455,331604,271713,304252,719550,454063,643748,619683,621932,803869,850514,817587
"70","Hombre","Magallanes","Profesionales, Científicos e Intelectuales",168962,343277,339679,363076,503253,528850,662108,675916,1241452,1082683,1041455,1340859
"71","Hombre","Maule","Profesionales, Científicos e Intelectuales",115616,217230,245310,433014,508061,519091,483345,636215,765676,797896,843792,966530
"72","Hombre","Metropolitana","Profesionales, Científicos e Intelectuales",122915,515061,611201,743853,1005289,882300,1121104,1183848,1216750,1545838,1372502,1476142
"73","Hombre","O'Higgins","Profesionales, Científicos e Intelectuales",153871,341585,450526,465722,689437,526913,746557,640114,932559,921924,891897,1082900
"74","Hombre","Tarapacá","Profesionales, Científicos e Intelectuales",140091,311131,309493,621281,585319,468085,539633,509027,904262,1090394,1245441,1124346
"75","Hombre","Valparaíso","Profesionales, Científicos e Intelectuales",129633,329821,388643,474032,635819,776066,643273,881110,960708,1181519,1095211,1131828
"76","Hombre","Antofagasta","Técnicos y Profesionales de Nivel Medio",130333,230346,269965,305184,461450,432564,466375,528564,655539,761149,749242,798996
"77","Hombre","Araucanía","Técnicos y Profesionales de Nivel Medio",132624,172938,217634,241939,294275,281568,293188,375647,381520,543888,451884,508683
