"","sexo","oficio","comuna","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Hombre","Empleados de Oficina","Alhué",45904,33660,85680,NA,110440,150000,232413,181800,436475,NA,240000,5e+05
"2","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Alhué",78520,293550,302600,NA,188375,314802,410742,610380,308100,NA,4e+05,378806
"3","Hombre","Profesionales, Científicos e Intelectuales","Alhué",78520,139490,159579,NA,276100,NA,365000,393900,497250,NA,750000,665000
"4","Hombre","Técnicos y Profesionales de Nivel Medio","Alhué",63170,128760,117810,NA,140560,2e+05,190000,202000,430950,NA,3e+05,550000
"5","Hombre","Trabajadores Agropecuarios y Pesqueros","Alhué",36240,55796,64260,NA,90360,117500,150000,148203,193394,185980,4e+05,3e+05
"6","Hombre","Trabajadores de Artes Mecánicas y Otros","Alhué",37920,88065,91035,NA,150600,181300,2e+05,259630,412729,218800,250000,350000
"7","Hombre","Trabajadores de Servicios y Vendedores","Alhué",32616,136990,74970,NA,80822,76000,144000,266760,513500,342040,NA,260000
"8","Hombre","Empleados de Oficina","Andacollo",34056,61430,147798,NA,158632,257000,296400,136350,331500,437600,495000,4e+05
"9","Hombre","Profesionales, Científicos e Intelectuales","Andacollo",79200,NA,NA,NA,301200,4e+05,6e+05,222200,375700,1310776,3e+05,518528
"10","Hombre","Técnicos y Profesionales de Nivel Medio","Andacollo",33884,NA,82467,NA,296180,148000,425000,505000,351325,NA,530000,550000
"11","Hombre","Trabajadores Agropecuarios y Pesqueros","Andacollo",51944,NA,63225,48000,80320,85411,1e+05,103743,201292,276400,90000,240000
"12","Hombre","Trabajadores de Artes Mecánicas y Otros","Andacollo",49500,64380,91035,120000,120480,104780,150000,190798,332124,341328,280000,335000
"13","Hombre","Trabajadores de Servicios y Vendedores","Andacollo",30200,117420,73364,70000,150600,90000,155000,121200,295360,30810,215000,1e+05
"14","Hombre","Empleados de Oficina","Angol",28475,59015,107100,1632250,140560,165000,2e+05,207050,182325,218800,360000,280000
"15","Hombre","Fuerzas Armadas","Angol",132880,56332,182070,2e+05,200800,350000,225000,NA,NA,437600,440000,420000
"16","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Angol",297000,152646,90780,440000,293250,321750,3e+05,345800,320153,951100,7e+05,275000
"17","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Angol",72480,55796,181560,150000,90360,120000,217360,294650,222859,202254,348144,406554
"18","Hombre","Profesionales, Científicos e Intelectuales","Angol",127520,64380,214200,475000,351120,520000,650000,988000,828750,667340,7e+05,806640
"19","Hombre","Técnicos y Profesionales de Nivel Medio","Angol",39600,85840,135482,170000,138440,2e+05,296400,575700,235365,547000,375000,4e+05
"20","Hombre","Trabajadores Agropecuarios y Pesqueros","Angol",31408,46676,101745,58000,86846,80000,98800,102010,179562,191743,2e+05,190000
"21","Hombre","Trabajadores de Artes Mecánicas y Otros","Angol",45904,72374,74970,80000,100400,1e+05,115000,212100,205400,199108,250000,250000
"22","Hombre","Trabajadores de Servicios y Vendedores","Angol",35032,46139,85680,91250,111946,1e+05,165000,151500,188460,410800,250000,250000
"23","Hombre","Empleados de Oficina","Antofagasta",43488,107300,128520,180000,170680,260000,235000,242400,276250,382900,350000,5e+05
"24","Hombre","Fuerzas Armadas","Antofagasta",144960,89059,149940,349120,NA,150000,4e+05,707000,NA,707122,520000,490000
"25","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Antofagasta",198000,146775,230010,569375,355810,547800,573040,533520,936724,1027000,1e+06,483570
"26","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Antofagasta",76104,96570,123165,208956,251000,276950,250000,303000,442000,437600,5e+05,550000
"27","Hombre","Profesionales, Científicos e Intelectuales","Antofagasta",84560,289710,535500,6e+05,552200,1e+06,6e+05,535300,1049750,875200,1e+06,1e+06
"28","Hombre","Técnicos y Profesionales de Nivel Medio","Antofagasta",51930,139490,149940,312000,445175,5e+05,345588,252500,442000,547000,6e+05,690000
"29","Hombre","Trabajadores Agropecuarios y Pesqueros","Antofagasta",79200,68495,90780,199623,244375,118690,202540,800280,276250,308100,299392,3e+05
"30","Hombre","Trabajadores de Artes Mecánicas y Otros","Antofagasta",48320,88065,113475,160000,200800,190000,240000,252500,375700,470420,475000,450000
"31","Hombre","Trabajadores de Servicios y Vendedores","Antofagasta",61608,75110,74970,150000,200800,180000,180000,202000,287300,328200,380000,4e+05
"32","Hombre","Empleados de Oficina","Arica",45300,104618,149940,160000,189756,191300,215000,161600,276250,328200,3e+05,450000
"33","Hombre","Fuerzas Armadas","Arica",84560,150220,235620,NA,217868,341950,4e+05,434300,370175,645296,575000,525000
"34","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Arica",362400,231975,278460,561825,234600,365200,256880,128440,616200,513500,3e+05,4e+05
"35","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Arica",96640,64380,128520,120000,150600,140000,218560,252500,281775,382900,350000,3e+05
"36","Hombre","Profesionales, Científicos e Intelectuales","Arica",72480,214600,281006,290000,321330,535000,4e+05,404000,552500,656400,655000,836193
"37","Hombre","Técnicos y Profesionales de Nivel Medio","Arica",56108,214600,107100,255000,431720,2e+05,180000,174550,442000,508710,4e+05,503798
"38","Hombre","Trabajadores Agropecuarios y Pesqueros","Arica",39600,42920,75650,147096,138705,1e+05,158080,197600,308100,308100,210000,240000
"39","Hombre","Trabajadores de Artes Mecánicas y Otros","Arica",48320,83694,107100,120000,120480,120000,138029,189700,331500,306320,280000,3e+05
"40","Hombre","Trabajadores de Servicios y Vendedores","Arica",59400,80690,98940,130000,200800,122500,113000,151500,198900,273500,250000,277106
"41","Hombre","Empleados de Oficina","Aysén",62816,112665,142443,175000,301200,270000,275000,202000,464100,350080,350000,350000
"42","Hombre","Fuerzas Armadas","Aysén",72480,NA,NA,268000,396580,3e+05,NA,303000,663000,547000,950040,6e+05
"43","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Aysén",207720,309206,226950,303896,301200,456500,561400,395200,513500,924300,6e+05,650000
"44","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Aysén",163080,96570,96390,119500,147588,140000,2e+05,252500,276250,270260,320000,380000
"45","Hombre","Profesionales, Científicos e Intelectuales","Aysén",99000,429200,257040,380145,451800,654000,505000,828200,585650,616200,750000,850000
"46","Hombre","Técnicos y Profesionales de Nivel Medio","Aysén",99000,134125,214200,195000,461840,260000,304500,338350,560613,656400,590000,520000
"47","Hombre","Trabajadores Agropecuarios y Pesqueros","Aysén",36240,65233,90780,104000,136338,127820,197600,202000,276250,318150,230000,3e+05
"48","Hombre","Trabajadores de Artes Mecánicas y Otros","Aysén",57984,88065,85680,120000,145580,128910,150000,282800,221000,306320,250000,3e+05
"49","Hombre","Trabajadores de Servicios y Vendedores","Aysén",57984,53650,61582,204300,140560,130000,140000,323200,361660,319448,3e+05,280000
"50","Hombre","Trabajadores No Calificados","Aysén",33824,53650,64260,80000,81324,120000,119000,158469,186745,240680,250000,275000
"51","Hombre","Empleados de Oficina","Buin",41918,64380,128520,NA,150600,180000,180210,181800,265200,279456,3e+05,240000
"52","Hombre","Fuerzas Armadas","Buin",308905,NA,NA,NA,NA,4e+05,NA,NA,221000,NA,NA,NA
"53","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Buin",60400,64380,85680,NA,150600,105000,178053,181800,231670,273500,250000,335715
"54","Hombre","Profesionales, Científicos e Intelectuales","Buin",75500,162023,434290,NA,366460,385000,4e+05,790400,419900,536060,830000,1e+06
"55","Hombre","Técnicos y Profesionales de Nivel Medio","Buin",138600,141100,121023,NA,481920,261950,273000,252500,246480,410250,525000,462683
"56","Hombre","Trabajadores Agropecuarios y Pesqueros","Buin",36240,77524,74970,NA,105420,114780,140000,181800,251388,336680,220000,237500
"57","Hombre","Trabajadores de Artes Mecánicas y Otros","Buin",54360,86752,90780,NA,134536,155210,186420,199800,221000,369720,250000,280000
"58","Hombre","Trabajadores de Servicios y Vendedores","Buin",48320,50491,85680,NA,198150,160000,223620,171700,215475,300850,3e+05,460000
"59","Hombre","Empleados de Oficina","Bulnes",24160,NA,203490,NA,NA,3e+05,145000,252500,314925,284440,170000,250000
"60","Hombre","Fuerzas Armadas","Bulnes",72480,64380,NA,NA,NA,NA,250000,NA,NA,NA,NA,NA
"61","Hombre","Profesionales, Científicos e Intelectuales","Bulnes",33676,96570,155295,NA,NA,287500,380000,404000,497250,344610,450000,640000
"62","Hombre","Técnicos y Profesionales de Nivel Medio","Bulnes",67443,78132,226950,NA,NA,512000,180000,303000,182325,273500,5e+05,345000
"63","Hombre","Trabajadores Agropecuarios y Pesqueros","Bulnes",30200,82395,55458,NA,NA,68000,115000,136350,170560,196920,150000,330000
"64","Hombre","Trabajadores de Artes Mecánicas y Otros","Bulnes",31408,58710,75650,NA,NA,100500,150000,136350,185088,180620,220000,205000
"65","Hombre","Trabajadores de Servicios y Vendedores","Bulnes",33824,42222,57379,NA,NA,120000,155000,222200,202150,210595,205000,360000
"66","Hombre","Empleados de Oficina","Calama",36240,138417,128520,150000,150600,2e+05,2e+05,236638,353600,382900,350000,6e+05
"67","Hombre","Fuerzas Armadas","Calama",125632,193140,NA,NA,NA,NA,NA,555500,718250,508710,NA,5e+05
"68","Hombre","Miembros del Poder Ejecutivo y Cuerpos Legislativos","Calama",591920,156560,151300,620113,391000,182600,395200,592800,884000,821600,450000,1350000
"69","Hombre","Profesionales, Científicos e Intelectuales","Calama",46086,321900,396270,5e+05,684250,425000,740508,606000,884000,944978,8e+05,1200000
"70","Hombre","Técnicos y Profesionales de Nivel Medio","Calama",90600,195700,267750,325000,266060,325000,4e+05,505000,530400,656400,655000,8e+05
"71","Hombre","Trabajadores Agropecuarios y Pesqueros","Calama",47920,87425,94256,81720,136850,50215,200100,108680,205400,205400,250000,285000
"72","Hombre","Trabajadores de Artes Mecánicas y Otros","Calama",69300,107300,128520,270000,234600,274766,250000,284855,386750,437600,410000,5e+05
"73","Hombre","Trabajadores de Servicios y Vendedores","Calama",72480,64380,128520,145000,158632,205000,131914,181800,254150,328200,3e+05,350000
"74","Hombre","Empleados de Oficina","Calera",28690,211024,80325,115000,230920,230000,190000,252500,198900,306320,225000,248529
"75","Hombre","Fuerzas Armadas","Calera",46750,NA,NA,NA,NA,3e+05,NA,220850,276250,780644,NA,NA
"76","Hombre","Profesionales, Científicos e Intelectuales","Calera",54360,262885,348075,3e+05,1104400,850000,4e+05,454500,276250,1449550,750000,1596552
"77","Hombre","Técnicos y Profesionales de Nivel Medio","Calera",55440,195700,131198,194085,477573,305000,243560,222200,330526,498766,775000,6e+05
"78","Hombre","Trabajadores Agropecuarios y Pesqueros","Calera",29700,81243,64260,110000,100400,125000,1e+05,151500,221000,232640,215000,248000
"79","Hombre","Trabajadores de Artes Mecánicas y Otros","Calera",31166,64380,107100,110000,143791,146080,180000,252500,276250,278654,250000,289754
"80","Hombre","Trabajadores de Servicios y Vendedores","Calera",39405,47534,151300,88867,114697,144823,140000,179528,223774,203484,2e+05,250000
"81","Hombre","Trabajadores No Calificados","Calera",36240,41418,67764,65874,80822,1e+05,115000,136350,182325,205400,210000,241000
"82","Hombre","Empleados de Oficina","Calera de Tango",31728,65668,91035,1345174,120480,191000,155000,202000,243100,369720,4e+05,410000
"83","Hombre","Fuerzas Armadas","Calera de Tango",75500,NA,204638,NA,200800,NA,NA,141400,NA,306320,NA,NA
"84","Hombre","Profesionales, Científicos e Intelectuales","Calera de Tango",66440,536500,856800,875000,586500,7e+05,750000,1096681,538258,957250,NA,1200174
"85","Hombre","Técnicos y Profesionales de Nivel Medio","Calera de Tango",57255,107300,128520,638863,150600,190000,4e+05,299700,331500,547000,4e+05,437338
"86","Hombre","Trabajadores Agropecuarios y Pesqueros","Calera de Tango",36361,64380,85680,105000,120480,120000,145000,196950,221000,246480,250000,245000
"87","Hombre","Trabajadores de Artes Mecánicas y Otros","Calera de Tango",59400,84767,93187,140000,160640,145000,2e+05,202000,280806,296522,230000,315898
"88","Hombre","Trabajadores de Servicios y Vendedores","Calera de Tango",40336,64380,96390,NA,120480,150000,190000,222200,221000,304392,3e+05,5e+05
"89","Hombre","Trabajadores No Calificados","Calera de Tango",36240,55260,74970,75000,93372,1e+05,120000,148470,187850,209476,210000,260000
"90","Hombre","Operadores y Montadores de Instalaciones y Máquinas","Cartagena",48320,112665,103828,157500,150600,170000,193920,171700,221000,211142,3e+05,375000
