"","sexo","oficio_id","provincia","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Hombre","Agricultores y  y Trabajadores Calificados","Antofagasta",66440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Hombre","Comerciantes y Vendedores","Antofagasta",66440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Hombre","Empleados de Oficina","Antofagasta",42884,NA,NA,180000,170680,NA,210000,261590,359125,382900,388000,5e+05
"4","Hombre","Ff.aa.","Antofagasta",144960,NA,149940,NA,NA,238000,NA,NA,NA,NA,NA,NA
"5","Hombre","Miembros del Poder Ejecutivo","Antofagasta",195640,NA,NA,NA,NA,NA,NA,NA,949149,NA,NA,NA
"6","Hombre","Oficiales, Operarios y Artesanos","Antofagasta",49528,NA,107100,NA,NA,180000,NA,NA,NA,NA,NA,NA
"7","Hombre","Operadores y Montadores","Antofagasta",76104,96570,128520,NA,NA,219120,NA,NA,NA,NA,NA,NA
"8","Hombre","Profesionales y Científicos","Antofagasta",84828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Hombre","Técnicos y Profesionales Nivel Medio","Antofagasta",56880,146068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Hombre","Agricultores y  y Trabajadores Calificados","Arauco",36240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Hombre","Comerciantes y Vendedores","Arauco",43488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Hombre","Empleados de Oficina","Arauco",38656,NA,NA,155000,170680,NA,171000,156550,251940,503240,3e+05,365000
"13","Hombre","Ff.aa.","Arauco",60400,NA,NA,NA,NA,240000,NA,NA,NA,NA,NA,NA
"14","Hombre","Miembros del Poder Ejecutivo","Arauco",297000,NA,NA,NA,NA,NA,NA,NA,1129700,NA,NA,NA
"15","Hombre","Oficiales, Operarios y Artesanos","Arauco",36240,NA,75650,NA,NA,120000,NA,NA,NA,NA,NA,NA
"16","Hombre","Operadores y Montadores","Arauco",72480,75110,75506,NA,NA,150000,NA,NA,NA,NA,NA,NA
"17","Hombre","Profesionales y Científicos","Arauco",48320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Hombre","Técnicos y Profesionales Nivel Medio","Arauco",51322,156560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","Hombre","Agricultores y  y Trabajadores Calificados","Arica",39600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Hombre","Comerciantes y Vendedores","Arica",59400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","Hombre","Empleados de Oficina","Arica",45300,NA,NA,160000,189756,NA,210000,161600,276250,328200,3e+05,450000
