"","geography_level","geography_name","geography_id","year","occupation","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1","pais","País","pais","2011","0110","Hombre",657796,547000,"[566889, 804271]","[437600, 656400]"
"2","pais","País","pais","2011","0110","Mujer",557854,482475,"[328931, 827315]","[273500, 933182]"
"3","pais","País","pais","2011","1110","Hombre",1372362,1395163,"[560586, 1999231]","[470420, 1981703]"
"4","pais","País","pais","2011","1110","Mujer",511445,511445,"[232475, 547000]","[232475, 547000]"
"5","pais","País","pais","2011","1120","Hombre",1284919,889410,"[834970, 1951700]","[743920, 1641000]"
"6","pais","País","pais","2011","1120","Mujer",566278,493697,"[359375, 886756]","[328200, 1023163]"
"7","pais","País","pais","2011","1130","Hombre",1249044,492300,"[622935, 2095782]","[466044, 2735000]"
"8","pais","País","pais","2011","1130","Mujer",478376,478376,"[470420, 492300]","[470420, 492300]"
"10","pais","País","pais","2011","1143","Mujer",437600,437600,"[437600, 437600]","[437600, 437600]"
"11","pais","País","pais","2011","1210","Hombre",3234417,3276101,"[2061199, 4671362]","[1641000, 4625126]"
"12","pais","País","pais","2011","1210","Mujer",1638532,1638532,"[821600, 2259400]","[821600, 2259400]"
"13","pais","País","pais","2011","1221","Mujer",1094000,1094000,"[1094000, 1094000]","[1094000, 1094000]"
"15","pais","País","pais","2011","1223","Hombre",1422274,1422274,"[1422274, 1422274]","[1422274, 1422274]"
"16","pais","País","pais","2011","1224","Hombre",1094000,1094000,"[1094000, 1094000]","[1094000, 1094000]"
"18","pais","País","pais","2011","1227","Mujer",547000,547000,"[547000, 547000]","[547000, 547000]"
"19","pais","País","pais","2011","1229","Hombre",1967907,1434930,"[1488352, 2484758]","[1035893, 2189176]"
"20","pais","País","pais","2011","1229","Mujer",1199990,1094000,"[965524, 1457601]","[875200, 1312800]"
"21","pais","País","pais","2011","1231","Hombre",759980,759980,"[759980, 759980]","[759980, 759980]"
"22","pais","País","pais","2011","1231","Mujer",1329816,1329816,"[257090, 1750400]","[257090, 1750400]"
"23","pais","País","pais","2011","1232","Hombre",702670,511815,"[519330, 911473]","[431797, 875200]"
"24","pais","País","pais","2011","1232","Mujer",364917,313312,"[210829, 603014]","[173674, 711100]"
"25","pais","País","pais","2011","1233","Hombre",657278,468394,"[342669, 1074655]","[317260, 1094000]"
"26","pais","País","pais","2011","1233","Mujer",795967,795967,"[656400, 875200]","[656400, 875200]"
"27","pais","País","pais","2011","1234","Hombre",547000,547000,"[547000, 547000]","[547000, 547000]"
"28","pais","País","pais","2011","1235","Hombre",1094000,1094000,"[1094000, 1094000]","[1094000, 1094000]"
"30","pais","País","pais","2011","1237","Hombre",1641000,1641000,"[1641000, 1641000]","[1641000, 1641000]"
"31","pais","País","pais","2011","1237","Mujer",794487,794487,"[420096, 1094000]","[420096, 1094000]"
"32","pais","País","pais","2011","1239","Hombre",656400,656400,"[656400, 656400]","[656400, 656400]"
"33","pais","País","pais","2011","1239","Mujer",1643200,1643200,"[1643200, 1643200]","[1643200, 1643200]"
"34","pais","País","pais","2011","1311","Hombre",2018403,1232400,"[1519985, 2714969]","[636476, 1984014]"
"35","pais","País","pais","2011","1311","Mujer",3908900,2768815,"[1887681, 6232523]","[450842, 7189000]"
"36","pais","País","pais","2011","1312","Hombre",2008773,1178981,"[1104052, 2780978]","[734510, 3081000]"
"37","pais","País","pais","2011","1312","Mujer",1104401,878296,"[558857, 1681150]","[410800, 2054000]"
"38","pais","País","pais","2011","1313","Hombre",1762062,1034772,"[1163586, 2735868]","[821600, 2054000]"
"39","pais","País","pais","2011","1313","Mujer",2358759,2054000,"[1505138, 3626173]","[1157413, 2218748]"
"40","pais","País","pais","2011","1314","Hombre",993380,616200,"[833337, 1149405]","[412046, 641466]"
"41","pais","País","pais","2011","1314","Mujer",536939,345072,"[466730, 616955]","[308100, 369720]"
"42","pais","País","pais","2011","1315","Hombre",1421830,1027000,"[1045372, 1950349]","[616200, 1312800]"
"43","pais","País","pais","2011","1315","Mujer",677069,410800,"[505995, 906820]","[410800, 566118]"
"44","pais","País","pais","2011","1316","Hombre",1921647,1438244,"[1313883, 3481269]","[1027000, 2161640]"
"45","pais","País","pais","2011","1316","Mujer",1710172,2054000,"[823099, 2750823]","[234597, 2468856]"
"46","pais","País","pais","2011","1317","Hombre",2673345,3081000,"[2007479, 3505860]","[1569761, 3459109]"
"47","pais","País","pais","2011","1317","Mujer",1311196,697011,"[725605, 1897386]","[410800, 948363]"
"48","pais","País","pais","2011","1318","Hombre",2271476,1740298,"[800371, 4537890]","[339412, 2188000]"
"49","pais","País","pais","2011","1318","Mujer",1735462,1543867,"[505359, 5488626]","[288498, 2054000]"
"50","pais","País","pais","2011","1319","Hombre",3257958,3126945,"[2259365, 4900589]","[1027000, 3516573]"
"51","pais","País","pais","2011","1319","Mujer",1456233,1146361,"[993924, 2010364]","[616200, 2054000]"
"52","pais","País","pais","2011","2111","Hombre",1704703,1799653,"[1212234, 1969200]","[1094000, 1969200]"
"53","pais","País","pais","2011","2112","Hombre",1758356,1758356,"[875200, 2188000]","[875200, 2188000]"
"54","pais","País","pais","2011","2113","Hombre",1228620,989375,"[774962, 1693579]","[576841, 1094000]"
"55","pais","País","pais","2011","2113","Mujer",1376899,943797,"[803787, 1974283]","[437600, 1600539]"
"56","pais","País","pais","2011","2114","Hombre",1795061,1747613,"[1400563, 2282415]","[1452292, 2078600]"
"57","pais","País","pais","2011","2114","Mujer",1771314,795290,"[556480, 2815168]","[410800, 3063200]"
"59","pais","País","pais","2011","2122","Hombre",510407,558521,"[363126, 600562]","[273500, 601700]"
"60","pais","País","pais","2011","2122","Mujer",767601,771175,"[307730, 1062413]","[267626, 1094000]"
"61","pais","País","pais","2011","2131","Hombre",1006427,765800,"[838678, 1292657]","[547000, 1094000]"
"62","pais","País","pais","2011","2131","Mujer",848760,656400,"[653756, 1173428]","[422458, 1210108]"
"63","pais","País","pais","2011","2132","Hombre",1052610,808035,"[657948, 1646591]","[431733, 1029144]"
"64","pais","País","pais","2011","2132","Mujer",467736,328200,"[243295, 869002]","[205400, 745915]"
"65","pais","País","pais","2011","2139","Hombre",1303484,1250575,"[1184921, 1425493]","[1203400, 1422200]"
"66","pais","País","pais","2011","2139","Mujer",1350543,1350543,"[656400, 1641000]","[656400, 1641000]"
"67","pais","País","pais","2011","2141","Hombre",1665372,877017,"[1228305, 2192455]","[668569, 1664850]"
"68","pais","País","pais","2011","2141","Mujer",1236429,984600,"[899110, 1614186]","[765800, 1126665]"
"69","pais","País","pais","2011","2142","Hombre",1839142,1367500,"[1590203, 2094465]","[1094000, 1641000]"
"70","pais","País","pais","2011","2142","Mujer",911019,875200,"[667464, 1156198]","[242868, 1279501]"
"71","pais","País","pais","2011","2143","Hombre",1486537,1410394,"[1267085, 1724504]","[929900, 1641318]"
"72","pais","País","pais","2011","2144","Hombre",802616,449904,"[581806, 1145931]","[396152, 793464]"
"73","pais","País","pais","2011","2144","Mujer",2770337,1672068,"[413594, 6162000]","[306320, 6162000]"
"74","pais","País","pais","2011","2145","Hombre",1687834,1094000,"[1341872, 2156656]","[875200, 1641000]"
"75","pais","País","pais","2011","2146","Hombre",1272707,1094000,"[929085, 1695697]","[804997, 1641000]"
"76","pais","País","pais","2011","2146","Mujer",844742,656400,"[548702, 1179193]","[459480, 1094000]"
"77","pais","País","pais","2011","2147","Hombre",1674034,1539681,"[1304345, 2084628]","[1068979, 1700076]"
"78","pais","País","pais","2011","2147","Mujer",491789,386630,"[333057, 737785]","[328200, 957979]"
"79","pais","País","pais","2011","2148","Hombre",982394,992510,"[640223, 1421968]","[291927, 1422200]"
"80","pais","País","pais","2011","2148","Mujer",930274,1000441,"[539099, 1500968]","[574698, 1531600]"
"81","pais","País","pais","2011","2149","Hombre",1419450,1027000,"[1280546, 1626044]","[922700, 1231790]"
"82","pais","País","pais","2011","2149","Mujer",1231738,994841,"[1060595, 1468916]","[778576, 1326275]"
"83","pais","País","pais","2011","2211","Hombre",1067720,1035302,"[776748, 1380515]","[718900, 1422200]"
"84","pais","País","pais","2011","2211","Mujer",674754,437600,"[446634, 1054864]","[382900, 765800]"
"85","pais","País","pais","2011","2212","Hombre",980127,706488,"[580234, 1416398]","[547000, 1678852]"
"86","pais","País","pais","2011","2212","Mujer",822260,903362,"[544410, 984600]","[437600, 984600]"
"87","pais","País","pais","2011","2213","Hombre",1205271,875200,"[952748, 1657222]","[820500, 1071362]"
"88","pais","País","pais","2011","2213","Mujer",1153891,1232838,"[783391, 1332594]","[741622, 1422200]"
"89","pais","País","pais","2011","2221","Hombre",2712875,1641000,"[1941769, 4165542]","[1229571, 2230171]"
"90","pais","País","pais","2011","2221","Mujer",1559616,1027000,"[1158268, 2225512]","[733809, 1813305]"
"91","pais","País","pais","2011","2222","Hombre",2677747,1422200,"[1777660, 3362844]","[1229571, 2735000]"
"92","pais","País","pais","2011","2222","Mujer",1395947,940703,"[949111, 2263169]","[694140, 1641000]"
"93","pais","País","pais","2011","2223","Hombre",1335630,1114998,"[1005974, 1668530]","[847060, 1599885]"
"94","pais","País","pais","2011","2223","Mujer",932634,754760,"[672504, 1301086]","[656400, 1027000]"
"95","pais","País","pais","2011","2224","Hombre",775852,720861,"[563976, 1019616]","[437600, 1111360]"
"96","pais","País","pais","2011","2224","Mujer",961924,754775,"[524296, 1334572]","[415720, 1486321]"
"97","pais","País","pais","2011","2229","Hombre",807577,851408,"[557933, 1134782]","[413171, 951419]"
"98","pais","País","pais","2011","2229","Mujer",869592,666625,"[728519, 1083673]","[575115, 1194200]"
"99","pais","País","pais","2011","2230","Hombre",1126356,1067744,"[787488, 1412412]","[658917, 1641000]"
"100","pais","País","pais","2011","2230","Mujer",940497,875200,"[794735, 1067125]","[766750, 929900]"
"101","pais","País","pais","2011","2310","Hombre",932091,808879,"[742022, 1095048]","[547000, 1123556]"
"102","pais","País","pais","2011","2310","Mujer",694930,724345,"[586677, 794572]","[492606, 875200]"
"103","pais","País","pais","2011","2320","Hombre",649210,656400,"[541720, 765963]","[445603, 819163]"
"104","pais","País","pais","2011","2320","Mujer",562511,547000,"[502742, 614766]","[464218, 586110]"
"105","pais","País","pais","2011","2331","Hombre",645438,549307,"[582223, 708564]","[547000, 656400]"
"106","pais","País","pais","2011","2331","Mujer",545824,547000,"[520876, 581378]","[525120, 547000]"
"107","pais","País","pais","2011","2332","Hombre",297929,293240,"[196920, 450670]","[196920, 449656]"
"108","pais","País","pais","2011","2332","Mujer",529292,492300,"[474946, 585465]","[437600, 616200]"
"109","pais","País","pais","2011","2340","Hombre",364814,372478,"[187844, 450838]","[164100, 463298]"
"110","pais","País","pais","2011","2340","Mujer",630201,556688,"[555962, 776823]","[525120, 609579]"
"111","pais","País","pais","2011","2351","Hombre",580981,540036,"[413202, 777262]","[383477, 875200]"
"112","pais","País","pais","2011","2351","Mujer",587541,569796,"[440357, 754628]","[273500, 763612]"
"113","pais","País","pais","2011","2352","Hombre",439199,328200,"[323265, 672622]","[273500, 547371]"
"114","pais","País","pais","2011","2352","Mujer",489954,480765,"[359209, 599111]","[218800, 724345]"
"115","pais","País","pais","2011","2359","Hombre",605083,664107,"[425434, 778762]","[343726, 820500]"
"116","pais","País","pais","2011","2359","Mujer",551769,601514,"[363981, 733550]","[225461, 773528]"
"117","pais","País","pais","2011","2411","Hombre",981204,871388,"[875108, 1099120]","[685057, 940378]"
"118","pais","País","pais","2011","2411","Mujer",850345,718003,"[755385, 967721]","[634520, 864398]"
"119","pais","País","pais","2011","2412","Hombre",953183,721713,"[575681, 1553342]","[547000, 2102269]"
"120","pais","País","pais","2011","2412","Mujer",725394,923557,"[276919, 1142917]","[131280, 1277126]"
"121","pais","País","pais","2011","2419","Hombre",1117510,918952,"[996530, 1292187]","[799409, 1094000]"
"122","pais","País","pais","2011","2419","Mujer",762307,656400,"[667118, 890641]","[547000, 692197]"
"123","pais","País","pais","2011","2421","Hombre",2072589,1399011,"[1497891, 2673597]","[1042644, 1678924]"
"124","pais","País","pais","2011","2421","Mujer",1926012,1108395,"[1317290, 2491154]","[779351, 1712522]"
"125","pais","País","pais","2011","2422","Hombre",1794077,2188000,"[1162851, 2385252]","[1171632, 2188000]"
"126","pais","País","pais","2011","2422","Mujer",2022222,1654506,"[1122692, 3093402]","[1094000, 3161235]"
"127","pais","País","pais","2011","2429","Hombre",812056,491862,"[386221, 1425229]","[314097, 758376]"
"128","pais","País","pais","2011","2429","Mujer",790784,632770,"[481252, 1321896]","[328200, 820500]"
"129","pais","País","pais","2011","2431","Hombre",820500,820500,"[820500, 820500]","[820500, 820500]"
"130","pais","País","pais","2011","2432","Hombre",340545,243220,"[175259, 683781]","[148745, 875200]"
"131","pais","País","pais","2011","2432","Mujer",956953,649874,"[460293, 1814915]","[259572, 833160]"
"132","pais","País","pais","2011","2441","Hombre",2894875,1641000,"[2058524, 4055605]","[1156697, 2546900]"
"133","pais","País","pais","2011","2441","Mujer",1096039,875200,"[866033, 1329493]","[656400, 1422200]"
"134","pais","País","pais","2011","2442","Hombre",1415392,1359134,"[786669, 2061667]","[590760, 2188000]"
"135","pais","País","pais","2011","2442","Mujer",667190,636156,"[562092, 780888]","[547000, 853320]"
"136","pais","País","pais","2011","2443","Hombre",1561989,1561989,"[297811, 1641000]","[297811, 1641000]"
"137","pais","País","pais","2011","2443","Mujer",613225,613225,"[437600, 1355975]","[437600, 1355975]"
"138","pais","País","pais","2011","2444","Hombre",184012,184012,"[61620, 382900]","[61620, 382900]"
"139","pais","País","pais","2011","2444","Mujer",645225,708732,"[386071, 824234]","[265617, 918960]"
"140","pais","País","pais","2011","2445","Hombre",1086577,765800,"[743343, 1525096]","[601700, 982917]"
"141","pais","País","pais","2011","2445","Mujer",1148758,820500,"[917565, 1362355]","[617034, 975521]"
"142","pais","País","pais","2011","2446","Hombre",605187,494963,"[456911, 775235]","[344610, 732585]"
"143","pais","País","pais","2011","2446","Mujer",619442,560572,"[548933, 682030]","[534052, 635733]"
"144","pais","País","pais","2011","2451","Hombre",865937,759943,"[669200, 1117617]","[612640, 1112886]"
"145","pais","País","pais","2011","2451","Mujer",876194,765800,"[713738, 1127055]","[693256, 963160]"
"146","pais","País","pais","2011","2452","Hombre",653810,399232,"[355356, 1449749]","[306320, 1614533]"
"147","pais","País","pais","2011","2452","Mujer",665248,472201,"[440131, 961236]","[304227, 1028360]"
"148","pais","País","pais","2011","2453","Hombre",659339,498639,"[426840, 977584]","[123240, 929435]"
"149","pais","País","pais","2011","2453","Mujer",631833,662256,"[420426, 817151]","[459054, 813869]"
"150","pais","País","pais","2011","2454","Hombre",2054000,2054000,"[2054000, 2054000]","[2054000, 2054000]"
"151","pais","País","pais","2011","2454","Mujer",143780,143780,"[143780, 143780]","[143780, 143780]"
"152","pais","País","pais","2011","2455","Hombre",605982,625367,"[458751, 734865]","[382900, 857408]"
"153","pais","País","pais","2011","2455","Mujer",710230,584618,"[399768, 1124361]","[328200, 1027000]"
"154","pais","País","pais","2011","2460","Hombre",551583,363668,"[370061, 778198]","[324159, 720200]"
"155","pais","País","pais","2011","2460","Mujer",501696,499285,"[286482, 724855]","[282038, 732923]"
"156","pais","País","pais","2011","3111","Hombre",531411,441065,"[310450, 840112]","[329173, 984600]"
"157","pais","País","pais","2011","3111","Mujer",1203400,1203400,"[1203400, 1203400]","[1203400, 1203400]"
"158","pais","País","pais","2011","3112","Hombre",612928,517081,"[487332, 803415]","[391724, 723655]"
"159","pais","País","pais","2011","3112","Mujer",342963,266447,"[203091, 569483]","[164100, 681623]"
"160","pais","País","pais","2011","3113","Hombre",331562,215090,"[210324, 655337]","[210048, 751858]"
"161","pais","País","pais","2011","3113","Mujer",202390,202390,"[202390, 202390]","[202390, 202390]"
"162","pais","País","pais","2011","3114","Hombre",512164,437600,"[429841, 646769]","[328200, 514180]"
