"","comuna","sex","occupation","2011","2013","2015"
"1","Alto Hospicio","Hombre","0110",504456,600090,581257
"2","Alto Hospicio","Hombre","1229",908020,1500000,NA
"3","Alto Hospicio","Hombre","1232",929900,NA,NA
"4","Alto Hospicio","Hombre","1313",513500,NA,NA
"5","Alto Hospicio","Hombre","1314",339876,348272,372515
"6","Alto Hospicio","Hombre","1315",308100,1000000,NA
"7","Alto Hospicio","Hombre","1316",553255,160000,NA
"8","Alto Hospicio","Hombre","2113",618110,NA,NA
"9","Alto Hospicio","Hombre","2131",845050,800000,NA
"10","Alto Hospicio","Hombre","2141",1312800,NA,NA
"11","Alto Hospicio","Hombre","2142",2406800,1113514,1000000
"12","Alto Hospicio","Hombre","2147",743920,700000,600000
"13","Alto Hospicio","Hombre","2149",2735000,NA,798010
"14","Alto Hospicio","Hombre","2230",929900,NA,800000
"15","Alto Hospicio","Hombre","2310",572162,NA,NA
"16","Alto Hospicio","Hombre","2320",556009,615101,714879
"17","Alto Hospicio","Hombre","2331",664418,736667,866654
"18","Alto Hospicio","Hombre","2411",711100,494737,657750
"19","Alto Hospicio","Hombre","2419",228608,800000,1000000
"20","Alto Hospicio","Hombre","2446",536060,NA,NA
"21","Alto Hospicio","Hombre","3112",525745,1100000,NA
"22","Alto Hospicio","Hombre","3115",1094000,NA,709470
"23","Alto Hospicio","Hombre","3116",1455020,NA,NA
"24","Alto Hospicio","Hombre","3117",836587,NA,800000
"25","Alto Hospicio","Hombre","3121",765800,1300000,NA
"26","Alto Hospicio","Hombre","3122",131280,NA,NA
"27","Alto Hospicio","Hombre","3228",199108,NA,NA
"28","Alto Hospicio","Hombre","3231",328200,490000,NA
"29","Alto Hospicio","Hombre","3412",765800,55093,700000
"30","Alto Hospicio","Hombre","3415",126494,NA,385000
"31","Alto Hospicio","Hombre","3431",583309,810390,567476
"32","Alto Hospicio","Hombre","3433",559292,NA,NA
"33","Alto Hospicio","Hombre","3439",274477,720779,400000
"34","Alto Hospicio","Hombre","3460",1643200,NA,NA
"35","Alto Hospicio","Hombre","3471",616200,700000,280000
"36","Alto Hospicio","Hombre","3474",43760,NA,NA
"37","Alto Hospicio","Hombre","3475",739440,280000,409107
"38","Alto Hospicio","Hombre","4112",492300,NA,NA
"39","Alto Hospicio","Hombre","4121",382900,523364,738263
"40","Alto Hospicio","Hombre","4131",382955,314758,357935
"41","Alto Hospicio","Hombre","4133",437600,681194,510576
"42","Alto Hospicio","Hombre","4144",65640,NA,NA
"43","Alto Hospicio","Hombre","4190",358462,330930,517692
"44","Alto Hospicio","Hombre","4211",341626,198395,NA
"45","Alto Hospicio","Hombre","4222",328200,559054,379000
"46","Alto Hospicio","Hombre","5122",270442,326154,326096
"47","Alto Hospicio","Hombre","5123",333213,270000,413218
"48","Alto Hospicio","Hombre","5131",218800,400000,250000
"49","Alto Hospicio","Hombre","5141",205400,279781,NA
"50","Alto Hospicio","Hombre","5161",199108,NA,NA
"51","Alto Hospicio","Hombre","5162",408492,629605,631829
"52","Alto Hospicio","Hombre","5163",904962,470374,522500
"53","Alto Hospicio","Hombre","5169",218800,250000,NA
"54","Alto Hospicio","Hombre","5220",290212,490592,345913
"55","Alto Hospicio","Hombre","5230",321006,324112,214264
"56","Alto Hospicio","Hombre","6111",292719,206410,NA
"57","Alto Hospicio","Hombre","6113",194751,NA,234011
"58","Alto Hospicio","Hombre","6114",308100,NA,NA
"59","Alto Hospicio","Hombre","6152",413112,357583,NA
"60","Alto Hospicio","Hombre","6153",295380,NA,463971
"61","Alto Hospicio","Hombre","7111",480127,671888,1000000
"62","Alto Hospicio","Hombre","7121",258907,635294,571667
"63","Alto Hospicio","Hombre","7122",328755,290575,331782
"64","Alto Hospicio","Hombre","7123",299401,NA,NA
"65","Alto Hospicio","Hombre","7124",549233,352783,408544
"66","Alto Hospicio","Hombre","7132",547000,270000,492373
"67","Alto Hospicio","Hombre","7133",196920,300000,NA
"68","Alto Hospicio","Hombre","7136",303565,318314,292786
"69","Alto Hospicio","Hombre","7137",496497,454850,306619
"70","Alto Hospicio","Hombre","7141",345067,424991,374749
"71","Alto Hospicio","Hombre","7142",386369,NA,226429
"72","Alto Hospicio","Hombre","7212",376746,331281,397429
"73","Alto Hospicio","Hombre","7213",547000,NA,478534
"74","Alto Hospicio","Hombre","7214",317483,342290,550000
"75","Alto Hospicio","Hombre","7223",492300,NA,580000
"76","Alto Hospicio","Hombre","7231",432343,447366,419647
"77","Alto Hospicio","Hombre","7233",523995,529716,714421
"78","Alto Hospicio","Hombre","7241",509666,466414,438544
"79","Alto Hospicio","Hombre","7243",433953,313596,NA
"80","Alto Hospicio","Hombre","7244",547000,200000,NA
"81","Alto Hospicio","Hombre","7245",293602,285714,306452
"82","Alto Hospicio","Hombre","7411",214295,200000,314978
"83","Alto Hospicio","Hombre","7412",289316,455942,268444
"84","Alto Hospicio","Hombre","7422",476818,389669,248517
"85","Alto Hospicio","Hombre","7424",410800,NA,218462
"86","Alto Hospicio","Hombre","8111",576910,695442,565413
"87","Alto Hospicio","Hombre","8112",929900,425962,581962
"88","Alto Hospicio","Hombre","8113",547000,545882,850000
"89","Alto Hospicio","Hombre","8163",251073,NA,NA
"90","Alto Hospicio","Hombre","8211",765800,800000,NA
"91","Alto Hospicio","Hombre","8222",382900,550000,NA
"92","Alto Hospicio","Hombre","8223",306320,NA,NA
"93","Alto Hospicio","Hombre","8231",1643200,422337,516471
"94","Alto Hospicio","Hombre","8240",678280,NA,NA
"95","Alto Hospicio","Hombre","8251",218800,380000,NA
"96","Alto Hospicio","Hombre","8264",415720,NA,NA
"97","Alto Hospicio","Hombre","8269",273500,NA,NA
"98","Alto Hospicio","Hombre","8271",218800,280000,NA
"99","Alto Hospicio","Hombre","8290",359255,NA,552630
"100","Alto Hospicio","Hombre","8322",509873,521129,363307
"101","Alto Hospicio","Hombre","8323",450945,460381,429024
"102","Alto Hospicio","Hombre","8324",454338,427488,482501
"103","Alto Hospicio","Hombre","8331",492300,NA,NA
"104","Alto Hospicio","Hombre","8332",568570,826408,674755
"105","Alto Hospicio","Hombre","8333",589324,665190,NA
"106","Alto Hospicio","Hombre","8340",382900,333952,500000
"107","Alto Hospicio","Hombre","9111",258110,167654,182904
"108","Alto Hospicio","Hombre","9112",305762,226452,116957
"109","Alto Hospicio","Hombre","9131",218800,NA,NA
"110","Alto Hospicio","Hombre","9132",234020,323833,271667
"111","Alto Hospicio","Hombre","9141",164100,NA,398280
"112","Alto Hospicio","Hombre","9142",222741,264779,241905
"113","Alto Hospicio","Hombre","9151",271201,268017,291494
"114","Alto Hospicio","Hombre","9152",285550,314531,306115
"115","Alto Hospicio","Hombre","9161",393840,308077,250000
"116","Alto Hospicio","Hombre","9162",289070,210000,271176
"117","Alto Hospicio","Hombre","9211",297450,NA,NA
"118","Alto Hospicio","Hombre","9213",204720,150000,300000
"119","Alto Hospicio","Hombre","9311",283346,NA,532772
"120","Alto Hospicio","Hombre","9312",260609,300000,240000
"121","Alto Hospicio","Hombre","9313",375689,298079,308946
"122","Alto Hospicio","Hombre","9322",218754,93571,450000
"123","Alto Hospicio","Hombre","9333",267067,275131,236817
"124","Alto Hospicio","Hombre","9999",407561,300000,NA
"125","Alto Hospicio","Mujer","0110",273500,330000,NA
"126","Alto Hospicio","Mujer","1314",390732,274328,312425
"127","Alto Hospicio","Mujer","1315",474988,350000,NA
"128","Alto Hospicio","Mujer","1316",718900,NA,NA
"129","Alto Hospicio","Mujer","2212",437600,NA,NA
"130","Alto Hospicio","Mujer","2230",1286410,1354474,1651515
"131","Alto Hospicio","Mujer","2320",491595,NA,725773
"132","Alto Hospicio","Mujer","2331",574016,732236,672384
"133","Alto Hospicio","Mujer","2332",522513,439508,679167
"134","Alto Hospicio","Mujer","2351",163006,NA,NA
"135","Alto Hospicio","Mujer","2411",1312800,472222,988537
"136","Alto Hospicio","Mujer","2419",811661,NA,NA
"137","Alto Hospicio","Mujer","2429",382900,NA,NA
"138","Alto Hospicio","Mujer","2445",831440,NA,400000
"139","Alto Hospicio","Mujer","2446",779992,598000,578472
"140","Alto Hospicio","Mujer","3112",328200,NA,NA
"141","Alto Hospicio","Mujer","3114",170664,NA,NA
"142","Alto Hospicio","Mujer","3117",328200,NA,NA
"143","Alto Hospicio","Mujer","3118",191438,NA,NA
"144","Alto Hospicio","Mujer","3213",432130,NA,NA
"145","Alto Hospicio","Mujer","3221",894892,NA,NA
"146","Alto Hospicio","Mujer","3225",328200,NA,450000
"147","Alto Hospicio","Mujer","3231",386477,462258,424300
"148","Alto Hospicio","Mujer","3320",540038,302416,391204
"149","Alto Hospicio","Mujer","3411",535484,NA,NA
"150","Alto Hospicio","Mujer","3412",833419,1689270,NA
"151","Alto Hospicio","Mujer","3413",218800,570000,NA
"152","Alto Hospicio","Mujer","3415",437600,421014,370822
"153","Alto Hospicio","Mujer","3422",382900,NA,NA
"154","Alto Hospicio","Mujer","3429",54700,NA,NA
"155","Alto Hospicio","Mujer","3431",324177,600000,433272
"156","Alto Hospicio","Mujer","3432",276955,NA,500000
"157","Alto Hospicio","Mujer","3433",691034,682353,450000
"158","Alto Hospicio","Mujer","3439",656400,NA,700000
"159","Alto Hospicio","Mujer","3442",218800,NA,NA
"160","Alto Hospicio","Mujer","3460",291292,700000,600000
