"","occupation","sex","2011","2013","2015"
"1","0110","Hombre",657796,641675,896679
"2","0110","Mujer",557854,442019,757617
"3","1110","Hombre",1372362,698547,2805602
"4","1110","Mujer",511445,937174,658020
"5","1120","Hombre",1284919,1887453,2144794
"6","1120","Mujer",566278,900000,695618
"7","1130","Hombre",1249044,480000,1063125
"8","1130","Mujer",478376,NA,505000
"9","1142",NA,NA,NA,NA
"10","1143","Mujer",437600,873053,586214
"11","1210","Hombre",3234417,3008006,3604760
"12","1210","Mujer",1638532,2179070,1185168
"13","1221","Mujer",1094000,NA,990000
"14","1222",NA,NA,NA,NA
"15","1223","Hombre",1422274,NA,3191659
"16","1224","Hombre",1094000,3000000,7000000
"17","1226",NA,NA,NA,NA
"18","1227","Mujer",547000,2000000,740453
"19","1229","Hombre",1967907,696064,2125478
"20","1229","Mujer",1199990,1107769,1278926
"21","1231","Hombre",759980,1741631,2722064
"22","1231","Mujer",1329816,1583496,1004138
"23","1232","Hombre",702670,1099642,1280678
"24","1232","Mujer",364917,862756,1384970
"25","1233","Hombre",657278,960839,3045808
"26","1233","Mujer",795967,667448,1433217
"27","1234","Hombre",547000,467021,1170782
"28","1235","Hombre",1094000,896721,1051378
"29","1236",NA,NA,NA,NA
"30","1237","Hombre",1641000,7000000,2029084
"31","1237","Mujer",794487,1050000,2234259
"32","1239","Hombre",656400,1258508,1449274
"33","1239","Mujer",1643200,963056,1312864
"34","1311","Hombre",2018403,1247692,1109304
"35","1311","Mujer",3908900,711884,639179
"36","1312","Hombre",2008773,1685353,1613466
"37","1312","Mujer",1104401,333200,1135260
"38","1313","Hombre",1762062,1325157,1450618
"39","1313","Mujer",2358759,922883,1052429
"40","1314","Hombre",993380,654456,746948
"41","1314","Mujer",536939,298290,338006
"42","1315","Hombre",1421830,608935,667237
"43","1315","Mujer",677069,314964,486093
"44","1316","Hombre",1921647,1492288,1533193
"45","1316","Mujer",1710172,879632,1099341
"46","1317","Hombre",2673345,1825266,2219078
"47","1317","Mujer",1311196,2331819,1093262
"48","1318","Hombre",2271476,1149369,1469648
"49","1318","Mujer",1735462,819470,1029084
"50","1319","Hombre",3257958,2371874,1582777
"51","1319","Mujer",1456233,1488899,929468
"52","2111","Hombre",1704703,985189,1884444
"53","2112","Hombre",1758356,1279596,1929577
"54","2113","Hombre",1228620,1330683,1242910
"55","2113","Mujer",1376899,1473340,1032637
"56","2114","Hombre",1795061,1551199,3523400
"57","2114","Mujer",1771314,2693776,1861806
"58","2121",NA,NA,NA,NA
"59","2122","Hombre",510407,927027,1854764
"60","2122","Mujer",767601,695205,1173996
"61","2131","Hombre",1006427,1207336,1134332
"62","2131","Mujer",848760,1505293,1364265
"63","2132","Hombre",1052610,1348690,933784
"64","2132","Mujer",467736,975953,759612
"65","2139","Hombre",1303484,1364928,851498
"66","2139","Mujer",1350543,500000,1211625
"67","2141","Hombre",1665372,1515441,1247051
"68","2141","Mujer",1236429,838196,1247044
"69","2142","Hombre",1839142,1911253,1733459
"70","2142","Mujer",911019,1379973,1225055
"71","2143","Hombre",1486537,1266383,1395545
"72","2144","Hombre",802616,1162457,1046527
"73","2144","Mujer",2770337,624829,1580874
"74","2145","Hombre",1687834,1264781,1255664
"75","2146","Hombre",1272707,2052758,1172440
"76","2146","Mujer",844742,1086074,1151248
"77","2147","Hombre",1674034,1340054,1786362
"78","2147","Mujer",491789,1181980,1463934
"79","2148","Hombre",982394,840183,903244
"80","2148","Mujer",930274,900000,1078842
"81","2149","Hombre",1419450,1381842,1268372
"82","2149","Mujer",1231738,1021008,961571
"83","2211","Hombre",1067720,1188556,1374235
"84","2211","Mujer",674754,893067,777789
"85","2212","Hombre",980127,812757,1311862
"86","2212","Mujer",822260,200000,1454314
"87","2213","Hombre",1205271,1211118,1053257
"88","2213","Mujer",1153891,939130,980230
"89","2221","Hombre",2712875,1341421,2922292
"90","2221","Mujer",1559616,1528721,1671549
"91","2222","Hombre",2677747,1597420,2124271
"92","2222","Mujer",1395947,1134030,1201884
"93","2223","Hombre",1335630,931185,659222
"94","2223","Mujer",932634,663401,655521
"95","2224","Hombre",775852,1363689,1156766
"96","2224","Mujer",961924,832328,1168789
"97","2229","Hombre",807577,1737784,1399268
"98","2229","Mujer",869592,683519,680720
"99","2230","Hombre",1126356,1110683,1120760
"100","2230","Mujer",940497,901266,1003351
"101","2310","Hombre",932091,1007015,996126
"102","2310","Mujer",694930,1037668,925683
"103","2320","Hombre",649210,661214,666648
"104","2320","Mujer",562511,546404,654963
"105","2331","Hombre",645438,613210,703323
"106","2331","Mujer",545824,543021,602622
"107","2332","Hombre",297929,430973,859558
"108","2332","Mujer",529292,495685,557180
"109","2340","Hombre",364814,524438,624026
"110","2340","Mujer",630201,633718,584282
"111","2351","Hombre",580981,NA,687775
"112","2351","Mujer",587541,661840,710204
"113","2352","Hombre",439199,1054297,653292
"114","2352","Mujer",489954,602018,665255
"115","2359","Hombre",605083,659084,737020
"116","2359","Mujer",551769,696931,578153
"117","2411","Hombre",981204,1018185,1060897
"118","2411","Mujer",850345,809714,804047
"119","2412","Hombre",953183,960959,1202245
"120","2412","Mujer",725394,1156878,1103396
"121","2419","Hombre",1117510,1125862,1459756
"122","2419","Mujer",762307,926785,1008118
"123","2421","Hombre",2072589,1757805,1955076
"124","2421","Mujer",1926012,1463470,1310812
"125","2422","Hombre",1794077,3448872,2856000
"126","2422","Mujer",2022222,NA,1077917
"127","2429","Hombre",812056,243847,1049726
"128","2429","Mujer",790784,498098,668047
"129","2431","Hombre",820500,NA,923882
"130","2432","Hombre",340545,898930,609464
"131","2432","Mujer",956953,468353,599372
"132","2441","Hombre",2894875,1547237,2199558
"133","2441","Mujer",1096039,779054,1548582
"134","2442","Hombre",1415392,1037910,1304247
"135","2442","Mujer",667190,688712,940224
"136","2443","Hombre",1561989,2134042,452418
"137","2443","Mujer",613225,902117,1306108
"138","2444","Hombre",184012,503811,907092
"139","2444","Mujer",645225,614613,534458
"140","2445","Hombre",1086577,831220,1021885
"141","2445","Mujer",1148758,854494,829269
"142","2446","Hombre",605187,919043,733498
"143","2446","Mujer",619442,730204,712350
"144","2451","Hombre",865937,906542,1084162
"145","2451","Mujer",876194,773598,962538
"146","2452","Hombre",653810,217518,1202693
"147","2452","Mujer",665248,627303,446955
"148","2453","Hombre",659339,729004,548538
"149","2453","Mujer",631833,100000,1009952
"150","2454","Hombre",2054000,270000,249408
"151","2454","Mujer",143780,329254,277221
"152","2455","Hombre",605982,613624,684263
"153","2455","Mujer",710230,372941,493932
"154","2460","Hombre",551583,316191,368965
"155","2460","Mujer",501696,141176,600000
"156","3111","Hombre",531411,524758,849842
"157","3111","Mujer",1203400,439520,426764
"158","3112","Hombre",612928,788858,747435
"159","3112","Mujer",342963,380079,582646
"160","3113","Hombre",331562,643875,554348
"161","3113","Mujer",202390,328934,302326
"162","3114","Hombre",512164,776685,577479
"163","3114","Mujer",464501,282889,558686
"164","3115","Hombre",614890,477018,623272
"165","3116","Hombre",550192,675390,631392
"166","3116","Mujer",417714,502190,796071
"167","3117","Hombre",1223914,861840,1111407
"168","3117","Mujer",766071,444679,696991
"169","3118","Hombre",434260,592283,632149
"170","3118","Mujer",436378,459073,763304
"171","3119","Hombre",724924,753574,574318
"172","3119","Mujer",351752,261716,472118
"173","3121","Hombre",548098,529552,668368
"174","3121","Mujer",427148,382965,627963
"175","3122","Hombre",536171,485013,530462
"176","3122","Mujer",293902,942584,575193
"177","3123",NA,NA,NA,NA
"178","3131","Hombre",492400,510296,539614
"179","3131","Mujer",516184,457576,522998
"180","3132","Hombre",424146,451902,476811
"181","3132","Mujer",386482,312857,346719
"182","3133","Hombre",103559,349743,410349
"183","3139","Hombre",443135,727799,353014
"184","3139","Mujer",109400,NA,290000
"185","3141","Hombre",277615,900000,517233
"186","3142","Hombre",1073984,793435,908959
"187","3143","Hombre",1114950,3212794,2378886
"188","3144","Hombre",707362,849936,1034141
"189","3144","Mujer",3829000,NA,700000
"190","3145","Hombre",299142,961568,696787
"191","3151","Hombre",494857,612696,664764
"192","3151","Mujer",267876,474268,490841
"193","3152","Hombre",583948,626372,731495
"194","3152","Mujer",518523,563769,535029
"195","3211","Hombre",7712779,277000,625668
"196","3211","Mujer",284440,424316,677134
"197","3212","Hombre",462417,454261,558768
"198","3212","Mujer",317461,199302,446190
"199","3213","Hombre",632419,575227,640417
"200","3213","Mujer",358480,439298,367180
"201","3221","Hombre",312321,931663,511142
"202","3221","Mujer",465091,699761,422395
"203","3222",NA,NA,NA,NA
"204","3223","Hombre",538006,577518,686160
"205","3223","Mujer",848910,695194,557048
"206","3224","Hombre",422284,286065,330727
"207","3224","Mujer",193729,600000,433091
"208","3225","Hombre",247165,322012,443727
"209","3225","Mujer",312309,257930,341518
"210","3226","Hombre",808729,887795,749657
"211","3226","Mujer",369887,558658,626019
"212","3227","Hombre",311833,397379,259383
"213","3227","Mujer",72404,171963,318284
"214","3228","Hombre",435143,410212,493876
"215","3228","Mujer",266390,316050,458626
"216","3229","Hombre",806714,570262,639186
"217","3229","Mujer",413734,562690,520258
"218","3231","Hombre",383098,417191,458390
"219","3231","Mujer",314670,344859,386401
"220","3241","Hombre",575120,175000,161467
"221","3241","Mujer",346899,283125,185708
"222","3242","Hombre",142220,468758,241525
"223","3242","Mujer",121006,316168,475007
"224","3310","Hombre",409297,831608,319771
"225","3310","Mujer",341798,293615,300241
"226","3320","Mujer",260339,255633,314687
"227","3330","Hombre",437600,NA,293819
"228","3330","Mujer",246971,333607,323439
"229","3340","Hombre",410255,469930,487724
"230","3340","Mujer",225321,298881,328632
"231","3411","Hombre",1270685,1029892,937169
"232","3411","Mujer",752542,702304,738762
"233","3412","Hombre",709454,631506,745938
"234","3412","Mujer",663202,689281,660976
"235","3413","Hombre",1203805,1112471,728038
"236","3413","Mujer",1039926,650183,709661
"237","3414","Hombre",567738,776546,643157
"238","3414","Mujer",731921,718304,533888
"239","3415","Hombre",519792,653054,819607
"240","3415","Mujer",427454,525446,670843
"241","3416","Hombre",311151,712133,830385
"242","3416","Mujer",437600,393153,367056
"243","3417","Hombre",295380,689688,709168
