"","provincia","sex","occupation","2011","2013","2015"
"1","Antofagasta","Hombre","0110",564300,530411,520656
"2","Antofagasta","Hombre","1120",2625600,NA,NA
"3","Antofagasta","Hombre","1141",437600,NA,NA
"4","Antofagasta","Hombre","1210",3172600,NA,NA
"5","Antofagasta","Hombre","1229",1130467,1704000,NA
"6","Antofagasta","Hombre","1312",1786866,1051895,814824
"7","Antofagasta","Hombre","1313",2477718,2000000,NA
"8","Antofagasta","Hombre","1314",776083,480326,972218
"9","Antofagasta","Hombre","1315",1589948,560327,NA
"10","Antofagasta","Hombre","1316",1207206,1016388,1345238
"11","Antofagasta","Hombre","1317",1983700,3665675,1300000
"12","Antofagasta","Hombre","1319",3606067,1406780,2500000
"13","Antofagasta","Hombre","2113",1040778,884828,841361
"14","Antofagasta","Hombre","2114",1416309,900000,NA
"15","Antofagasta","Hombre","2131",798885,909369,2000000
"16","Antofagasta","Hombre","2139",1120683,2598455,NA
"17","Antofagasta","Hombre","2141",995699,977992,300000
"18","Antofagasta","Hombre","2142",1707819,1253884,2078562
"19","Antofagasta","Hombre","2143",1408413,1593718,NA
"20","Antofagasta","Hombre","2144",1168440,NA,NA
"21","Antofagasta","Hombre","2145",1162986,1276494,1908989
"22","Antofagasta","Hombre","2146",1452152,1200000,500000
"23","Antofagasta","Hombre","2147",1398538,2022748,2306629
"24","Antofagasta","Hombre","2148",502015,NA,806684
"25","Antofagasta","Hombre","2149",1347844,1150759,1479509
"26","Antofagasta","Hombre","2213",703467,1800000,NA
"27","Antofagasta","Hombre","2221",924023,2149945,2000000
"28","Antofagasta","Hombre","2222",1620973,800000,NA
"29","Antofagasta","Hombre","2223",875200,NA,NA
"30","Antofagasta","Hombre","2230",864260,NA,2600000
"31","Antofagasta","Hombre","2310",906069,1074630,601364
"32","Antofagasta","Hombre","2320",687551,583378,484713
"33","Antofagasta","Hombre","2331",545706,804159,584138
"34","Antofagasta","Hombre","2351",373238,NA,NA
"35","Antofagasta","Hombre","2352",992197,NA,346975
"36","Antofagasta","Hombre","2359",820500,NA,NA
"37","Antofagasta","Hombre","2411",1226882,839665,891539
"38","Antofagasta","Hombre","2412",2188000,1346891,2700000
"39","Antofagasta","Hombre","2419",973269,1670363,1449745
"40","Antofagasta","Hombre","2421",2140781,1250847,2525964
"41","Antofagasta","Hombre","2441",2347547,NA,NA
"42","Antofagasta","Hombre","2442",2188000,NA,NA
"43","Antofagasta","Hombre","2445",746570,1044156,NA
"44","Antofagasta","Hombre","2446",437600,2000000,630185
"45","Antofagasta","Hombre","2451",784033,250000,NA
"46","Antofagasta","Hombre","2452",1641000,NA,1200000
"47","Antofagasta","Hombre","2453",606467,NA,NA
"48","Antofagasta","Hombre","2455",246150,NA,NA
"49","Antofagasta","Hombre","2460",415720,100300,300000
"50","Antofagasta","Hombre","3112",727168,931232,429128
"51","Antofagasta","Hombre","3114",672030,NA,643621
"52","Antofagasta","Hombre","3115",582624,NA,1066667
"53","Antofagasta","Hombre","3116",509922,500000,NA
"54","Antofagasta","Hombre","3117",898255,645188,1800000
"55","Antofagasta","Hombre","3118",548175,1376515,NA
"56","Antofagasta","Hombre","3119",437600,1174082,NA
"57","Antofagasta","Hombre","3121",456766,482087,NA
"58","Antofagasta","Hombre","3122",1116198,300000,NA
"59","Antofagasta","Hombre","3131",344465,478862,NA
"60","Antofagasta","Hombre","3132",492300,NA,NA
"61","Antofagasta","Hombre","3141",481360,NA,NA
"62","Antofagasta","Hombre","3143",547000,NA,NA
"63","Antofagasta","Hombre","3144",875200,NA,NA
"64","Antofagasta","Hombre","3145",207860,NA,NA
"65","Antofagasta","Hombre","3151",446567,856223,1093527
"66","Antofagasta","Hombre","3152",1033196,939113,900000
"67","Antofagasta","Hombre","3225",564504,NA,NA
"68","Antofagasta","Hombre","3226",1594770,NA,850000
"69","Antofagasta","Hombre","3228",395965,500000,NA
"70","Antofagasta","Hombre","3231",625954,356954,852394
"71","Antofagasta","Hombre","3340",2054000,205189,60000
"72","Antofagasta","Hombre","3411",598930,778218,3000000
"73","Antofagasta","Hombre","3412",688865,1134677,NA
"74","Antofagasta","Hombre","3413",1748545,937815,NA
"75","Antofagasta","Hombre","3415",528063,763750,761207
"76","Antofagasta","Hombre","3416",415720,578692,NA
"77","Antofagasta","Hombre","3422",389738,NA,NA
"78","Antofagasta","Hombre","3423",1047391,1831303,NA
"79","Antofagasta","Hombre","3429",65640,NA,NA
"80","Antofagasta","Hombre","3431",1100609,726614,1335647
"81","Antofagasta","Hombre","3433",1106381,635833,NA
"82","Antofagasta","Hombre","3439",803589,865898,1000000
"83","Antofagasta","Hombre","3441",1312800,NA,NA
"84","Antofagasta","Hombre","3442",1203400,1200000,NA
"85","Antofagasta","Hombre","3444",765800,NA,NA
"86","Antofagasta","Hombre","3449",488892,NA,600000
"87","Antofagasta","Hombre","3471",762949,288754,495601
"88","Antofagasta","Hombre","3473",521822,224224,300000
"89","Antofagasta","Hombre","3474",410800,180000,NA
