"","region","sex","occupation","2011","2013","2015"
"1","Antofagasta","Hombre","0110",557342,530411,543784
"2","Antofagasta","Hombre","1120",2625600,NA,NA
"3","Antofagasta","Hombre","1141",437600,NA,NA
"4","Antofagasta","Hombre","1210",3172600,NA,NA
"5","Antofagasta","Hombre","1229",873761,1704000,1350000
"6","Antofagasta","Hombre","1232",1312800,NA,1800000
"7","Antofagasta","Hombre","1312",1786866,1051895,814824
"8","Antofagasta","Hombre","1313",3850452,2000000,NA
"9","Antofagasta","Hombre","1314",806464,476201,939574
"10","Antofagasta","Hombre","1315",1680725,459848,1081288
"11","Antofagasta","Hombre","1316",1011165,1039877,1345238
"12","Antofagasta","Hombre","1317",1983700,3492116,1237500
"13","Antofagasta","Hombre","1319",2487473,1243243,2121121
"14","Antofagasta","Hombre","2113",1074116,868739,1172866
"15","Antofagasta","Hombre","2114",1333430,900000,NA
"16","Antofagasta","Hombre","2131",743960,909369,2000000
"17","Antofagasta","Hombre","2132",1312800,695714,562303
"18","Antofagasta","Hombre","2139",1120683,2598455,NA
"19","Antofagasta","Hombre","2141",995699,977992,721939
"20","Antofagasta","Hombre","2142",1698895,1300068,2055123
"21","Antofagasta","Hombre","2143",1394754,1477913,NA
"22","Antofagasta","Hombre","2144",1280707,NA,670000
"23","Antofagasta","Hombre","2145",947773,1108593,1468354
"24","Antofagasta","Hombre","2146",1333172,1200000,500000
"25","Antofagasta","Hombre","2147",1295518,1184089,2088521
"26","Antofagasta","Hombre","2148",536536,NA,806684
"27","Antofagasta","Hombre","2149",1453184,1177124,1487193
"28","Antofagasta","Hombre","2213",639688,1800000,NA
"29","Antofagasta","Hombre","2221",954129,2090600,2000000
"30","Antofagasta","Hombre","2222",1294666,815625,1700000
"31","Antofagasta","Hombre","2223",875200,NA,NA
"32","Antofagasta","Hombre","2230",813097,120000,2600000
"33","Antofagasta","Hombre","2310",906069,1074630,514137
"34","Antofagasta","Hombre","2320",669218,583378,637323
"35","Antofagasta","Hombre","2331",664422,755008,601870
"36","Antofagasta","Hombre","2351",373238,NA,NA
"37","Antofagasta","Hombre","2352",992197,1600000,346975
"38","Antofagasta","Hombre","2359",820500,250000,1350000
"39","Antofagasta","Hombre","2411",970510,951000,898923
"40","Antofagasta","Hombre","2412",1487840,1346891,1632748
"41","Antofagasta","Hombre","2419",931550,1670363,1447841
"42","Antofagasta","Hombre","2421",1633759,1250847,2144473
"43","Antofagasta","Hombre","2441",2106855,NA,NA
"44","Antofagasta","Hombre","2442",1043923,NA,NA
"45","Antofagasta","Hombre","2445",534117,799456,400000
"46","Antofagasta","Hombre","2446",943028,1186747,638539
"47","Antofagasta","Hombre","2451",784033,250000,NA
"48","Antofagasta","Hombre","2452",1763624,NA,1594161
"49","Antofagasta","Hombre","2453",434339,NA,NA
"50","Antofagasta","Hombre","2455",246150,500000,NA
"51","Antofagasta","Hombre","2460",336421,108304,300000
"52","Antofagasta","Hombre","3112",727168,933570,549094
"53","Antofagasta","Hombre","3114",666022,NA,661673
"54","Antofagasta","Hombre","3115",604496,NA,965357
"55","Antofagasta","Hombre","3116",588252,649074,450000
"56","Antofagasta","Hombre","3117",854476,645188,2757174
"57","Antofagasta","Hombre","3118",421570,1029310,NA
"58","Antofagasta","Hombre","3119",437600,1174082,530769
"59","Antofagasta","Hombre","3121",502486,482087,NA
"60","Antofagasta","Hombre","3122",1116198,116129,NA
"61","Antofagasta","Hombre","3131",374038,433462,NA
"62","Antofagasta","Hombre","3132",492300,285786,NA
"63","Antofagasta","Hombre","3141",481360,NA,NA
"64","Antofagasta","Hombre","3143",547000,NA,NA
"65","Antofagasta","Hombre","3144",875200,NA,NA
