"","comuna","sex","occupation","2011","2013","2015"
"1","Alto Hospicio","Hombre","0110",477150,545556,588499
"2","Alto Hospicio","Hombre","1229",908020,1500000,NA
"3","Alto Hospicio","Hombre","1232",929900,NA,NA
"4","Alto Hospicio","Hombre","1313",513500,NA,NA
"5","Alto Hospicio","Hombre","1314",260265,300000,300000
"6","Alto Hospicio","Hombre","1315",308100,1000000,NA
"7","Alto Hospicio","Hombre","1316",553255,160000,NA
"8","Alto Hospicio","Hombre","2113",618110,NA,NA
"9","Alto Hospicio","Hombre","2131",845050,800000,NA
"10","Alto Hospicio","Hombre","2141",1312800,NA,NA
"11","Alto Hospicio","Hombre","2142",2406800,1040678,1000000
"12","Alto Hospicio","Hombre","2147",743920,700000,600000
"13","Alto Hospicio","Hombre","2149",2735000,NA,760294
"14","Alto Hospicio","Hombre","2230",929900,NA,800000
"15","Alto Hospicio","Hombre","2310",572162,NA,NA
"16","Alto Hospicio","Hombre","2320",565550,604878,596957
"17","Alto Hospicio","Hombre","2331",717068,736667,900562
"18","Alto Hospicio","Hombre","2411",711100,494737,567333
"19","Alto Hospicio","Hombre","2419",228608,800000,1000000
"20","Alto Hospicio","Hombre","2446",536060,NA,NA
"21","Alto Hospicio","Hombre","3112",498989,1100000,NA
"22","Alto Hospicio","Hombre","3115",1094000,NA,730263
"23","Alto Hospicio","Hombre","3116",1455020,NA,NA
"24","Alto Hospicio","Hombre","3117",836587,NA,800000
"25","Alto Hospicio","Hombre","3121",765800,1300000,NA
"26","Alto Hospicio","Hombre","3122",131280,NA,NA
"27","Alto Hospicio","Hombre","3228",199108,NA,NA
"28","Alto Hospicio","Hombre","3231",328200,490000,NA
"29","Alto Hospicio","Hombre","3412",765800,55093,700000
"30","Alto Hospicio","Hombre","3415",126494,NA,385000
"31","Alto Hospicio","Hombre","3431",595054,844068,521795
"32","Alto Hospicio","Hombre","3433",559292,NA,NA
"33","Alto Hospicio","Hombre","3439",268887,818644,400000
"34","Alto Hospicio","Hombre","3460",1643200,NA,NA
"35","Alto Hospicio","Hombre","3471",616200,700000,280000
"36","Alto Hospicio","Hombre","3474",43760,NA,NA
"37","Alto Hospicio","Hombre","3475",739440,280000,305067
"38","Alto Hospicio","Hombre","4112",492300,NA,NA
"39","Alto Hospicio","Hombre","4121",382900,437561,742338
"40","Alto Hospicio","Hombre","4131",328200,300000,300000
"41","Alto Hospicio","Hombre","4133",437600,698846,302915
"42","Alto Hospicio","Hombre","4144",65640,NA,NA
"43","Alto Hospicio","Hombre","4190",268137,287368,500000
"44","Alto Hospicio","Hombre","4211",297431,149189,NA
"45","Alto Hospicio","Hombre","4222",328200,559054,379000
"46","Alto Hospicio","Hombre","5122",245144,321952,314912
"47","Alto Hospicio","Hombre","5123",362533,270000,413218
"48","Alto Hospicio","Hombre","5131",218800,400000,250000
"49","Alto Hospicio","Hombre","5141",205400,314516,NA
"50","Alto Hospicio","Hombre","5161",199108,NA,NA
"51","Alto Hospicio","Hombre","5162",343242,638113,600000
"52","Alto Hospicio","Hombre","5163",991372,377778,522500
"53","Alto Hospicio","Hombre","5169",218800,250000,NA
"54","Alto Hospicio","Hombre","5220",280489,291714,360002
"55","Alto Hospicio","Hombre","5230",238264,288298,209346
"56","Alto Hospicio","Hombre","6111",298764,206410,NA
"57","Alto Hospicio","Hombre","6113",196920,NA,296790
"58","Alto Hospicio","Hombre","6114",308100,NA,NA
"59","Alto Hospicio","Hombre","6152",500629,346667,NA
"60","Alto Hospicio","Hombre","6153",295380,NA,463971
"61","Alto Hospicio","Hombre","7111",452542,517988,1000000
"62","Alto Hospicio","Hombre","7121",231349,635294,590000
"63","Alto Hospicio","Hombre","7122",306320,250000,300000
"64","Alto Hospicio","Hombre","7123",328200,NA,NA
"65","Alto Hospicio","Hombre","7124",384786,352800,413393
"66","Alto Hospicio","Hombre","7132",547000,270000,442562
"67","Alto Hospicio","Hombre","7133",196920,300000,NA
"68","Alto Hospicio","Hombre","7136",291402,225000,300000
"69","Alto Hospicio","Hombre","7137",412314,350000,209890
"70","Alto Hospicio","Hombre","7141",318770,391963,366355
"71","Alto Hospicio","Hombre","7142",386369,NA,226429
"72","Alto Hospicio","Hombre","7212",382900,314762,400000
"73","Alto Hospicio","Hombre","7213",547000,NA,400000
"74","Alto Hospicio","Hombre","7214",317514,301389,550000
"75","Alto Hospicio","Hombre","7223",492300,NA,580000
"76","Alto Hospicio","Hombre","7231",378790,350000,366667
"77","Alto Hospicio","Hombre","7233",382900,590000,829189
"78","Alto Hospicio","Hombre","7241",547000,436905,393151
"79","Alto Hospicio","Hombre","7243",433953,323077,NA
"80","Alto Hospicio","Hombre","7244",547000,200000,NA
"81","Alto Hospicio","Hombre","7245",293602,285714,306452
"82","Alto Hospicio","Hombre","7411",208954,200000,290000
"83","Alto Hospicio","Hombre","7412",278326,390000,243861
"84","Alto Hospicio","Hombre","7422",428374,405340,224315
"85","Alto Hospicio","Hombre","7424",410800,NA,218462
"86","Alto Hospicio","Hombre","8111",561918,700000,552328
"87","Alto Hospicio","Hombre","8112",929900,327119,515289
"88","Alto Hospicio","Hombre","8113",547000,435556,850000
"89","Alto Hospicio","Hombre","8163",251073,NA,NA
"90","Alto Hospicio","Hombre","8211",765800,800000,NA
"91","Alto Hospicio","Hombre","8222",382900,550000,NA
"92","Alto Hospicio","Hombre","8223",306320,NA,NA
"93","Alto Hospicio","Hombre","8231",1643200,419712,516471
"94","Alto Hospicio","Hombre","8240",678280,NA,NA
"95","Alto Hospicio","Hombre","8251",218800,380000,NA
"96","Alto Hospicio","Hombre","8264",415720,NA,NA
"97","Alto Hospicio","Hombre","8269",273500,NA,NA
"98","Alto Hospicio","Hombre","8271",218800,280000,NA
"99","Alto Hospicio","Hombre","8290",359255,NA,349385
"100","Alto Hospicio","Hombre","8322",487118,525250,350000
"101","Alto Hospicio","Hombre","8323",388917,409211,402381
"102","Alto Hospicio","Hombre","8324",412985,400000,410000
"103","Alto Hospicio","Hombre","8331",492300,NA,NA
"104","Alto Hospicio","Hombre","8332",340508,800000,700000
"105","Alto Hospicio","Hombre","8333",547000,399406,NA
"106","Alto Hospicio","Hombre","8340",382900,297447,500000
"107","Alto Hospicio","Hombre","9111",286259,176923,174603
"108","Alto Hospicio","Hombre","9112",319027,207273,122206
"109","Alto Hospicio","Hombre","9131",218800,NA,NA
"110","Alto Hospicio","Hombre","9132",225364,332973,263247
"111","Alto Hospicio","Hombre","9141",164100,NA,398280
"112","Alto Hospicio","Hombre","9142",222741,209091,280112
"113","Alto Hospicio","Hombre","9151",228876,290625,266463
"114","Alto Hospicio","Hombre","9152",251620,290000,300000
"115","Alto Hospicio","Hombre","9161",393840,308077,250000
"116","Alto Hospicio","Hombre","9162",289070,210000,247172
"117","Alto Hospicio","Hombre","9211",328200,NA,NA
"118","Alto Hospicio","Hombre","9213",204720,150000,300000
"119","Alto Hospicio","Hombre","9311",281705,NA,606757
"120","Alto Hospicio","Hombre","9312",226093,300000,240000
"121","Alto Hospicio","Hombre","9313",218800,300000,252632
"122","Alto Hospicio","Hombre","9322",203348,100000,450000
