"","occupation","sex","2011","2013","2015"
"1","0110","Hombre",547000,500000,700000
"2","0110","Mujer",482475,400000,690323
"3","1110","Hombre",1395163,381515,3470130
"4","1110","Mujer",511445,490344,678800
"5","1120","Hombre",889410,1319610,1621170
"6","1120","Mujer",493697,900000,701548
"7","1130","Hombre",492300,480000,1081000
"8","1130","Mujer",478376,NA,505000
"9","1142",NA,NA,NA,NA
"10","1143","Mujer",437600,769498,566316
"11","1210","Hombre",3276101,2582683,2474257
"12","1210","Mujer",1638532,2210121,1000000
"13","1221","Mujer",1094000,NA,990000
"14","1222",NA,NA,NA,NA
"15","1223","Hombre",1422274,NA,2977236
"16","1224","Hombre",1094000,3000000,7000000
"17","1226",NA,NA,NA,NA
"18","1227","Mujer",547000,2000000,594021
"19","1229","Hombre",1434930,800000,1311945
"20","1229","Mujer",1094000,1000000,1100000
"21","1231","Hombre",759980,945225,2269565
"22","1231","Mujer",1329816,1600000,1133333
"23","1232","Hombre",511815,900000,971014
"24","1232","Mujer",313312,701416,1500000
"25","1233","Hombre",468394,620252,2964758
"26","1233","Mujer",795967,636579,1334286
"27","1234","Hombre",547000,467021,947573
"28","1235","Hombre",1094000,896721,476757
"29","1236",NA,NA,NA,NA
"30","1237","Hombre",1641000,7000000,969880
"31","1237","Mujer",794487,1050000,2234259
"32","1239","Hombre",656400,956757,1000000
"33","1239","Mujer",1643200,800000,1081034
"34","1311","Hombre",1232400,600000,700000
"35","1311","Mujer",2768815,455034,306522
"36","1312","Hombre",1178981,951938,975296
"37","1312","Mujer",878296,204487,997006
"38","1313","Hombre",1034772,800000,703090
"39","1313","Mujer",2054000,529560,1000000
"40","1314","Hombre",616200,350000,400000
"41","1314","Mujer",345072,200000,200000
"42","1315","Hombre",1027000,500000,500000
"43","1315","Mujer",410800,210000,300000
"44","1316","Hombre",1438244,1000000,1000000
"45","1316","Mujer",2054000,926882,789607
"46","1317","Hombre",3081000,1000000,2000000
"47","1317","Mujer",697011,793755,700000
"48","1318","Hombre",1740298,1000000,858472
"49","1318","Mujer",1543867,686822,500000
"50","1319","Hombre",3126945,1500161,1000000
"51","1319","Mujer",1146361,1205109,659380
"52","2111","Hombre",1799653,901498,1884444
"53","2112","Hombre",1758356,1264143,1929577
"54","2113","Hombre",989375,1348780,1300000
"55","2113","Mujer",943797,900000,1000000
"56","2114","Hombre",1747613,1742723,2887129
"57","2114","Mujer",795290,2702139,2177670
"58","2121",NA,NA,NA,NA
"59","2122","Hombre",558521,1044633,1673248
"60","2122","Mujer",771175,500000,1178095
"61","2131","Hombre",765800,1000000,1000000
"62","2131","Mujer",656400,1500000,1415663
"63","2132","Hombre",808035,888791,800000
"64","2132","Mujer",328200,718546,800000
"65","2139","Hombre",1250575,1352636,762763
"66","2139","Mujer",1350543,500000,1261818
"67","2141","Hombre",877017,1000000,1004396
"68","2141","Mujer",984600,750000,1050645
"69","2142","Hombre",1367500,1500000,1500000
"70","2142","Mujer",875200,1187734,1000000
"71","2143","Hombre",1410394,1000000,1200000
"72","2144","Hombre",449904,889294,808153
"73","2144","Mujer",1672068,596552,1560690
"74","2145","Hombre",1094000,800000,1200000
"75","2146","Hombre",1094000,2078221,1058323
"76","2146","Mujer",656400,1000000,956911
"77","2147","Hombre",1539681,1000000,1800000
"78","2147","Mujer",386630,1091837,1050442
"79","2148","Hombre",992510,711165,814286
"80","2148","Mujer",1000441,900000,1087565
"81","2149","Hombre",1027000,1200000,1000000
"82","2149","Mujer",994841,809438,800000
"83","2211","Hombre",1035302,1200000,845420
"84","2211","Mujer",437600,720896,648922
"85","2212","Hombre",706488,812757,1196875
"86","2212","Mujer",903362,200000,1844518
"87","2213","Hombre",875200,1000000,900000
"88","2213","Mujer",1232838,1053552,761233
"89","2221","Hombre",1641000,889527,2500000
"90","2221","Mujer",1027000,1400000,1283739
"91","2222","Hombre",1422200,1372009,1500000
"92","2222","Mujer",940703,794761,1000000
"93","2223","Hombre",1114998,800000,495672
"94","2223","Mujer",754760,689581,541327
"95","2224","Hombre",720861,842283,1039130
"96","2224","Mujer",754775,683860,1282500
"97","2229","Hombre",851408,870567,970877
"98","2229","Mujer",666625,494389,601436
"99","2230","Hombre",1067744,1098678,1000000
"100","2230","Mujer",875200,800000,920000
"101","2310","Hombre",808879,650000,622780
"102","2310","Mujer",724345,700000,764253
"103","2320","Hombre",656400,600000,600000
"104","2320","Mujer",547000,500000,600000
"105","2331","Hombre",549307,600000,600000
"106","2331","Mujer",547000,500000,600000
"107","2332","Hombre",293240,430973,700000
"108","2332","Mujer",492300,480000,530000
"109","2340","Hombre",372478,519491,540667
"110","2340","Mujer",556688,600000,600000
"111","2351","Hombre",540036,NA,600000
"112","2351","Mujer",569796,803256,600000
"113","2352","Hombre",328200,1028571,567504
"114","2352","Mujer",480765,484132,400000
"115","2359","Hombre",664107,600000,550000
"116","2359","Mujer",601514,538878,500000
"117","2411","Hombre",871388,757569,800000
"118","2411","Mujer",718003,650000,600000
"119","2412","Hombre",721713,929075,1000000
"120","2412","Mujer",923557,1326484,1000000
"121","2419","Hombre",918952,800000,1000000
"122","2419","Mujer",656400,692949,878721
"123","2421","Hombre",1399011,1200000,1302599
"124","2421","Mujer",1108395,1408646,900000
"125","2422","Hombre",2188000,3343502,2859574
"126","2422","Mujer",1654506,NA,1015201
"127","2429","Hombre",491862,213483,769388
"128","2429","Mujer",632770,331092,554341
"129","2431","Hombre",820500,NA,923882
"130","2432","Hombre",243220,1200000,739757
"131","2432","Mujer",649874,352347,555015
"132","2441","Hombre",1641000,1059049,1864894
"133","2441","Mujer",875200,631381,1733766
"134","2442","Hombre",1359134,696790,1170355
"135","2442","Mujer",636156,599999,800000
"136","2443","Hombre",1561989,2139015,369333
"137","2443","Mujer",613225,1154852,554348
"138","2444","Hombre",184012,382456,500000
"139","2444","Mujer",708732,581674,402414
"140","2445","Hombre",765800,757707,938118
"141","2445","Mujer",820500,746606,700000
"142","2446","Hombre",494963,700000,600000
"143","2446","Mujer",560572,600000,637145
"144","2451","Hombre",759943,935584,948580
"145","2451","Mujer",765800,700000,866737
"146","2452","Hombre",399232,143011,1023729
"147","2452","Mujer",472201,330864,315000
"148","2453","Hombre",498639,800000,401887
"149","2453","Mujer",662256,100000,795238
"150","2454","Hombre",2054000,270000,251894
"151","2454","Mujer",143780,310472,265988
"152","2455","Hombre",625367,684615,500000
"153","2455","Mujer",584618,400000,300000
"154","2460","Hombre",363668,200000,300000
"155","2460","Mujer",499285,141176,600000
"156","3111","Hombre",441065,492800,482337
"157","3111","Mujer",1203400,258341,475000
"158","3112","Hombre",517081,682236,600000
"159","3112","Mujer",266447,360737,513793
"160","3113","Hombre",215090,500000,500000
"161","3113","Mujer",202390,331562,302326
"162","3114","Hombre",437600,576458,500000
"163","3114","Mujer",465421,282889,508140
"164","3115","Hombre",648795,400000,500000
"165","3116","Hombre",455053,765909,540517
"166","3116","Mujer",376668,419512,655414
"167","3117","Hombre",875200,772152,800000
"168","3117","Mujer",560813,466170,489865
"169","3118","Hombre",371531,500000,500000
"170","3118","Mujer",437600,329366,500000
"171","3119","Hombre",458774,600000,572927
"172","3119","Mujer",364070,261716,439955
"173","3121","Hombre",328200,450000,560000
"174","3121","Mujer",350080,313090,530688
"175","3122","Hombre",416972,366827,407042
"176","3122","Mujer",255348,1016518,585714
"177","3123",NA,NA,NA,NA
"178","3131","Hombre",395585,310683,400000
"179","3131","Mujer",299439,245410,400000
"180","3132","Hombre",394907,390134,300000
"181","3132","Mujer",405318,324545,280000
"182","3133","Hombre",95383,300000,423000
"183","3139","Hombre",443135,300462,330645
"184","3139","Mujer",109400,NA,290000
"185","3141","Hombre",277615,900000,517219
"186","3142","Hombre",428649,558889,1000000
"187","3143","Hombre",886897,3595122,1500000
"188","3144","Hombre",735580,815079,708696
"189","3144","Mujer",3829000,NA,700000
"190","3145","Hombre",245877,1130279,725984
"191","3151","Hombre",492300,570610,500000
"192","3151","Mujer",305749,476615,400000
"193","3152","Hombre",437600,500000,550000
"194","3152","Mujer",517021,367296,403384
"195","3211","Hombre",7682385,277000,453947
"196","3211","Mujer",284440,430704,600000
"197","3212","Hombre",414467,377289,400000
"198","3212","Mujer",335938,193784,500000
"199","3213","Hombre",547000,443364,550000
"200","3213","Mujer",358480,394846,362162
"201","3221","Hombre",307368,950000,400000
"202","3221","Mujer",205902,500000,380000
"203","3222",NA,NA,NA,NA
"204","3223","Hombre",538006,523699,718182
"205","3223","Mujer",653226,800000,600000
"206","3224","Hombre",422284,240269,325911
"207","3224","Mujer",193401,600000,433091
"208","3225","Hombre",195551,298379,374123
"209","3225","Mujer",285745,252347,315247
"210","3226","Hombre",875200,859879,680000
"211","3226","Mujer",218800,500000,380453
"212","3227","Hombre",183023,334426,250000
"213","3227","Mujer",56589,134862,253053
"214","3228","Hombre",460876,367596,450000
"215","3228","Mujer",199158,350000,400000
"216","3229","Hombre",796602,500000,533306
"217","3229","Mujer",325038,400000,450000
"218","3231","Hombre",328200,350000,420000
"219","3231","Mujer",282193,300000,350000
"220","3241","Hombre",575120,175000,87216
"221","3241","Mujer",308100,283125,163958
"222","3242","Hombre",142220,320782,250000
"223","3242","Mujer",102608,200000,400000
"224","3310","Hombre",307775,1035846,292396
"225","3310","Mujer",277914,250000,247425
"226","3320","Mujer",248212,242591,300000
"227","3330","Hombre",437600,NA,302472
"228","3330","Mujer",221475,236875,282576
"229","3340","Hombre",390311,400000,400000
"230","3340","Mujer",308946,250000,250000
"231","3411","Hombre",701802,800000,719474
"232","3411","Mujer",451029,509127,570000
"233","3412","Hombre",550379,500000,650000
"234","3412","Mujer",379694,400000,476000
"235","3413","Hombre",1027000,600000,500000
"236","3413","Mujer",701248,500000,500000
"237","3414","Hombre",522589,395446,532618
"238","3414","Mujer",328200,534931,500000
"239","3415","Hombre",251620,420000,700000
"240","3415","Mujer",420717,500000,500000
"241","3416","Hombre",310889,500000,620440
"242","3416","Mujer",437600,350310,350000
"243","3417","Hombre",295380,406626,496121
"244","3419","Hombre",765800,1921667,665464
"245","3419","Mujer",306529,506117,500618
"246","3421","Hombre",255473,660108,716732
"247","3421","Mujer",484344,298246,719492
"248","3422","Hombre",289408,634454,826983
"249","3422","Mujer",447641,NA,1025587
"250","3423","Hombre",548753,600000,500000
"251","3423","Mujer",321161,860728,359557
"252","3429","Hombre",266886,489752,560650
"253","3429","Mujer",109400,588660,500000
"254","3431","Hombre",492300,400000,550000
"255","3431","Mujer",328200,350355,400000
"256","3432","Hombre",291074,522131,450000
"257","3432","Mujer",437600,527565,500000
"258","3433","Hombre",386726,470091,600000
"259","3433","Mujer",382900,400000,500000
"260","3434","Hombre",169625,348200,463684
"261","3439","Hombre",473940,600000,523170
"262","3439","Mujer",372016,400000,400000
"263","3441","Hombre",547000,500000,476761
"264","3441","Mujer",303183,918947,331429
"265","3442","Hombre",492300,499738,509655
"266","3442","Mujer",386914,427941,512910
"267","3443","Hombre",1094000,621648,513785
"268","3444","Hombre",928490,360000,491929
"269","3444","Mujer",1281598,NA,972992
"270","3449","Hombre",328200,359999,713438
"271","3449","Mujer",470420,415411,500000
"272","3450","Hombre",1117090,804274,600000
"273","3450","Mujer",917029,800000,921538
"274","3460","Hombre",426289,414876,400000
"275","3460","Mujer",320315,410340,400000
"276","3471","Hombre",452657,458104,400000
"277","3471","Mujer",465706,400000,390208
"278","3472","Hombre",382900,484778,350000
"279","3472","Mujer",288218,312903,162849
"280","3473","Hombre",259006,250000,248694
"281","3473","Mujer",128064,436706,252727
"282","3474","Hombre",67426,153084,200000
"283","3474","Mujer",189253,107943,143442
"284","3475","Hombre",426050,294792,250000
"285","3475","Mujer",314899,257885,266669
"286","3480","Hombre",392569,216014,350000
"287","3480","Mujer",218800,428723,266828
"288","4111","Mujer",196920,319515,261642
"289","4112","Hombre",304406,327895,344667
"290","4112","Mujer",205466,240782,294505
"291","4113","Hombre",328200,292743,331549
"292","4113","Mujer",268603,297572,300000
"293","4114",NA,NA,NA,NA
"294","4115","Hombre",218800,380000,381684
"295","4115","Mujer",273500,300000,350000
"296","4121","Hombre",433854,422580,480086
"297","4121","Mujer",266198,314476,380000
"298","4122","Hombre",347641,500000,400000
"299","4122","Mujer",421530,350000,460467
"300","4131","Hombre",258752,300000,345058
"301","4131","Mujer",203503,240000,300000
"302","4132","Hombre",322296,400000,500000
"303","4132","Mujer",271649,162821,395159
"304","4133","Hombre",275303,300000,400000
"305","4133","Mujer",199108,209593,300000
"306","4141","Hombre",226917,366441,500000
"307","4141","Mujer",218800,221846,328018
"308","4142","Hombre",247539,210000,300000
"309","4142","Mujer",218800,208705,250000
"310","4143","Hombre",251620,235379,350000
"311","4143","Mujer",308056,300000,306741
"312","4144","Hombre",65640,631266,361290
"313","4144","Mujer",302342,501463,1400000
"314","4190","Hombre",415720,364646,450000
"315","4190","Mujer",328200,375055,380000
"316","4211","Hombre",260600,280000,270000
"317","4211","Mujer",202390,210000,250000
"318","4212","Hombre",172292,182092,400000
"319","4212","Mujer",196920,1600153,334173
"320","4213","Hombre",213976,290326,400000
