"","provincia","sex","occupation","2011","2013","2015"
"1","Antofagasta","Hombre","0110",439978,522079,520656
"2","Antofagasta","Hombre","1120",2625600,NA,NA
"3","Antofagasta","Hombre","1141",437600,NA,NA
"4","Antofagasta","Hombre","1210",3172600,NA,NA
"5","Antofagasta","Hombre","1229",1130467,1704000,NA
"6","Antofagasta","Hombre","1312",1786866,1355395,814824
"7","Antofagasta","Hombre","1313",2849925,2000000,NA
"8","Antofagasta","Hombre","1314",718900,300000,450000
"9","Antofagasta","Hombre","1315",918156,545432,NA
"10","Antofagasta","Hombre","1316",866187,595775,1000000
"11","Antofagasta","Hombre","1317",1983700,2457447,1300000
"12","Antofagasta","Hombre","1319",3282000,1450000,2500000
"13","Antofagasta","Hombre","2113",817461,672816,841361
"14","Antofagasta","Hombre","2114",1360870,900000,NA
"15","Antofagasta","Hombre","2131",802028,909369,2000000
"16","Antofagasta","Hombre","2139",1120683,2598455,NA
"17","Antofagasta","Hombre","2141",988652,977992,300000
"18","Antofagasta","Hombre","2142",1094000,1137645,1976259
"19","Antofagasta","Hombre","2143",1586300,1644534,NA
"20","Antofagasta","Hombre","2144",676710,NA,NA
"21","Antofagasta","Hombre","2145",1101459,977457,1908989
"22","Antofagasta","Hombre","2146",1094000,1200000,500000
"23","Antofagasta","Hombre","2147",1611097,2126515,1915966
"24","Antofagasta","Hombre","2148",422597,NA,806684
"25","Antofagasta","Hombre","2149",990054,1032736,1172222
"26","Antofagasta","Hombre","2213",703467,1800000,NA
"27","Antofagasta","Hombre","2221",911667,1230952,2000000
"28","Antofagasta","Hombre","2222",1985297,800000,NA
"29","Antofagasta","Hombre","2223",875200,NA,NA
"30","Antofagasta","Hombre","2230",957917,NA,2600000
"31","Antofagasta","Hombre","2310",875200,980417,518023
"32","Antofagasta","Hombre","2320",602992,600000,432041
"33","Antofagasta","Hombre","2331",536636,818792,584138
"34","Antofagasta","Hombre","2351",311687,NA,NA
"35","Antofagasta","Hombre","2352",992197,NA,346975
"36","Antofagasta","Hombre","2359",820500,NA,NA
"37","Antofagasta","Hombre","2411",855988,865241,793250
"38","Antofagasta","Hombre","2412",2188000,1346891,2700000
