"","region","sex","occupation","2011","2013","2015"
"1","Antofagasta","Hombre","0110",492300,522079,525000
"2","Antofagasta","Hombre","1120",2625600,NA,NA
"3","Antofagasta","Hombre","1141",437600,NA,NA
"4","Antofagasta","Hombre","1210",3172600,NA,NA
"5","Antofagasta","Hombre","1229",862329,1704000,1350000
"6","Antofagasta","Hombre","1232",1312800,NA,1800000
"7","Antofagasta","Hombre","1312",1786866,1355395,814824
"8","Antofagasta","Hombre","1313",3046121,2000000,NA
"9","Antofagasta","Hombre","1314",718900,300000,450000
"10","Antofagasta","Hombre","1315",948000,448515,400000
"11","Antofagasta","Hombre","1316",821600,677064,1000000
"12","Antofagasta","Hombre","1317",1983700,2484043,1237500
"13","Antofagasta","Hombre","1319",1287387,1200000,2125654
"14","Antofagasta","Hombre","2113",759164,600000,1000000
"15","Antofagasta","Hombre","2114",982272,900000,NA
"16","Antofagasta","Hombre","2131",770626,909369,2000000
"17","Antofagasta","Hombre","2132",1312800,695714,658812
"18","Antofagasta","Hombre","2139",1120683,2598455,NA
"19","Antofagasta","Hombre","2141",988652,977992,403239
"20","Antofagasta","Hombre","2142",1398757,1475500,1948921
"21","Antofagasta","Hombre","2143",1312800,1521488,NA
"22","Antofagasta","Hombre","2144",700149,NA,670000
"23","Antofagasta","Hombre","2145",779475,984245,1631507
"24","Antofagasta","Hombre","2146",1114807,1200000,500000
"25","Antofagasta","Hombre","2147",1172631,597059,1764985
"26","Antofagasta","Hombre","2148",490346,NA,806684
"27","Antofagasta","Hombre","2149",1312800,1028294,1298188
"28","Antofagasta","Hombre","2213",576657,1800000,NA
"29","Antofagasta","Hombre","2221",1030885,1114286,2000000
"30","Antofagasta","Hombre","2222",1043819,800000,1700000
"31","Antofagasta","Hombre","2223",875200,NA,NA
"32","Antofagasta","Hombre","2230",871072,120000,2600000
"33","Antofagasta","Hombre","2310",875200,980417,371922
"34","Antofagasta","Hombre","2320",593495,600000,700000
"35","Antofagasta","Hombre","2331",601700,807203,496667
"36","Antofagasta","Hombre","2351",311687,NA,NA
"37","Antofagasta","Hombre","2352",992197,1600000,346975
"38","Antofagasta","Hombre","2359",820500,250000,1350000
"39","Antofagasta","Hombre","2411",601700,902289,773756
"40","Antofagasta","Hombre","2412",1487840,1346891,1291701
"41","Antofagasta","Hombre","2419",656400,1530000,1500000
"42","Antofagasta","Hombre","2421",1548249,1250847,989907
"43","Antofagasta","Hombre","2441",1978836,NA,NA
"44","Antofagasta","Hombre","2442",1043923,NA,NA
"45","Antofagasta","Hombre","2445",502193,751232,400000
"46","Antofagasta","Hombre","2446",943028,1186747,628986
"47","Antofagasta","Hombre","2451",649226,250000,NA
"48","Antofagasta","Hombre","2452",1763624,NA,1594161
"49","Antofagasta","Hombre","2453",365482,NA,NA
"50","Antofagasta","Hombre","2455",246150,500000,NA
"51","Antofagasta","Hombre","2460",336421,100325,300000
"52","Antofagasta","Hombre","3112",583602,779121,442431
"53","Antofagasta","Hombre","3114",536950,NA,570725
"54","Antofagasta","Hombre","3115",462791,NA,1201744
"55","Antofagasta","Hombre","3116",633745,649074,450000
"56","Antofagasta","Hombre","3117",984600,625191,2087356
"57","Antofagasta","Hombre","3118",293878,460156,NA
"58","Antofagasta","Hombre","3119",437600,1174082,530769
"59","Antofagasta","Hombre","3121",403713,459880,NA
"60","Antofagasta","Hombre","3122",517641,116129,NA
"61","Antofagasta","Hombre","3131",347736,460584,NA
"62","Antofagasta","Hombre","3132",492300,285786,NA
"63","Antofagasta","Hombre","3141",481360,NA,NA
"64","Antofagasta","Hombre","3143",547000,NA,NA
