"","geography_level","geography_name","geography_id","year","sex","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1","comuna","Alhué","2",1990,"Hombre",46426,36240,"[41420, 51181]","[33824, 39732]"
"2","comuna","Alhué","2",1990,"Mujer",37302,32616,"[30524, 43736]","[28992, 38493]"
"3","comuna","Andacollo","7",1990,"Hombre",60027,52702,"[51856, 70360]","[46031, 60966]"
"4","comuna","Andacollo","7",1990,"Mujer",34414,34128,"[22511, 46271]","[15487, 43888]"
"5","comuna","Angol","8",1990,"Hombre",86059,43488,"[61681, 108421]","[41646, 60400]"
"6","comuna","Angol","8",1990,"Mujer",60601,42280,"[45938, 76389]","[28292, 70702]"
"7","comuna","Antofagasta","9",1990,"Hombre",111210,60400,"[99609, 124402]","[59966, 72480]"
"8","comuna","Antofagasta","9",1990,"Mujer",74798,54360,"[66807, 85198]","[48320, 60400]"
"9","comuna","Arica","12",1990,"Hombre",84168,59400,"[75724, 92814]","[54360, 59400]"
"10","comuna","Arica","12",1990,"Mujer",63933,36240,"[54892, 73516]","[35250, 46926]"
"11","comuna","Aysén","13",1990,"Hombre",92578,60400,"[78224, 113784]","[57984, 69300]"
"12","comuna","Aysén","13",1990,"Mujer",58460,44015,"[48479, 68332]","[39600, 54360]"
"13","comuna","Buin","14",1990,"Hombre",79550,43155,"[62726, 96408]","[39062, 48320]"
"14","comuna","Buin","14",1990,"Mujer",43607,36240,"[38027, 49134]","[33992, 39600]"
"15","comuna","Bulnes","15",1990,"Hombre",62793,31408,"[36157, 103030]","[29566, 36240]"
"16","comuna","Bulnes","15",1990,"Mujer",30064,31408,"[21174, 39795]","[14496, 48320]"
"17","comuna","Calama","19",1990,"Hombre",132854,77499,"[118302, 156704]","[72480, 84560]"
"18","comuna","Calama","19",1990,"Mujer",77890,47070,"[59602, 93576]","[37025, 54927]"
"19","comuna","Calera","22",1990,"Hombre",74058,45904,"[47707, 116153]","[31166, 54360]"
"20","comuna","Calera","22",1990,"Mujer",110826,33824,"[27723, 269594]","[24933, 49500]"
"21","comuna","Calera de Tango","23",1990,"Hombre",52616,39864,"[47511, 61698]","[38490, 42280]"
"22","comuna","Calera de Tango","23",1990,"Mujer",41352,36240,"[37496, 47254]","[36034, 43564]"
"23","comuna","Cartagena","30",1990,"Hombre",74730,48910,"[41128, 111820]","[24160, 60242]"
"24","comuna","Cartagena","30",1990,"Mujer",30818,31408,"[18832, 44954]","[12820, 49500]"
"25","comuna","Casablanca","31",1990,"Hombre",41536,36240,"[36094, 47324]","[32681, 37270]"
"26","comuna","Casablanca","31",1990,"Mujer",28053,30723,"[22158, 33869]","[21744, 35708]"
"27","comuna","Castro","32",1990,"Hombre",113298,59400,"[87958, 152974]","[48320, 70135]"
"28","comuna","Castro","32",1990,"Mujer",47981,33824,"[34464, 68847]","[29700, 48320]"
"29","comuna","Cauquenes","34",1990,"Hombre",49436,32012,"[38091, 63807]","[25972, 39600]"
"30","comuna","Cauquenes","34",1990,"Mujer",36468,30200,"[27745, 44912]","[20723, 39600]"
"31","comuna","Cerro Navia","36",1990,"Hombre",60425,48320,"[55360, 66467]","[42280, 51536]"
