"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1","provincia","Antofagasta","p21","1990","Hombre",108207,60400,"[97569, 118758]","[59494, 72480]"
"2","provincia","Arauco","p82","1990","Hombre",48339,36240,"[43145, 55450]","[36240, 41886]"
"3","provincia","Arica","p151","1990","Hombre",84004,59400,"[75753, 91832]","[54360, 59400]"
"4","provincia","Aysén","p112","1990","Hombre",93382,60400,"[80682, 112092]","[56739, 66995]"
"5","provincia","Bíobío","p83","1990","Hombre",100791,42280,"[69491, 137817]","[37148, 45906]"
"6","provincia","Cachapoal","p61","1990","Hombre",84969,48320,"[77321, 95546]","[47112, 54360]"
"7","provincia","Cardenal Caro","p62","1990","Hombre",43081,32779,"[35720, 51228]","[31408, 39865]"
"8","provincia","Cauquenes","p72","1990","Hombre",70255,31408,"[39558, 128409]","[29700, 36240]"
"9","provincia","Cautín","p91","1990","Hombre",81352,39600,"[71375, 96467]","[36240, 39600]"
"10","provincia","Chacabuco","p133","1990","Hombre",55385,39864,"[51012, 59580]","[38656, 42280]"
"11","provincia","Chañaral","p32","1990","Hombre",130114,78520,"[99005, 167719]","[64063, 93771]"
"12","provincia","Chiloé","p102","1990","Hombre",77685,42241,"[61919, 94035]","[36240, 48320]"
"13","provincia","Choapa","p42","1990","Hombre",53570,39600,"[48361, 61408]","[36240, 51292]"
"14","provincia","Colchagua","p63","1990","Hombre",48564,36240,"[44996, 53811]","[33824, 36240]"
"15","provincia","Concepción","p81","1990","Hombre",92802,53152,"[83997, 103945]","[48958, 56776]"
"16","provincia","Copiapó","p31","1990","Hombre",102855,59400,"[86041, 121771]","[52247, 60400]"
"17","provincia","Cordillera","p152","1990","Hombre",88027,56776,"[76967, 100756]","[50252, 60400]"
"18","provincia","Coyhaique","p111","1990","Hombre",90584,54360,"[77495, 104201]","[50252, 59400]"
"19","provincia","Curicó","p73","1990","Hombre",94347,36240,"[70341, 123062]","[36240, 39600]"
"20","provincia","El Loa","p22","1990","Hombre",131842,75360,"[116815, 156289]","[72467, 84560]"
"21","provincia","Elqui","p41","1990","Hombre",86440,46904,"[73497, 99573]","[42280, 48320]"
"22","provincia","Huasco","p33","1990","Hombre",103863,54360,"[85840, 138913]","[46249, 60400]"
"23","provincia","Iquique","p11","1990","Hombre",159236,96640,"[133607, 187829]","[84560, 99041]"
"24","provincia","Limarí","p43","1990","Hombre",56058,34056,"[47465, 68090]","[32616, 36240]"
"25","provincia","Linares","p74","1990","Hombre",65298,33001,"[55357, 73876]","[31408, 36240]"
"26","provincia","Llanquihue","p101","1990","Hombre",85501,39600,"[71279, 104355]","[37638, 42432]"
"27","provincia","Los Andes","p53","1990","Hombre",63054,41072,"[45660, 85055]","[31408, 59400]"
"28","provincia","Magallanes","p121","1990","Hombre",101550,60400,"[89304, 113369]","[59400, 70880]"
"29","provincia","Maipo","p134","1990","Hombre",87335,55440,"[77254, 101198]","[49586, 60400]"
"30","provincia","Malleco","p92","1990","Hombre",55025,33001,"[47848, 63682]","[31408, 36240]"
"31","provincia","Marga Marga","p58","1990","Hombre",85521,72480,"[76791, 96226]","[59400, 80607]"
"32","provincia","Melipilla","p135","1990","Hombre",56562,36361,"[50935, 65731]","[36240, 41229]"
"33","provincia","Ñuble","p84","1990","Hombre",63729,31408,"[49428, 79783]","[31408, 32798]"
"34","provincia","Osorno","p103","1990","Hombre",96074,35032,"[72362, 124200]","[31408, 36240]"
"35","provincia","Petorca","p54","1990","Hombre",51617,33982,"[39661, 72669]","[32616, 38876]"
