"","geography_level","geography_name","geography_id","year","sexo","weighted_mean_income","weighted_median_income","ci_weighted_mean_income","ci_weighted_median_income"
"1","region","Antofagasta","2","1990","Hombre",113278,67838,"[103071, 121122]","[60400, 72480]"
"2","region","Araucanía","9","1990","Hombre",73769,36240,"[65980, 82914]","[36240, 36429]"
"3","region","Arica y Parinacota","15","1990","Hombre",84004,59400,"[75753, 91832]","[54360, 59400]"
"4","region","Atacama","3","1990","Hombre",108303,59400,"[94704, 121573]","[54360, 60400]"
"5","region","Aysén","11","1990","Hombre",91655,59400,"[82546, 100710]","[54360, 60400]"
"6","region","Bíobío","8","1990","Hombre",80482,42280,"[72477, 86852]","[39600, 42280]"
"7","region","Coquimbo","4","1990","Hombre",74039,39600,"[65805, 83597]","[36574, 41555]"
"8","region","Los Lagos","10","1990","Hombre",88014,37063,"[74636, 104963]","[36240, 39600]"
"9","region","Los Ríos","14","1990","Hombre",66661,36961,"[60327, 71931]","[36240, 41559]"
"10","region","Magallanes","12","1990","Hombre",95614,59400,"[89471, 105100]","[52640, 60400]"
"11","region","Maule","7","1990","Hombre",76283,36240,"[68325, 86014]","[36240, 36240]"
"12","region","Metropolitana","13","1990","Hombre",108570,59400,"[103964, 113056]","[57984, 59400]"
"13","region","O'Higgins","6","1990","Hombre",72602,42280,"[67392, 78935]","[39535, 43488]"
"14","region","Tarapacá","1","1990","Hombre",152701,89751,"[130226, 186100]","[82486, 99000]"
"15","region","Valparaíso","5","1990","Hombre",83109,46937,"[76043, 97482]","[42280, 48320]"
"16","region","Antofagasta","2","1990","Mujer",74300,48854,"[67613, 82380]","[43433, 59301]"
"17","region","Araucanía","9","1990","Mujer",52781,32761,"[46346, 59960]","[31408, 36240]"
"18","region","Arica y Parinacota","15","1990","Mujer",63864,36240,"[53726, 72617]","[35073, 44183]"
"19","region","Atacama","3","1990","Mujer",56318,36240,"[49401, 63621]","[33824, 38748]"
"20","region","Aysén","11","1990","Mujer",62501,39600,"[54008, 72324]","[36240, 44696]"
"21","region","Bíobío","8","1990","Mujer",50077,31408,"[45152, 55527]","[31408, 36240]"
"22","region","Coquimbo","4","1990","Mujer",48997,33824,"[43257, 57028]","[31408, 36240]"
"23","region","Los Lagos","10","1990","Mujer",48554,31408,"[45306, 53658]","[31408, 33824]"
"24","region","Los Ríos","14","1990","Mujer",50377,36240,"[45488, 55760]","[33824, 39600]"
"25","region","Magallanes","12","1990","Mujer",65176,36573,"[56476, 73895]","[35843, 44122]"
"26","region","Maule","7","1990","Mujer",52092,36015,"[46996, 58055]","[32616, 36240]"
"27","region","Metropolitana","13","1990","Mujer",68069,42280,"[64770, 70779]","[41912, 42280]"
"28","region","O'Higgins","6","1990","Mujer",46634,33824,"[42335, 49897]","[31408, 36240]"
"29","region","Tarapacá","1","1990","Mujer",116081,49500,"[82975, 151635]","[48320, 61668]"
"30","region","Valparaíso","5","1990","Mujer",51313,31408,"[45605, 57787]","[31408, 36156]"
"31","region","Antofagasta","2","1992","Hombre",136944,95840,"[128476, 146623]","[85840, 96570]"
"32","region","Araucanía","9","1992","Hombre",87572,56869,"[82418, 91743]","[53650, 58710]"
"33","region","Arica y Parinacota","15","1992","Hombre",138881,85840,"[121893, 160374]","[75540, 88587]"
"34","region","Atacama","3","1992","Hombre",145804,85840,"[135983, 161113]","[78280, 91434]"
"35","region","Aysén","11","1992","Hombre",134476,75110,"[114978, 159373]","[74062, 82338]"
"36","region","Bíobío","8","1992","Hombre",102309,59015,"[95825, 110291]","[58710, 62439]"
"37","region","Coquimbo","4","1992","Hombre",100936,64380,"[93105, 109579]","[58746, 64380]"
"38","region","Los Lagos","10","1992","Hombre",112951,58710,"[104597, 122095]","[58710, 64380]"
"39","region","Los Ríos","14","1992","Hombre",99726,53650,"[91507, 109892]","[52687, 58710]"
"40","region","Magallanes","12","1992","Hombre",154996,85840,"[139317, 177422]","[78280, 96570]"
"41","region","Maule","7","1992","Hombre",104882,53381,"[95999, 113436]","[48589, 53650]"
"42","region","Metropolitana","13","1992","Hombre",177838,85840,"[171916, 187629]","[85840, 85840]"
"43","region","O'Higgins","6","1992","Hombre",120621,64380,"[109204, 131205]","[59525, 64380]"
"44","region","Tarapacá","1","1992","Hombre",184265,107300,"[161186, 205530]","[99707, 117740]"
"45","region","Valparaíso","5","1992","Hombre",135965,75110,"[124617, 146861]","[69745, 78280]"
"46","region","Antofagasta","2","1992","Mujer",80039,53650,"[72678, 88292]","[53650, 60512]"
"47","region","Araucanía","9","1992","Mujer",65906,48285,"[60824, 70707]","[42920, 53650]"
"48","region","Arica y Parinacota","15","1992","Mujer",96155,63579,"[78115, 117994]","[56492, 73228]"
"49","region","Atacama","3","1992","Mujer",97993,59015,"[84060, 114631]","[53650, 69745]"
"50","region","Aysén","11","1992","Mujer",85913,53650,"[70986, 112065]","[48740, 64380]"
