"","comuna","sex","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Alhué","Hombre",46426,75470,125977,NA,125937,202447,180264,223905,320448,292498,364616,382195
"2","Alhué","Mujer",37302,62344,69833,NA,119410,117553,181982,162310,238556,233450,322526,259686
"3","Andacollo","Hombre",60027,93614,86804,99905,157641,137534,209788,227898,381481,494961,405750,342290
"4","Andacollo","Mujer",34414,46077,50019,99905,130076,112840,130642,133130,212498,295391,245779,227168
"5","Angol","Hombre",86059,72021,127280,147222,141333,199351,235613,264065,264902,403227,390957,377253
"6","Angol","Mujer",60601,52980,77915,147222,141009,133994,196307,212600,211977,322272,283429,292780
"7","Antofagasta","Hombre",111210,133323,180128,283693,379620,524190,332355,359692,477621,629954,661651,695066
"8","Antofagasta","Mujer",74798,81767,150855,283693,248839,232298,223662,213244,265542,397582,402714,463976
"9","Arica","Hombre",84168,139433,206663,187647,240297,301959,248431,240875,418093,465423,383999,487536
"10","Arica","Mujer",63933,96384,160708,187647,141684,159920,189335,153960,298876,308726,277051,340927
"11","Aysén","Hombre",92578,161944,146164,183239,205930,277214,229892,337492,352519,490852,419208,451895
"12","Aysén","Mujer",58460,137861,110824,183239,198051,192828,188506,212740,334377,346928,338744,366558
"13","Buin","Hombre",79550,95430,118196,NA,218289,240573,348191,236804,313784,489816,468975,410179
"14","Buin","Mujer",43607,57274,85354,NA,158453,162231,173678,187475,255120,276586,342842,537661
"15","Bulnes","Hombre",62793,120233,90870,NA,NA,234451,179422,235320,208863,216973,194963,336973
"16","Bulnes","Mujer",30064,121757,89686,NA,NA,148828,153606,184754,156250,161780,204048,341696
"17","Calama","Hombre",132854,148499,236099,293856,375776,426871,405660,386707,584130,632755,521996,710407
"18","Calama","Mujer",77890,80453,103176,293856,194248,243914,293767,261496,341436,416539,343854,409845
"19","Calera","Hombre",74058,78636,128328,154566,232885,261301,217291,284123,297618,353320,367567,377023
"20","Calera","Mujer",110826,47614,88787,154566,134617,138144,158362,181614,239349,188453,237305,247617
"21","Calera de Tango","Hombre",52616,102960,131269,514559,201500,306723,663143,439639,388520,605774,274772,451817
"22","Calera de Tango","Mujer",41352,73028,89264,514559,123174,186130,381382,270034,255319,300058,368971,377472
"23","Cartagena","Hombre",74730,134162,131971,167071,241945,212779,239377,320649,253691,383854,261512,327303
"24","Cartagena","Mujer",30818,46354,111518,167071,170157,116988,203485,181655,228363,184783,201369,307130
"25","Casablanca","Hombre",41536,376780,127549,106061,201456,200813,210465,272731,292672,298388,301485,347157
"26","Casablanca","Mujer",28053,222727,102779,106061,135101,122024,131600,177806,208184,336983,203613,207806
"27","Castro","Hombre",113298,166337,220780,NA,NA,195454,297131,326017,307317,487504,313004,413724
"28","Castro","Mujer",47981,75462,150513,NA,NA,153794,217514,205580,234838,298239,258420,375104
"29","Cauquenes","Hombre",49436,124490,129809,131239,160048,177517,160697,175124,234096,248193,266297,283855
"30","Cauquenes","Mujer",36468,70553,84126,131239,110981,157461,129605,130037,214429,213402,276902,316354
"31","Cerro Navia","Hombre",60425,89582,134612,140081,184393,180973,228827,219088,317603,311832,312726,361552
"32","Cerro Navia","Mujer",42080,62171,84745,140081,130551,142795,165440,165564,220489,215240,243594,239527
"33","Chañaral","Hombre",94333,94860,106874,156273,178423,232627,214135,302319,349332,534008,405804,503993
"34","Chañaral","Mujer",46949,67430,73566,156273,128046,161253,144481,161456,278266,331358,240421,341571
"35","Chillán","Hombre",75905,137274,126568,164198,224285,231681,287298,251222,313208,313040,346181,489269
