"","provincia","sex","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta","Hombre",108207,131800,180386,313379,370989,509567,327763,362352,474559,626109,647927,690762
"2","Antofagasta","Mujer",74906,81614,148996,195548,244015,230473,222163,215025,266752,401941,397454,460818
"3","Arauco","Hombre",48339,100097,95860,112449,154424,169814,215557,182087,268185,263678,321937,357115
"4","Arauco","Mujer",43099,70858,85522,135141,136941,148690,170274,153242,225760,223015,264696,299561
"5","Arica","Hombre",84004,138881,207198,220565,239756,301065,247802,240288,416601,462912,379534,473721
"6","Arica","Mujer",63864,96155,160775,118948,141482,159815,188971,154078,298879,309630,276567,332536
"7","Aysén","Hombre",93382,140957,138080,181562,215522,277577,242755,343001,371618,484898,422728,458507
"8","Aysén","Mujer",58763,124315,111659,140147,199388,190699,194202,218779,329037,356132,326485,385114
"9","Bíobío","Hombre",100791,87768,109882,205538,204912,748874,201169,251484,306106,340698,318184,397530
"10","Bíobío","Mujer",52367,73666,90269,214976,170698,165796,184062,171195,245515,248817,270111,313378
"11","Cachapoal","Hombre",84969,138827,158645,180293,233601,220535,247944,284788,382714,396201,383891,442400
"12","Cachapoal","Mujer",50006,83013,100904,113967,139181,157345,166834,196813,259826,275315,286427,330804
"13","Cardenal Caro","Hombre",43081,48788,71595,104923,138141,149683,193811,206763,286233,323070,271188,349519
"14","Cardenal Caro","Mujer",49377,48947,68141,53957,114309,163396,165092,181274,220136,232101,225250,287685
"15","Cauquenes","Hombre",70255,76515,114722,138859,127937,168537,162250,173084,228518,246397,260365,286121
"16","Cauquenes","Mujer",39175,64415,82100,117825,96604,152856,133820,133493,204258,200595,239617,297737
"17","Cautín","Hombre",81352,94387,168882,156105,251001,288561,251659,257876,363041,359430,341941,373488
"18","Cautín","Mujer",52970,66770,111137,127472,217044,188669,212641,217633,262887,392812,293998,319705
"19","Chacabuco","Hombre",55385,85275,115743,148152,218308,202977,266780,340007,464450,361838,309419,393912
