"","sexo","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Hombre","Antofagasta",113278,136944,193685,311281,362680,464677,347186,365067,498160,615941,604619,685968
"2","Hombre","Araucanía",73769,87572,151584,149848,219125,260534,237587,247522,340198,354820,332443,363870
"3","Hombre","Arica y Parinacota",84004,138881,207198,217031,239006,300749,246728,239829,415280,462682,378616,471902
"4","Hombre","Atacama",108303,145804,150342,304341,245280,240294,252611,353851,396590,495620,494016,549863
"5","Hombre","Aysén",91655,134476,153845,189985,349915,303119,344701,322261,449469,547922,478047,547656
"6","Hombre","Bíobío",80482,102309,132649,193221,244340,320188,254792,277710,334032,419314,357543,427052
"7","Hombre","Coquimbo",74039,100936,136263,177531,221242,236410,268248,273036,358451,402628,406547,444158
"8","Hombre","Los Lagos",88014,112951,141082,168191,203485,214664,260620,266887,321294,401138,354108,380737
"9","Hombre","Los Ríos",66661,99726,118902,159459,182374,173811,278507,252099,322557,370404,344873,394155
"10","Hombre","Magallanes",95614,154996,192557,265775,319011,443275,379977,361199,520586,612244,520487,640540
"11","Hombre","Maule",76283,104882,122209,154030,175297,263254,208424,232752,320757,327685,326045,370972
"12","Hombre","Metropolitana",108570,177838,249992,311237,373966,402773,469087,440804,620508,587918,558197,614785
"13","Hombre","O'Higgins",72602,120621,139719,164368,209032,206557,230998,265065,354745,374687,359518,413431
"14","Hombre","Tarapacá",152701,184265,186899,272838,338212,289619,341266,309828,423031,500900,564562,645219
"15","Hombre","Valparaíso",83109,135965,163738,201007,258020,262228,262873,288499,377372,419842,455075,477049
"16","Mujer","Antofagasta",74300,80039,130096,181735,223866,229958,238702,224116,285377,405549,379884,440519
"17","Mujer","Araucanía",52781,65906,120428,122984,197526,176658,203512,213549,249291,373184,287432,312848
"18","Mujer","Arica y Parinacota",63864,96155,160775,117927,141049,160036,188569,153881,297866,309436,276049,331687
"19","Mujer","Atacama",56318,97993,99824,153873,157773,163522,173774,226762,252662,318549,325465,369969
"20","Mujer","Aysén",62501,85913,108415,136340,178531,200620,258824,230416,380679,394501,357982,434455
"21","Mujer","Bíobío",50077,75791,108429,149436,171526,160428,197036,204567,261834,296161,278287,330851
"22","Mujer","Coquimbo",48997,76724,82700,131307,159742,188145,193980,191840,235520,285387,267751,310076
"23","Mujer","Los Lagos",48554,78243,128029,141980,161436,176707,203050,215135,251313,289411,288657,319981
"24","Mujer","Los Ríos",50377,81443,96497,134272,162058,210953,195559,193880,266576,318967,275007,332467
"25","Mujer","Magallanes",65176,101760,129989,145865,170838,302942,230696,284085,249649,378278,373956,425040
"26","Mujer","Maule",52092,76434,89134,120402,137179,167123,180972,195677,292197,246103,259072,300698
"27","Mujer","Metropolitana",68069,111401,168285,203757,243007,242556,271031,295145,383794,418599,402052,435750
"28","Mujer","O'Higgins",46634,79950,96638,108095,137808,154088,164975,190292,254893,270355,275144,323191
"29","Mujer","Tarapacá",116081,121161,115447,211248,213302,179750,255666,198312,297749,346817,394485,398067
"30","Mujer","Valparaíso",51313,83517,105956,134154,184119,174956,189268,207535,244452,313033,286514,340496
