"","comuna","sex","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Alhué","Hombre",36240,57942,78071,NA,97750,120000,135966,151500,243100,240680,275172,300000
"2","Alhué","Mujer",32616,46139,61319,NA,87524,82085,118571,136350,198900,196920,259677,240000
"3","Andacollo","Hombre",52702,64380,68516,100000,120480,109560,158080,181800,331500,410800,360000,300000
"4","Andacollo","Mujer",34128,45066,42840,67500,90360,90289,106129,116370,176800,262560,208163,190000
"5","Angol","Hombre",43488,55796,89964,80000,94041,110000,166345,141872,186745,227801,300000,280000
"6","Angol","Mujer",42280,41418,58905,79977,80320,87821,118560,110217,182325,198096,210000,250000
"7","Antofagasta","Hombre",60400,91012,107100,187529,232268,252414,245443,252500,331500,437600,500000,500000
"8","Antofagasta","Mujer",54360,59015,81223,111101,140560,150000,140000,161600,209326,273500,300000,320000
"9","Arica","Hombre",59400,85840,118547,143010,170680,149951,150000,181800,331500,328200,300000,310000
"10","Arica","Mujer",36240,63920,90780,93802,120480,109560,117497,136350,217223,218800,210000,240460
"11","Aysén","Hombre",60400,81542,90780,101349,140560,130000,158486,260128,265200,318840,300000,320000
"12","Aysén","Mujer",44015,64380,65790,79161,120480,130333,121333,158080,221000,218800,250000,250000
"13","Buin","Hombre",43155,64380,85680,NA,125655,130000,177000,161600,221000,280069,300000,350000
"14","Buin","Mujer",36240,48464,64260,NA,112161,109560,115000,136350,204425,204309,236827,267500
"15","Bulnes","Hombre",31408,48285,54237,NA,NA,100000,119437,151500,182325,196920,178478,248000
"16","Bulnes","Mujer",31408,41010,60584,NA,NA,70000,115000,136350,158661,182176,182330,230500
"17","Calama","Hombre",77499,97628,147798,280000,251000,300000,300000,296400,442000,492835,400000,600000
"18","Calama","Mujer",47070,53650,74970,112221,120480,180000,150000,177082,243100,273500,250000,300000
"19","Calera","Hombre",45904,53650,90971,110000,137187,180000,162920,202000,232026,273500,240000,260000
"20","Calera","Mujer",33824,41418,74970,80000,84845,114796,120000,136350,176800,192168,210000,236778
"21","Calera de Tango","Hombre",39864,69745,79253,170000,120480,150000,180000,202000,236574,273289,250000,341795
"22","Calera de Tango","Mujer",36240,57942,64350,141000,97421,120000,150000,151500,200270,218800,300000,240500
"23","Cartagena","Hombre",48910,78280,90780,145000,160640,127820,159608,171700,221000,270332,210109,276685
"24","Cartagena","Mujer",31408,32190,75650,85688,100400,91551,111652,121200,184535,203484,189338,250000
"25","Casablanca","Hombre",36240,93351,74970,99000,120480,150114,150000,181800,221000,218800,210000,300000
"26","Casablanca","Mujer",30723,83005,71111,62488,96338,100000,107538,136350,165750,218800,200000,225000
"27","Castro","Hombre",59400,96940,151300,NA,NA,150000,172727,179538,198900,251493,250000,300000
"28","Castro","Mujer",33824,53650,90780,NA,NA,103738,128182,144980,182325,199108,210000,250000
"29","Cauquenes","Hombre",32012,53650,60155,80000,90360,100000,115000,136350,182325,199108,216715,250000
"30","Cauquenes","Mujer",30200,39140,60520,65267,85340,98380,118560,101000,171259,190433,209426,245182
"31","Cerro Navia","Hombre",48320,75110,101745,122580,150895,150000,170000,181800,243371,273500,299609,300000
"32","Cerro Navia","Mujer",31408,51504,74970,81720,110603,120000,139216,136350,198900,199108,220000,241000
"33","Chañaral","Hombre",59400,69681,90780,130328,147936,180000,191395,236447,308100,410800,313913,400000
"34","Chañaral","Mujer",34732,54991,62252,85599,90360,119734,115000,121200,221000,199655,210000,275882
"35","Chillán","Hombre",36240,75110,75650,113957,150600,180000,153227,151500,242234,212017,233128,300000
"36","Chillán","Mujer",33171,46867,64264,93279,120480,152392,113629,134509,204134,196920,210000,250000
