"","provincia","sex","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta","Hombre",60400,88065,107100,180000,224350,250000,240000,252500,331500,437600,500000,500000
"2","Antofagasta","Mujer",54360,59015,77112,110504,135419,150000,140000,161600,209950,273500,300000,320000
"3","Arauco","Hombre",36240,58710,64373,79626,96528,109560,130000,136350,209687,218800,220000,270000
"4","Arauco","Mujer",35640,45066,55692,65000,81802,100000,118560,111100,165750,160818,185885,210659
"5","Arica","Hombre",59400,85840,120360,143010,170680,149416,150000,181800,331500,328200,300000,300000
"6","Arica","Mujer",36240,63579,90780,93802,120480,109560,117317,136350,213067,218800,210000,240000
"7","Aysén","Hombre",60400,69745,85680,104405,150600,150000,160000,258500,276250,328200,300000,320000
"8","Aysén","Mujer",44696,60392,64260,74609,120480,140000,130000,158080,209950,218800,250000,250000
"9","Bíobío","Hombre",42280,53650,64260,85000,107925,139111,140000,151500,209950,218800,250000,290000
"10","Bíobío","Mujer",31240,42651,60367,88126,100400,100000,115000,131300,182325,199108,210000,241000
"11","Cachapoal","Hombre",48320,64380,85680,100000,120480,127820,150000,171700,221000,279388,250000,300000
"12","Cachapoal","Mujer",35888,54723,69659,77474,90360,105000,120000,136350,198900,201296,210087,250000
"13","Cardenal Caro","Hombre",32779,40774,55692,80000,100400,100000,139802,138320,198900,202390,210000,251937
"14","Cardenal Caro","Mujer",42763,45066,54621,40000,80320,100000,138949,118560,182325,190356,199470,240000
"15","Cauquenes","Hombre",31408,42920,58905,80000,80320,100000,115000,136350,182325,199108,217272,250000
"16","Cauquenes","Mujer",31408,37734,60520,65267,75641,98513,115104,101053,164464,175040,205774,241472
"17","Cautín","Hombre",39600,58710,74970,90547,117300,130000,126402,151500,198900,205400,210000,250000
"18","Cautín","Mujer",31786,48285,64260,75000,110440,109560,115648,134162,182325,200202,210000,241000
"19","Chacabuco","Hombre",39864,64380,85680,119788,136850,140000,160000,189565,276250,273500,250000,300000
"20","Chacabuco","Mujer",36227,53650,64260,86268,100400,120000,120000,154814,217301,210397,210000,250000
"21","Chañaral","Hombre",78520,128760,128520,178897,200800,200000,240000,262600,386750,437600,400000,450000
"22","Chañaral","Mujer",31408,74768,75325,101641,97750,120000,120000,136639,184828,217098,270000,300000
"23","Chiloé","Hombre",42241,68495,72624,91383,100400,120000,158080,161600,205400,218800,220000,250000
"24","Chiloé","Mujer",31408,53650,63709,60513,90360,100000,120000,136350,182325,199108,204994,241000
"25","Choapa","Hombre",39600,64380,60520,80000,120480,120000,120000,161642,211641,273500,280000,300000
"26","Choapa","Mujer",29700,55098,59976,65000,80822,100000,115000,136350,175695,199108,206000,240000
"27","Colchagua","Hombre",36240,53650,64260,81720,98392,109560,120000,138370,182325,207860,210000,250000
"28","Colchagua","Mujer",31408,53650,64260,75000,81845,100000,113000,129089,182325,196920,210000,250000
"29","Concepción","Hombre",53152,64380,90780,122580,150600,150000,165759,181800,243100,301148,300000,309231
"30","Concepción","Mujer",36240,44510,74970,92132,119582,120000,130000,141400,189187,206932,210000,250000
"31","Copiapó","Hombre",59400,85840,96390,163440,170680,180000,164660,252500,331500,390190,400000,450000
"32","Copiapó","Mujer",39600,60015,74970,120805,110440,120000,118560,141400,205400,229740,270000,300000
"33","Cordillera","Hombre",56776,96570,128520,180000,180720,200000,220000,237120,255506,284440,300000,350000
"34","Cordillera","Mujer",48320,64380,85680,115437,120480,130000,155559,161600,198900,208858,210000,280000
"35","Coyhaique","Hombre",54360,78329,109221,123548,171786,195000,200000,200006,291744,350080,300000,400000
"36","Coyhaique","Mujer",36240,53650,72095,83506,106839,120000,197600,151500,218425,218800,220000,300000
"37","Curicó","Hombre",36240,59015,64260,80000,100400,120000,120000,144367,188950,207860,210000,264000
"38","Curicó","Mujer",36240,48285,57834,64206,80822,108000,105000,138370,182325,199108,210000,241000
"39","El Loa","Hombre",75360,96570,144568,280000,251000,300000,300000,284855,429268,492300,400000,600000
"40","El Loa","Mujer",46029,53650,74970,110247,120480,180000,150000,178618,243100,273500,250000,300000
"41","Elqui","Hombre",46904,64380,85680,120000,150600,160000,158080,176346,246480,306320,300000,350000
"42","Elqui","Mujer",36240,48285,62165,80000,100400,120000,120000,136350,187850,199108,210000,250000
