"","region","sex","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta","Hombre",67838,95840,121040,200000,234258,260000,250000,252500,369720,439608,450000,500000
"2","Antofagasta","Mujer",48854,53650,75650,110000,130520,150000,150000,161600,221000,273500,279847,306941
"3","Araucanía","Hombre",36240,56869,74970,83832,108370,120000,120000,142506,196690,205400,210000,250000
"4","Araucanía","Mujer",32761,48285,64260,70000,100400,100000,115000,131300,182186,199108,210000,241000
"5","Arica y Parinacota","Hombre",59400,85840,120360,140000,170680,147705,150000,181800,331500,328200,300000,300000
"6","Arica y Parinacota","Mujer",36240,63579,90780,92070,120480,109560,116451,136350,209902,218800,210000,240000
"7","Atacama","Hombre",59400,85840,98345,153521,160640,180000,177840,237120,331500,382900,400000,400000
"8","Atacama","Mujer",36240,59015,74970,100000,101769,104539,118560,138320,198900,218800,240000,280000
"9","Aysén","Hombre",59400,75110,96390,120000,156400,179151,197600,235889,287577,328200,300000,376526
"10","Aysén","Mujer",39600,53650,64260,80000,108610,120000,150000,158080,217577,218800,220000,300000
"11","Bíobío","Hombre",42280,59015,74970,100000,120480,141668,150000,158080,221000,246480,250000,300000
"12","Bíobío","Mujer",31408,42920,64940,89000,109030,120000,120000,136350,182325,199108,210000,241000
"13","Coquimbo","Hombre",39600,64380,77995,102150,130520,146080,150000,158080,221000,273500,300000,300000
"14","Coquimbo","Mujer",33824,48285,60520,77552,93463,109560,118560,136350,182325,199108,210000,242000
"15","Los Lagos","Hombre",37063,58710,74970,96763,117300,120000,150000,167960,205400,218800,240000,280000
"16","Los Lagos","Mujer",31408,48482,64260,75832,97750,110000,120000,136855,182325,199108,210000,245000
"17","Los Ríos","Hombre",36961,53650,64260,80000,98404,109560,140000,151500,205400,218800,210000,280000
"18","Los Ríos","Mujer",36240,51887,64260,91935,99683,100000,120000,131300,187850,202390,210000,241000
"19","Magallanes","Hombre",59400,85840,139230,160000,195500,222400,224159,254403,322827,350080,370000,450000
"20","Magallanes","Mujer",36573,53650,96636,98512,110440,200000,150000,160844,198900,240680,250000,300000
"21","Maule","Hombre",36240,53381,64260,80000,100400,120000,120000,137360,193375,205400,210005,250000
"22","Maule","Mujer",36015,48285,58905,66000,90360,103284,103000,136350,182325,199108,210000,241000
"23","Metropolitana","Hombre",59400,85840,128520,160000,180720,200000,200000,232300,309400,328200,310000,389926
"24","Metropolitana","Mujer",42280,64380,94248,120000,140560,150000,162598,181800,236217,240680,250000,300000
"25","O'Higgins","Hombre",42280,64380,75650,90000,120480,120000,150000,158080,221000,262560,240587,300000
"26","O'Higgins","Mujer",33824,53650,64260,75000,90360,100656,118996,136350,184860,199108,210000,250000
"27","Tarapacá","Hombre",89751,107300,128520,197264,240960,200000,200000,222200,308100,382900,400000,450000
"28","Tarapacá","Mujer",49500,69943,85680,161620,150467,120000,158080,151500,221000,218800,260000,300000
"29","Valparaíso","Hombre",46937,75110,96390,120000,150600,158000,170000,181800,253186,273500,282258,300000
"30","Valparaíso","Mujer",31408,51504,74970,91935,117300,119737,120000,136350,182325,202390,210000,250000
