,census_country_code,country_name_x,country_code
0,604,Perú,219
1,170,Colombia,202
2,862,Venezuela,201
3,68,Bolivia,221
4,32,Argentina,224
5,332,Haití,208
6,218,Ecuador,218
7,5,Sudamérica,256
8,76,Brasil,220
9,600,Paraguay,222
10,858,Uruguay,223
11,13,Centroamérica,256
12,188,Costa Rica,211
13,222,El Salvador,213
14,320,Guatemala,215
15,340,Honduras,214
16,484,México,216
17,558,Nicaragua,212
18,591,Panamá,210
19,29,Caribe,256
20,192,Cuba,209
21,630,Puerto Rico,251
22,214,República Dominicana,206
23,29,Caribe,256
24,21,Norteamérica,256
25,124,Canadá,226
26,840,Estados Unidos de América,225
27,150,Europa,256
28,40,Austria,509
29,56,Bélgica,514
30,100,Bulgaria,527
31,250,Francia,505
32,300,Grecia,520
33,380,Italia,504
34,620,Portugal,501
35,191,Croacia,547
36,372,Irlanda,506
37,642,Rumania,519
38,752,Suecia,511
39,203,República Checa,544
40,643,Rusia,562
41,724,España,517
42,804,Ucrania,559
43,276,Alemania,563
44,246,Finlandia,512
45,616,Polonia,528
46,826,Reino Unido,510
47,756,Suiza,508
48,208,Dinamarca,507
49,348,Hungria,530
50,578,Noruega,513
51,528,Holanda,515
52,688,Serbia,546
53,142,Asia,256
54,51,Armenia,540
55,410,Corea del Sur,333
56,360,Indonesia,328
57,400,Jordania,301
58,760,Siria,310
59,392,Japón,331
60,422,Libano,311
61,792,Turquia,522
62,364,Irán,309
63,524,Nepal,320
64,764,Tailandia,319
65,275,Palestina,256
66,156,China,336
67,356,India,317
68,376,Israel,306
69,586,Pakistán,324
70,608,Filipinas,335
71,158,Taiwán,330
72,2,África,256
73,12,Argelia,127
74,710,Sudáfrica,112
75,504,Marruecos,128
76,818,Egipto,124
77,9,Oceanía,256
78,554,Nueva Zelandia,405
79,258,Polinesia Francesa,422
80,997,País no declarado,256
