id,region_id,region_name,comuna_datachile_id,comuna_customs_id,comuna_tax_office_id,comuna_name
226,1,Tarapacá,226,1401,1204,Pozo Almonte
217,1,Tarapacá,217,1405,1203,Pica
113,1,Tarapacá,113,1101,1201,Iquique
108,1,Tarapacá,108,1404,1206,Huara
58,1,Tarapacá,58,1403,1210,Colchane
26,1,Tarapacá,26,1402,1208,Camiña
5,1,Tarapacá,5,1107,1211,Alto Hospicio
321,2,Antofagasta,321,2301,2101,Tocopilla
313,2,Antofagasta,313,2104,2202,Taltal
309,2,Antofagasta,309,2103,2206,Sierra Gorda
297,2,Antofagasta,297,2203,2303,San Pedro De Atacama
189,2,Antofagasta,189,2202,2302,Ollagüe
170,2,Antofagasta,170,2102,2203,Mejillones
165,2,Antofagasta,165,2302,2103,María Elena
19,2,Antofagasta,19,2201,2301,Calama
9,2,Antofagasta,9,2101,2201,Antofagasta
330,3,Atacama,330,3301,3301,Vallenar
317,3,Atacama,317,3103,3203,Tierra Amarilla
109,3,Atacama,109,3304,3303,Huasco
93,3,Atacama,93,3303,3302,Freirina
81,3,Atacama,81,3202,3102,Diego De Almagro
68,3,Atacama,68,3101,3201,Copiapó
39,3,Atacama,39,3201,3101,Chañaral
21,3,Atacama,21,3102,3202,Caldera
4,3,Atacama,4,3302,3304,Alto Del Carmen
334,4,Coquimbo,334,4106,4105,Vicuña
278,4,Coquimbo,278,4204,4302,Salamanca
271,4,Coquimbo,271,4305,4206,Rio Hurtado
237,4,Coquimbo,237,4304,4204,Punitaqui
195,4,Coquimbo,195,4105,4106,Paihuano
192,4,Coquimbo,192,4301,4201,Ovalle
174,4,Coquimbo,174,4303,4203,Monte Patria
156,4,Coquimbo,156,4203,4303,Los Vilos
126,4,Coquimbo,126,4101,4101,La Serena
122,4,Coquimbo,122,4104,4102,La Higuera
111,4,Coquimbo,111,4201,4301,Illapel
69,4,Coquimbo,69,4102,4103,Coquimbo
62,4,Coquimbo,62,4302,4205,Combarbalá
27,4,Coquimbo,27,4202,4304,Canela
7,4,Coquimbo,7,4103,4104,Andacollo
344,5,Valparaíso,344,5405,5204,Zapallar
339,5,Valparaíso,339,5109,5302,Viña Del Mar
337,5,Valparaíso,337,5108,5303,Villa Alemana
331,5,Valparaíso,331,5101,5301,Valparaiso
308,5,Valparaíso,308,5606,5402,Santo Domingo
306,5,Valparaíso,306,5706,5605,Santa Maria
285,5,Valparaíso,285,5701,5601,San Felipe
283,5,Valparaíso,283,5304,5703,San Esteban
279,5,Valparaíso,279,5601,5401,San Antonio
268,5,Valparaíso,268,5303,5704,Rinconada
257,5,Valparaíso,257,5107,5306,Quintero
253,5,Valparaíso,253,5106,5304,Quilpué
252,5,Valparaíso,252,5501,5501,Quillota
242,5,Valparaíso,242,5705,5604,Putaendo
229,5,Valparaíso,229,5105,5307,Puchuncaví
215,5,Valparaíso,215,5404,5202,Petorca
202,5,Valparaíso,202,5403,5205,Papudo
201,5,Valparaíso,201,5704,5602,Panquehue
190,5,Valparaíso,190,5507,5507,Olmué
183,5,Valparaíso,183,5506,5502,Nogales
151,5,Valparaíso,151,5301,5701,Los Andes
142,5,Valparaíso,142,5703,5606,Llay Llay
138,5,Valparaíso,138,5505,5506,Limache
123,5,Valparaíso,123,5401,5201,La Ligua
118,5,Valparaíso,118,5504,5505,La Cruz
116,5,Valparaíso,116,5104,5308,Juan Fernandez
115,5,Valparaíso,115,5201,5101,Isla De Pascua
103,5,Valparaíso,103,5503,5503,Hijuelas
87,5,Valparaíso,87,5605,5404,El Tabo
86,5,Valparaíso,86,5604,5405,El Quisco
63,5,Valparaíso,63,5103,5309,Con Cón
33,5,Valparaíso,33,5702,5603,Catemu
31,5,Valparaíso,31,5102,5305,Casablanca
30,5,Valparaíso,30,5603,5403,Cartagena
24,5,Valparaíso,24,5302,5702,Calle Larga
22,5,Valparaíso,22,5502,5504,Calera
16,5,Valparaíso,16,5402,5203,Cabildo
1,5,Valparaíso,1,5602,5406,Algarrobo
304,6,O'Higgins,304,6310,6205,Santa Cruz
302,6,O'Higgins,302,6117,6110,San Vicente
286,6,O'Higgins,286,6301,6201,San Fernando
266,6,O'Higgins,266,6116,6113,Requinoa
265,6,O'Higgins,265,6115,6112,Rengo
259,6,O'Higgins,259,6101,6101,Rancagua
255,6,O'Higgins,255,6114,6117,Quinta De Tilcoco
236,6,O'Higgins,236,6309,6214,Pumanque
223,6,O'Higgins,223,6308,6204,Placilla
219,6,O'Higgins,219,6201,6301,Pichilemu
218,6,O'Higgins,218,6113,6111,Pichidegua
216,6,O'Higgins,216,6112,6108,Peumo
213,6,O'Higgins,213,6307,6208,Peralillo
203,6,O'Higgins,203,6206,6306,Paredones
199,6,O'Higgins,199,6306,6207,Palmilla
188,6,O'Higgins,188,6111,6114,Olivar
180,6,O'Higgins,180,6205,6302,Navidad
