comuna_datachile_id,age,sex_id,age_group_id
12,8123,2,1
12,8697,2,2
12,7956,2,3
12,9168,2,4
12,9391,2,5
12,9377,2,6
12,8192,2,7
12,7343,2,8
12,7143,2,9
12,6596,2,10
12,6201,2,11
12,5481,2,12
12,5035,2,13
12,3770,2,14
12,3033,2,15
12,1904,2,16
12,1108,2,17
12,619,2,18
12,208,2,19
12,34,2,20
12,10,2,21
25,32,2,1
25,38,2,2
25,34,2,3
25,29,2,4
25,46,2,5
25,65,2,6
25,52,2,7
25,51,2,8
25,59,2,9
25,48,2,10
25,56,2,11
25,57,2,12
25,54,2,13
25,39,2,14
25,28,2,15
25,20,2,16
25,10,2,17
25,5,2,18
25,2,2,19
25,0,2,20
25,1,2,21
243,42,2,1
243,44,2,2
243,45,2,3
243,465,2,4
243,243,2,5
243,191,2,6
243,189,2,7
243,189,2,8
243,164,2,9
243,126,2,10
243,95,2,11
243,91,2,12
243,54,2,13
243,35,2,14
243,29,2,15
243,26,2,16
243,15,2,17
243,9,2,18
243,1,2,19
243,1,2,20
243,0,2,21
99,16,2,1
99,18,2,2
99,15,2,3
99,27,2,4
99,48,2,5
99,48,2,6
99,36,2,7
99,33,2,8
99,24,2,9
99,27,2,10
99,17,2,11
99,24,2,12
99,25,2,13
99,19,2,14
99,16,2,15
99,11,2,16
99,4,2,17
99,3,2,18
99,1,2,19
99,0,2,20
99,0,2,21
113,7186,2,1
113,7200,2,2
113,6410,2,3
113,6597,2,4
113,7574,2,5
113,8896,2,6
113,8180,2,7
113,7393,2,8
113,6586,2,9
113,5696,2,10
113,5591,2,11
113,5052,2,12
113,4613,2,13
113,3089,2,14
113,2208,2,15
113,1236,2,16
113,744,2,17
113,439,2,18
113,161,2,19
113,31,2,20
113,15,2,21
5,5365,2,1
5,5492,2,2
5,4862,2,3
5,4836,2,4
5,5050,2,5
5,5005,2,6
5,4284,2,7
5,3801,2,8
5,3369,2,9
5,3087,2,10
5,3015,2,11
5,2253,2,12
5,1655,2,13
5,1003,2,14
5,589,2,15
5,277,2,16
5,145,2,17
5,76,2,18
5,25,2,19
5,8,2,20
5,9,2,21
226,617,2,1
226,641,2,2
226,526,2,3
226,848,2,4
226,764,2,5
226,800,2,6
226,819,2,7
226,749,2,8
226,705,2,9
226,544,2,10
226,536,2,11
226,462,2,12
226,366,2,13
226,220,2,14
226,190,2,15
226,99,2,16
226,65,2,17
226,26,2,18
226,8,2,19
226,1,2,20
226,1,2,21
26,50,2,1
26,43,2,2
26,40,2,3
26,46,2,4
26,42,2,5
26,44,2,6
26,41,2,7
26,25,2,8
26,55,2,9
26,44,2,10
26,45,2,11
26,40,2,12
26,34,2,13
26,27,2,14
26,28,2,15
26,21,2,16
26,16,2,17
26,10,2,18
26,3,2,19
26,2,2,20
26,1,2,21
58,41,2,1
58,43,2,2
58,42,2,3
58,71,2,4
58,98,2,5
58,122,2,6
58,98,2,7
58,83,2,8
58,77,2,9
58,58,2,10
58,48,2,11
58,43,2,12
58,59,2,13
58,39,2,14
58,29,2,15
58,27,2,16
58,9,2,17
58,5,2,18
58,2,2,19
58,1,2,20
58,0,2,21
108,98,2,1
108,130,2,2
108,96,2,3
108,76,2,4
108,98,2,5
108,113,2,6
108,107,2,7
108,103,2,8
108,85,2,9
108,108,2,10
108,100,2,11
108,100,2,12
108,74,2,13
108,77,2,14
108,52,2,15
108,44,2,16
108,20,2,17
108,12,2,18
108,6,2,19
108,1,2,20
108,1,2,21
217,196,2,1
217,223,2,2
217,183,2,3
217,178,2,4
217,291,2,5
217,740,2,6
217,902,2,7
217,907,2,8
217,827,2,9
217,728,2,10
217,517,2,11
217,324,2,12
217,208,2,13
217,115,2,14
217,91,2,15
217,58,2,16
217,27,2,17
217,21,2,18
217,11,2,19
217,3,2,20
217,0,2,21
9,12815,2,1
9,13581,2,2
9,12462,2,3
9,14146,2,4
9,17015,2,5
9,17765,2,6
9,15352,2,7
9,14031,2,8
9,13618,2,9
9,11862,2,10
9,10745,2,11
9,9311,2,12
9,7235,2,13
9,4768,2,14
9,3192,2,15
9,1966,2,16
9,1131,2,17
9,593,2,18
9,196,2,19
9,30,2,20
9,32,2,21
170,462,2,1
170,470,2,2
170,423,2,3
170,397,2,4
170,613,2,5
170,884,2,6
170,781,2,7
170,705,2,8
170,721,2,9
170,701,2,10
170,672,2,11
170,491,2,12
170,325,2,13
170,183,2,14
170,97,2,15
170,64,2,16
170,24,2,17
170,14,2,18
170,7,2,19
170,1,2,20
170,0,2,21
309,55,2,1
309,68,2,2
309,51,2,3
309,62,2,4
309,447,2,5
309,1161,2,6
309,1407,2,7
309,1405,2,8
309,1394,2,9
309,1090,2,10
309,770,2,11
309,448,2,12
309,214,2,13
309,58,2,14
309,16,2,15
309,9,2,16
309,4,2,17
309,2,2,18
309,1,2,19
309,0,2,20
309,0,2,21
313,470,2,1
313,509,2,2
313,480,2,3
313,411,2,4
313,464,2,5
313,674,2,6
313,620,2,7
313,617,2,8
313,618,2,9
313,589,2,10
313,566,2,11
313,470,2,12
313,385,2,13
313,226,2,14
313,167,2,15
313,107,2,16
313,66,2,17
313,28,2,18
313,11,2,19
313,2,2,20
313,1,2,21
19,6386,2,1
19,6354,2,2
19,6016,2,3
19,6346,2,4
19,6596,2,5
19,8034,2,6
19,7548,2,7
19,7371,2,8
19,6796,2,9
19,5891,2,10
19,5622,2,11
19,4613,2,12
19,3409,2,13
19,2124,2,14
19,1410,2,15
19,740,2,16
19,453,2,17
19,230,2,18
19,79,2,19
19,20,2,20
19,11,2,21
189,10,2,1
189,8,2,2
189,15,2,3
189,8,2,4
189,12,2,5
189,26,2,6
189,18,2,7
189,28,2,8
189,20,2,9
189,21,2,10
189,16,2,11
189,10,2,12
189,7,2,13
189,2,2,14
189,2,2,15
189,1,2,16
189,2,2,17
189,1,2,18
189,0,2,19
189,0,2,20
189,0,2,21
297,303,2,1
297,335,2,2
297,279,2,3
297,218,2,4
297,426,2,5
297,792,2,6
297,724,2,7
297,735,2,8
297,617,2,9
297,492,2,10
297,380,2,11
297,311,2,12
297,229,2,13
297,122,2,14
297,73,2,15
297,60,2,16
297,38,2,17
297,19,2,18
297,4,2,19
297,4,2,20
297,0,2,21
321,1016,2,1
321,1101,2,2
321,945,2,3
321,912,2,4
321,824,2,5
321,974,2,6
321,909,2,7
321,802,2,8
321,785,2,9
321,784,2,10
321,786,2,11
321,802,2,12
321,658,2,13
321,475,2,14
321,316,2,15
321,198,2,16
321,109,2,17
321,60,2,18
321,15,2,19
321,6,2,20
321,4,2,21
165,148,2,1
165,188,2,2
165,166,2,3
165,158,2,4
165,247,2,5
165,431,2,6
165,475,2,7
165,458,2,8
165,437,2,9
165,385,2,10
165,383,2,11
165,264,2,12
165,186,2,13
165,98,2,14
165,34,2,15
165,20,2,16
165,10,2,17
165,4,2,18
165,0,2,19
165,0,2,20
165,0,2,21
68,6069,2,1
68,6303,2,2
68,5684,2,3
68,6045,2,4
68,6475,2,5
68,6785,2,6
68,5819,2,7
68,5318,2,8
68,4968,2,9
68,4938,2,10
68,4788,2,11
68,4139,2,12
68,3256,2,13
68,2215,2,14
68,1559,2,15
68,1097,2,16
68,680,2,17
68,354,2,18
68,102,2,19
68,21,2,20
68,12,2,21
21,628,2,1
21,731,2,2
21,678,2,3
21,647,2,4
21,670,2,5
21,686,2,6
21,655,2,7
21,617,2,8
21,586,2,9
21,551,2,10
21,667,2,11
21,609,2,12
21,507,2,13
21,330,2,14
21,224,2,15
21,146,2,16
21,102,2,17
21,46,2,18
21,9,2,19
21,3,2,20
21,2,2,21
317,523,2,1
317,585,2,2
317,512,2,3
317,515,2,4
317,607,2,5
317,687,2,6
317,590,2,7
317,616,2,8
317,641,2,9
317,587,2,10
317,587,2,11
317,463,2,12
317,332,2,13
317,208,2,14
317,147,2,15
317,92,2,16
317,70,2,17
317,27,2,18
317,3,2,19
317,1,2,20
317,3,2,21
39,494,2,1
39,548,2,2
39,483,2,3
39,446,2,4
39,445,2,5
39,531,2,6
39,452,2,7
39,407,2,8
39,388,2,9
39,390,2,10
39,389,2,11
39,377,2,12
39,299,2,13
39,211,2,14
39,165,2,15
39,118,2,16
39,77,2,17
39,33,2,18
39,11,2,19
39,3,2,20
39,3,2,21
81,534,2,1
81,617,2,2
81,556,2,3
81,459,2,4
81,405,2,5
81,566,2,6
81,600,2,7
81,641,2,8
81,617,2,9
81,595,2,10
81,512,2,11
81,475,2,12
81,384,2,13
81,225,2,14
81,124,2,15
