level3,level3_es,level3_short
104818,"Papel del tipo utilizado para papel higiénico y papeles similares, guata de celulosa o napa de fibras de celulosa, de los tipos utilizados para fines domésticos o sanitarios, en bobinas (rollos) de una anchura inferior o igual a 36 cm o cortados en formato; pañuelos, toallitas de desmaquillar, toallas, manteles, servilletas, sábanas y artículos similares para uso doméstico, de tocador, higiénico o de hospital, prendas y complementos (accesorios), de vestir, de pasta de papel, papel, guata de celulosa o napa de fibras de celulosa","Papel higiénico, toallas y prendas de pasta de papel o celulosa"
168419,"Aparatos y dispositivos, aunque se calienten eléctricamente (excepto los hornos y demás aparatos de la partida 8514), para el tratamiento de materias mediante operaciones que impliquen un cambio de temperatura, tales como calentamiento, cocción, torrefacción, destilación, rectificación, esterilización, pasteurización, baño de vapor de agua, secado, evaporación, vaporización, condensación o enfriamiento (excepto los aparatos domésticos); calentadores de agua de calentamiento instantáneo o de acumulación (excepto los eléctricos)","Maquinarias térmicas, calentadores de agua"
41901,"Extracto de malta; preparaciones alimenticias de harina, grañones, sémola, almidón, fécula o extracto de malta, que no contengan cacao o con un contenido de cacao inferior al 40 % en peso calculado sobre una base totalmente desgrasada, no expresadas ni comprendidas en otra parte; preparaciones alimenticias de productos de las partidas 0401 a 0404 que no contengan cacao o con un contenido de cacao inferior al 5 % en peso calculado sobre una base totalmente desgrasada, no expresadas ni comprendidas en otra parte",Alimentos en base a harina
168448,"Máquinas y aparatos auxiliares para las máquinas de las partidas 8444, 8445, 8446 u 8447 (por ejemplo: maquinitas para lizos, mecanismos Jacquard, paraurdidumbres y paratramas, mecanismos de cambio de lanzadera); partes y accesorios identificables como destinados, exclusiva o principalmente, a las máquinas de esta partida o de las partidas 8444, 8445, 8446 u 8447 (por ejemplo: husos, aletas, guarniciones de cardas, peines, barretas, hileras, lanzaderas, lizos y cuadros de lizos, agujas, platinas, ganchos)",Maquinarias y aparatos auxiliares de apoyo o refuerzo
63401,"Jabón; productos y preparaciones orgánicos tensoactivos usados como jabón, en barras, panes, trozos o piezas troqueladas o moldeadas, aunque contengan jabón; productos y preparaciones orgánicos tensoactivos para el lavado de la piel, líquidos o en crema, acondicionados para la venta al por menor, aunque contengan jabón; papel, guata, fieltro y tela sin tejer, impregnados, recubiertos o revestidos de jabón o de detergentes","Jabón en barra, líquido o crema"
63301,"Aceites esenciales (desterpenados o no), incluidos los «concretos» o «absolutos»; resinoides; oleorresinas de extracción; disoluciones concentradas de aceites esenciales en grasas, aceites fijos, ceras o materias análogas, obtenidas por enflorado o maceración; subproductos terpénicos residuales de la desterpenación de los aceites esenciales; destilados acuosos aromáticos y disoluciones acuosas de aceites esenciales",Aceites escenciales y sus subproductos
168536,"Aparatos para corte, seccionamiento, protección, derivación, empalme o conexión de circuitos eléctricos [por ejemplo: interruptores, conmutadores, relés, cortacircuitos, supresores de sobretensión transitoria, clavijas y tomas de corriente (enchufes), portalámparas y demás conectores, cajas de empalme], para una tensión inferior o igual a 1000 V; conectores de fibras ópticas, haces o cables de fibras ópticas",Maquinarias de corte
168483,"Árboles de transmisión, incluidos los de levas y los cigüeñales, y manivelas; cajas de cojinetes y cojinetes; engranajes y ruedas de fricción; husillos fileteados de bolas o rodillos; reductores, multiplicadores y variadores de velocidad, incluidos los convertidores de par; volantes y poleas, incluidos los motones; embragues y órganos de acoplamiento, incluidas las juntas de articulación","Motores, ruedas, volantes, embragues y otros"
63805,"Esencia de trementina, de madera de pino o de pasta celulósica al sulfato (sulfato de trementina) y demás esencias terpénicas procedentes de la destilación o de otros tratamientos de la madera de coníferas; dipenteno en bruto; esencia de pasta celulósica al bisulfito (bisulfito de trementina) y demás paracimenos en bruto; aceite de pino con alfa-terpineol como componente principal",Escencias y aceitesde coníferas
168517,"Teléfonos, incluidos los teléfonos móviles (celulares) y los de otras redes inalámbricas; los demás aparatos de emisión, transmisión o recepción de voz, imagen u otros datos, incluidos los de comunicación en red con o sin cable [tales como redes locales (LAN) o extendidas (WAN)], distintos de los aparatos de emisión, transmisión o recepción de las partidas 8443, 8525, 8527 u 8528","Teléfonos y otros aparatos de emisión, transmisión y recepción de voz, imágenes y datos"
157610,"Construcciones y sus partes (por ejemplo: puentes y sus partes, torres, castilletes, pilares, columnas, armazones para techumbre, techados, puertas y ventanas y sus marcos, contramarcos y umbrales, barandillas), de aluminio (excepto las construcciones prefabricadas de la partida 9406); chapas, barras, perfiles, tubos y similares, de aluminio, preparados para la construcción","Construcciones y sus partes, de aluminio"
21212,"Algarrobas, algas, remolacha azucarera y caña de azúcar, frescas, refrigeradas, congeladas o secas, incluso pulverizadas; huesos (carozos) y almendras de frutos y demás productos vegetales (incluidas las raíces de achicoria sin tostar de la variedad Cichorium intybus sativum) empleados principalmente en la alimentación humana, no expresados ni comprendidos en otra parte","Algas, caña de azúcar, carozos y otros frutos secos para alimentación humana"
10308,"Invertebrados acuáticos, excepto los crustáceos y moluscos, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; invertebrados acuáticos, excepto los crustáceos y moluscos, ahumados, incluso cocidos antes o durante el ahumado; harina, polvo y «pellets» de invertebrados acuáticos, excepto los crustáceos y moluscos, aptos para la alimentación humana","Invertebrados acuáticos, harina y pellets (excepto de crustáceos y moluscos), para alimentación humana"
168486,"Máquinas y aparatos utilizados, exclusiva o principalmente, para la fabricación de semiconductores en forma de monocristales periformes u obleas (wafers), dispositivos semiconductores, circuitos electrónicos integrados o dispositivos de visualización (display) de pantalla plana; máquinas y aparatos descritos en la nota 9 C) de este capítulo; partes y accesorios","Maquinaria para semiconductores, partes y accesorios"
10306,"Crustáceos, incluso pelados, vivos, frescos, refrigerados, congelados, secos, salados o en salmuera; crustáceos ahumados, incluso pelados o cocidos, antes o durante el ahumado; crustáceos sin pelar, cocidos en agua o vapor, incluso refrigerados, congelados, secos, salados o en salmuera; harina, polvo y pellets de crustáceos, aptos para la alimentación humana","Crustáceos, harina y pellets, para alimentación humana"
168442,"Máquinas, aparatos y material (excepto las máquinas herramienta de las partidas 8456 a 8465) para preparar o fabricar clisés, planchas, cilindros o demás elementos impresores; clisés, planchas, cilindros y demás elementos impresores; piedras litográficas, planchas, placas y cilindros, preparados para la impresión (por ejemplo: aplanados, graneados, pulidos)","Clisés, aparatos impresores y material para  prepararlos"
104802,"Papel y cartón, sin estucar ni recubrir, de los tipos utilizados para escribir, imprimir u otros fines gráficos y papel y cartón para tarjetas o cintas para perforar (sin perforar), en bobinas (rollos) o en hojas de forma cuadrada o rectangular, de cualquier tamaño, excepto el papel de las partidas 4801 o 4803; papel y cartón hechos a mano (hoja a hoja)",Papel y cartón para fines gráficos
189027,"Instrumentos y aparatos para análisis físicos o químicos (por ejemplo: polarímetros, refractómetros, espectrómetros, analizadores de gases o de humos); instrumentos y aparatos para ensayos de viscosidad, porosidad, dilatación, tensión superficial o similares o para medidas calorimétricas, acústicas o fotométricas, incluidos los exposímetros; micrótomos",Instrumentos para análisis físicos o químicos
168466,"Partes y accesorios identificables como destinados, exclusiva o principalmente, a las máquinas de las partidas 8456 a 8465, incluidos los portapiezas y portaútiles, dispositivos de roscar de apertura automática, divisores y demás dispositivos especiales para montar en máquinas herramienta; portaútiles para herramientas de mano de cualquier tipo",Partes de maquinaria y herramientas de mano para maderas
168518,"Micrófonos y sus soportes; altavoces (altoparlantes), incluso montados en sus cajas; auriculares, incluidos los de casco, estén o no combinados con micrófono, y juegos o conjuntos constituidos por un micrófono y uno o varios altavoces (altoparlantes); amplificadores eléctricos de audiofrecuencia; equipos eléctricos para amplificación de sonido","Equipos de audio (micrófonos, parlantes, amplificadores eléctricos)"
63808,"Insecticidas, raticidas y demás antirroedores, fungicidas, herbicidas, inhibidores de germinación y reguladores del crecimiento de las plantas, desinfectantes y productos similares, presentados en formas o en envases para la venta al por menor, o como preparaciones o artículos tales como cintas, mechas y velas, azufradas, y papeles matamoscas","Insecticidas, fungicidas y similares, para venta al por menor"
63002,"Sangre humana; sangre animal preparada para usos terapéuticos, profilácticos o de diagnóstico; antisueros (sueros con anticuerpos), demás fracciones de la sangre y productos inmunológicos, incluso modificados u obtenidos por procesos biotecnológicos; vacunas, toxinas, cultivos de microorganismos (excepto las levaduras) y productos similares","Sangre, sueros, vacunas y similares para usos terapéuticos, diagnósticos y cultivos"
104811,"Papel, cartón, guata de celulosa y napa de fibras de celulosa, estucados, recubiertos, impregnados o revestidos, coloreados o decorados en la superficie o impresos, en bobinas (rollos) o en hojas de forma cuadrada o rectangular, de cualquier tamaño, excepto los productos de los tipos descritos en el texto de las partidas 4803, 4809 o 4810",Papeles y cartones impregnados o coloreados
63001,"Glándulas y demás órganos para usos opoterápicos, desecados, incluso pulverizados; extractos de glándulas o de otros órganos o de sus secreciones, para usos opoterápicos; heparina y sus sales; las demás sustancias humanas o animales preparadas para usos terapéuticos o profilácticos, no expresadas ni comprendidas en otra parte","Glándulas, órganos y demás sustancias humanas para usos médicos (excepto sangre)"
168547,"Piezas aislantes totalmente de materia aislante o con simples piezas metálicas de ensamblado (por ejemplo: casquillos roscados) embutidas en la masa, para máquinas, aparatos o instalaciones eléctricas (excepto los aisladores de la partida 8546); tubos aisladores y sus piezas de unión, de metal común, aislados interiormente",Piezas aislantes para aparatos eléctricos
158205,"Herramientas de mano, incluidos los diamantes de vidriero, no expresadas ni comprendidas en otra parte; lámparas de soldar y similares; tornillos de banco, prensas de carpintero y similares (excepto los que sean accesorios o partes de máquinas herramienta); yunques; fraguas portátiles; muelas de mano o pedal, con bastidor","Herramientas de mano, fraguas y prensas de carpintero, no comprendidas en otra parte"
104810,"Papel y cartón estucados por una o las dos caras con caolín u otras sustancias inorgánicas, con aglutinante o sin él, con exclusión de cualquier otro estucado o recubrimiento, incluso coloreados o decorados en la superficie o impresos, en bobinas (rollos) o en hojas de forma cuadrada o rectangular, de cualquier tamaño",Papeles y cartones estucados
84408,"Hojas para chapado, incluidas las obtenidas por cortado de madera estratificada, para contrachapado o para maderas estratificadas similares y demás maderas aserradas longitudinalmente, cortadas o desenrolladas, incluso cepilladas, lijadas, unidas longitudinalmente o por los extremos, de espesor inferior o igual a 6 mm",Hojas para chapado en madera
178705,"Vehículos automóviles para usos especiales (excepto los concebidos principalmente para transporte de personas o mercancías) [por ejemplo: coches para reparaciones (auxilio mecánico), camiones grúa, camiones de bomberos, camiones hormigonera, coches barredera, coches esparcidores, coches taller, coches radiológicos]","Vehículos especiales (camiones grúa, hormigoneros)"
157415,"Puntas, clavos, chinchetas (chinches), grapas apuntadas y artículos similares, de cobre, o con espiga de hierro o acero y cabeza de cobre; tornillos, pernos, tuercas, escarpias roscadas, remaches, pasadores, clavijas, chavetas y arandelas, incluidas las arandelas de muelle (resorte), y artículos similares, de cobre","Clavos y tornillos, de cobre"
189017,"Instrumentos de dibujo, trazado o cálculo (por ejemplo: máquinas de dibujar, pantógrafos, transportadores, estuches de dibujo, reglas y círculos, de cálculo); instrumentos manuales de medida de longitud (por ejemplo: metros, micrómetros, calibradores), no expresados ni comprendidos en otra parte de este capítulo",Instrumentos manuales de dibujo y medida de longitud
158201,"Layas, palas, azadas, picos, binaderas, horcas de labranza, rastrillos y raederas; hachas, hocinos y herramientas similares con filo; tijeras de podar de cualquier tipo, hoces y guadañas; cuchillos para heno o para paja, cizallas para setos, cuñas y demás herramientas de mano, agrícolas, hortícolas o forestales","Herramientas de mano, agrícolas, hortícolas o forestales"
168523,"Discos, cintas, dispositivos de almacenamiento permanente de datos a base de semiconductores, tarjetas inteligentes (smart cards) y demás soportes para grabar sonido o grabaciones análogas, grabados o no, incluso las matrices y moldes galvánicos para fabricación de discos, excepto los productos del capítulo 37","Cintas, dispositivos de grabación y almacenamiento de datos"
136812,"Amianto (asbesto) en fibras trabajado; mezclas a base de amianto o a base de amianto y carbonato de magnesio; manufacturas de estas mezclas o de amianto (por ejemplo: hilados, tejidos, prendas de vestir, sombreros y demás tocados, calzado, juntas), incluso armadas (excepto las de las partidas 6811 o 6813)",Amianto y manufacturas de amianto
52710,"Aceites de petróleo o de mineral bituminoso, excepto los aceites crudos; preparaciones no expresadas ni comprendidas en otra parte, con un contenido de aceites de petróleo o de mineral bituminoso superior o igual al 70 % en peso, en las que estos aceites constituyan el elemento base; desechos de aceites",Aceites de petróleo
63302,"Mezclas de sustancias odoríferas y mezclas, incluidas las disoluciones alcohólicas, a base de una o varias de estas sustancias, de los tipos utilizados como materias básicas para la industria; las demás preparaciones a base de sustancias odoríferas, de los tipos utilizados para la elaboración de bebidas",Escencias aromatizantes
41904,"Productos a base de cereales obtenidos por inflado o tostado (por ejemplo: hojuelas o copos de maíz); cereales (excepto el maíz) en grano o en forma de copos u otro grano trabajado (excepto la harina, grañones y sémola), precocidos o preparados de otro modo, no expresados ni comprendidos en otra parte",Cereal inflado o tostado
63809,"Aprestos y productos de acabado, aceleradores de tintura o de fijación de materias colorantes y demás productos y preparaciones (por ejemplo: aprestos y mordientes), de los tipos utilizados en la industria textil, del papel, del cuero o industrias similares, no expresados ni comprendidos en otra parte","Fijadores de pinturas para textil, cuero y papel."
