carrera_id,area_id,region_id,institution_id,program,degree,specialization_or_observations
11003,2,13,96,Actuación Teatral,Licenciatura en Artes,Actuación Teatral
34012,NA,NA,110,Ingeniería Comercial,NA,Administración
21040,NA,NA,129,Ingeniería Civil Industrial,NA,Agroindustrias
34069,7,13,110,Pedagogía en Educación General Básica,NA,Alemán
34042,7,13,110,Pedagogía en Educación Parvularia,NA,Alemán
20081,7,13,121,Pedagogía en Alemán,Licenciatura en Educación,Alemán
11011,2,13,96,Artes Plásticas,Licenciatura en Artes,Artes Plásticas
37090,7,9,88,Bachiller en Ciencias y Humanidades,NA,Articulación con otro programa o especialización
44029,NA,NA,102,Bachillerato,NA,Articulación con otro programa o especialización
43031,10,13,104,Bachillerato de Administración de Servicios,NA,Articulación con otro programa o especialización
43007,4,13,104,Bachillerato de Derecho,NA,Articulación con otro programa o especialización
43030,9,13,104,Bachillerato de Enfermería,NA,Articulación con otro programa o especialización
43003,10,13,104,Bachillerato de Ingeniería,NA,Articulación con otro programa o especialización
43005,10,13,104,Bachillerato de Ingeniería Comercial,NA,Articulación con otro programa o especialización
43001,9,13,104,Bachillerato de Medicina,NA,Articulación con otro programa o especialización
43002,9,13,104,Bachillerato de Odontología,NA,Articulación con otro programa o especialización
41001,NA,NA,78,Bachillerato en Artes,NA,Articulación con otro programa o especialización
24060,3,2,92,Bachillerato en Ciencias,NA,Articulación con otro programa o especialización
41128,9,13,78,Bachillerato en Ciencias,NA,Articulación con otro programa o especialización
14009,3,5,73,Bachillerato en Ciencias,NA,Articulación con otro programa o especialización
29015,3,8,101,Bachillerato en Ciencias,NA,Articulación con otro programa o especialización
29068,3,8,101,Bachillerato en Ciencias,NA,Articulación con otro programa o especialización
41004,9,13,78,Bachillerato en Ciencias,NA,Articulación con otro programa o especialización
41063,9,5,78,Bachillerato en Ciencias,NA,Articulación con otro programa o especialización
41100,9,8,78,Bachillerato en Ciencias,NA,Articulación con otro programa o especialización
12003,NA,NA,72,Bachillerato en Ciencias,NA,Articulación con otro programa o especialización
17812,8,11,80,Bachillerato en Ciencias de la Ingeniería,NA,Articulación con otro programa o especialización
21046,8,13,129,Bachillerato en Ciencias de la Ingeniería,NA,Articulación con otro programa o especialización
17016,NA,NA,80,Bachillerato en Ciencias de la Ingeniería,NA,Articulación con otro programa o especialización
17081,NA,NA,80,Bachillerato en Ciencias de la Ingeniería,NA,Articulación con otro programa o especialización
17807,8,14,80,Bachillerato en Ciencias de la Ingeniería,NA,Articulación con otro programa o especialización
24067,9,2,92,Bachillerato en Ciencias de la Salud,NA,Articulación con otro programa o especialización
18088,NA,NA,87,Bachillerato en Ciencias de la Salud,NA,Articulación con otro programa o especialización
44042,4,13,102,Bachillerato en Ciencias Jurídicas y Humanidades,NA,Articulación con otro programa o especialización
30065,4,9,98,Bachillerato en Ciencias Sociales,NA,Articulación con otro programa o especialización
24091,2,2,92,Bachillerato en Ciencias Sociales y Artes,NA,Articulación con otro programa o especialización
38032,4,13,114,Bachillerato en Ciencias Sociales y Humanidades,NA,Articulación con otro programa o especialización
12020,NA,NA,72,Bachillerato en Ciencias Sociales y Humanidades,NA,Articulación con otro programa o especialización
16030,3,13,109,Bachillerato en Ciencias y Humanidades,NA,Articulación con otro programa o especialización
17813,1,11,80,Bachillerato en Ciencias y Recursos Naturales,NA,Articulación con otro programa o especialización
17019,NA,NA,80,Bachillerato en Ciencias y Recursos Naturales,NA,Articulación con otro programa o especialización
24081,NA,NA,92,Bachillerato en Educación,NA,Articulación con otro programa o especialización
13052,6,8,97,Bachillerato en Humanidades,NA,Articulación con otro programa o especialización
41033,4,13,78,Bachillerato en Humanidades,NA,Articulación con otro programa o especialización
43006,3,13,104,Bachillerato en Humanidades,NA,Articulación con otro programa o especialización
45014,2,13,77,Bachillerato en Humanidades,NA,Articulación con otro programa o especialización
41079,NA,NA,78,Bachillerato en Humanidades,NA,Articulación con otro programa o especialización
44009,10,13,102,Bachillerato en Ingeniería Comercial,NA,Articulación con otro programa o especialización
45030,NA,NA,77,Bachillerato en Matemática,NA,Articulación con otro programa o especialización
44010,2,13,102,Bachillerato en Psicología,NA,Articulación con otro programa o especialización
43004,9,13,104,Bachillerato en Salud,NA,Articulación con otro programa o especialización
19000,NA,NA,112,Bachillerato,NA,Articulación con otro programa o especialización
19002,NA,NA,112,Bachillerato,NA,Articulación con otro programa o especialización
12026,2,13,72,College Artes y Humanidades,NA,Articulación con otro programa o especialización
12027,9,13,72,College Ciencias Naturales y Matemáticas,NA,Articulación con otro programa o especialización
12028,4,13,72,College Ciencias Sociales,NA,Articulación con otro programa o especialización
12039,8,13,72,Ingeniería,NA,Articulación con otro programa o especialización
24038,NA,NA,92,Ingeniería,NA,Articulación con otro programa o especialización
22017,NA,NA,111,Ingeniería,NA,Articulación con otro programa o especialización
33061,8,12,107,Ingeniería,NA,Articulación con otro programa o especialización
15071,NA,NA,127,Ingeniería Civil,NA,Articulación con otro programa o especialización
15003,NA,NA,127,Ingeniería Civil,NA,Articulación con otro programa o especialización
15100,8,5,127,Ingeniería Civil,NA,Articulación con otro programa o especialización
15300,8,13,127,Ingeniería Civil,NA,Articulación con otro programa o especialización
37054,8,9,88,Ingeniería Civil,NA,Articulación con otro programa o especialización
38080,3,13,114,Ingeniería Civil,NA,Articulación con otro programa o especialización
40060,8,13,115,Ingeniería Civil,NA,Articulación con otro programa o especialización
18055,8,2,87,Ingeniería Civil,NA,Articulación con otro programa o especialización
42002,8,13,75,Ingeniería Civil,NA,Articulación con otro programa o especialización
42022,8,5,75,Ingeniería Civil,NA,Articulación con otro programa o especialización
33005,8,12,107,Ingeniería Civil,NA,Articulación con otro programa o especialización
25000,NA,NA,100,Ingeniería Civil,NA,Articulación con otro programa o especialización
22072,NA,NA,111,Ingeniería Civil y Ejecución,NA,Articulación con otro programa o especialización
22071,8,15,111,Ingeniería Civil y Ejecución Eléctrica,NA,Articulación con otro programa o especialización
11045,3,13,96,Ingeniería y Ciencias,NA,Articulación con otro programa o especialización
