V1,V2
14001 Agronomía (1),NA
14078 Ingeniería de Alimentos (1),NA
FACULTAD DE ARQUITECTURA Y URBANISM,NA
14002 Arquitectura (1),NA
14003 Diseño (1) (2) (3),NA
14004 Arte (3),NA
FACULTAD DE CIENCIAS,NA
14009 Bachillerato en Ciencias (4),NA
Pedagogía en Biología y Ciencias Naturales,NA
14011 (5) y/o Licenciatura en Biología (6),NA
14012 Bioquímica (1),NA
14013 Química Industrial (1),NA
Pedagogía en Química y Ciencias Naturales,NA
14014,NA
(5),NA
14015 Kinesiología (1) (7),NA
14017 Estadística (1),NA
Pedagogía en Matemáticas (5) y/o,NA
14075,NA
Licenciatura en Matemáticas (6).,NA
Pedagogía en Física (5)  y/o Licenciatura,NA
14076 en Física o Licenciatura en Física mención,NA
Astronomía (6).,NA
Tecnología Médica mención Oftalmología y,NA
Contactología o mención Bioanálisis Clínico,NA
14082,NA
"Molecular, Inmunohematología y Medicina",NA
Transfusional (1) (8),NA
FACULTAD DE CIENCIAS ECONÓMICAS Y AD,NA
14005 Ingeniería Comercial (1),NA
14006 Contador Auditor (1),NA
14007 Periodismo (1),NA
14008 Trabajo Social (1),NA
FACULTAD DE DERECHO,NA
14030 Derecho (9),NA
FACULTAD DE FILOSOFÍA Y EDUCACIÓN,NA
14016 Pedagogía en Educación Física (5)  (7),NA
Pedagogía en Castellano y Comunicación (5),NA
y/o Licenciatura en Lingüística y Literatura,NA
14031 mención Lingüística Aplicada o Licenciatura,NA
en Lingüística y Literatura mención,NA
Literatura Hispanoamericana (6).,NA
Pedagogía en Educación Especial con,NA
14032 mención en Discapacidad Intelectual o con,NA
mención en Dificultades del Aprendizaje (5),NA
Pedagogía en Educación Básica (5)  con las,NA
siguientes menciones:,NA
- Primer Ciclo y en Matemáticas,NA
14033,NA
- Primer Ciclo y  en Ciencias Naturales,NA
- Primer Ciclo y en Lenguaje y Comunicación,NA
- Primer Ciclo y en Historia y Ciencias Sociales,NA
14034 Educación Parvularia  (10),NA
Pedagogía en Filosofía (5)  y/o Licenciatura,NA
14035,NA
en Filosofía (6),NA
"Pedagogía en Historia, Geografía y Ciencias",NA
14036 Sociales (5)  y/o Licenciatura en Historia con,NA
Mención en  Ciencia Política (6),NA
14037 Pedagogía en Inglés (5),NA
Interpretación o Traducción (Inglés-Español),NA
14038,NA
(11),NA
,Pedagogía en Música (5) (12) o Licenciatura
,en Ciencias y Artes Musicales o Licenciatura
14039,
,en Ciencias y Artes Musicales mención
,Composición
,Interpretación Musical con Mención en
,Instrumento Principal (14)
14040,Psicología (1)
FACULTAD DE INGENIERÍA,
14060,Ingeniería Civil Bioquímica (13)
14061,Ingeniería Civil Eléctrica (13)
14062,Ingeniería Civil Electrónica (13)
14063,Ingeniería Civil Industrial  (13)
14064,Ingeniería Civil Informática (13)
14065,Ingeniería Civil Mecánica  (13)
,Ingeniería Civil en Metalurgia Extractiva
14066,
,(13)
14067,Ingeniería Civil Química (13)
14081,Ingeniería Civil (13)
14083,Ingeniería Civil de Minas (13)
14068,Ingeniería de Transporte  (1)
14069,Ingeniería Eléctrica  (1)
14070,Ingeniería Electrónica  (1)
14071,Ingeniería en Construcción  (1)
14072,Ingeniería Mecánica (1)
14073,Ingeniería de Ejecución en Bioprocesos
14074,Ingeniería de Ejecución en Informática
FACULTAD DE CIENCIAS DEL MAR Y GEOGR,
14018,Geografía (1)
14080,Oceanografía (1)
