V1,V2
"17033 Arquitectura, Licenciatura en Arquitectura",NA
17065 Licenciatura en Artes Visuales (22),NA
"Artes Musicales y Sonoras, Licenciatura en",NA
17833,NA
Artes Musicales y Sonoras (2),NA
"17834 Diseño, Licenciatura en Diseño (2)",NA
"Creación Audiovisual, Licenciatura en",NA
17836,NA
Creación Audiovisual (2),NA
FACULTAD DE CIENCIAS,NA
"Biología Marina, Licenciatura en Biología",NA
17001,NA
Marina (2) (11),NA
"Bioquímica, Licenciatura en Bioquímica",NA
17002,NA
(2) (7) (11),NA
"Química y Farmacia, Licenciatura en Ciencias",NA
17034,NA
Farmacéuticas(2) (7) (11),NA
"17814 Geografía, Licenciatura en Geografía (2) (11)",NA
Licenciatura en Ciencias con Mención,NA
17816,NA
(2) (11) (13) (15) (24) (25),NA
"17821 Geología, Licenciatura en Geología(2) (11)",NA
FACULTAD DE CIENCIAS AGRARIAS,NA
"Agronomía, Licenciatura en Agronomía",NA
17000,NA
(2) (11),NA
"Ingeniería en Alimentos, Licenciatura en",NA
17053,NA
Ciencias de los Alimentos (2) (11),NA
FACULTAD DE CIENCIAS ECONÓMICAS Y ADMINI,NA
"Auditoría, Licenciatura en Control de",NA
17003,NA
Gestión(6),NA
"Ingeniería Comercial, Licenciatura en",NA
17009 Ciencias de la Administración de Empresas,NA
(2) (6),NA
"Administración de Empresas de Turismo,",NA
17054,NA
Licenciatura en Turismo  (6),NA
FACULTAD DE CIENCIAS FORESTALES Y RECURS,NA
Ingeniería en Conservación de Recursos,NA
"Naturales - Ingeniería Forestal, Licenciatura",NA
17827 en Ciencias Forestales o Licenciatura en,NA
Conservación de Recursos Naturales  (2),NA
(11) (21),NA
FACULTAD DE CIENCIAS DE LA INGENIERÍA,NA
"Ingeniería Civil en Obras Civiles,",NA
17004 Licenciatura en Ciencias de la Ingeniería,NA
(2) (11) (16),NA
"Ingeniería Civil en Informática, Licenciatura",NA
17008,NA
en Ciencias de la Ingeniería (2) (7) (11) (16),NA
"Ingeniería Civil Acústica, Licenciatura en",NA
17030,NA
Ciencias de la Ingeniería(2) (11) (16),NA
"Ingeniería Civil Electrónica, Licenciatura en",NA
17036,NA
Ciencias de la Ingeniería (2) (11) (16),NA
"Ingeniería en Construcción, Licenciatura en",NA
17037,NA
Ciencias de la Construcción (2) (11) (16),NA
"Ingeniería Naval, Licenciatura en Ciencias",NA
17040,NA
de la Ingeniería  (2) (4) (7) (11) (16),NA
"Ingeniería Civil Mecánica, Licenciatura en",NA
17079,NA
Ciencias de la Ingeniería  (2) (11) (16),NA
Bachillerato en Ciencias de la Ingeniería,NA
17807 Plan Común(17),NA
"Ingeniería Civil Industrial, Licenciatura en",NA
17822,NA
Ciencias de la Ingeniería  (2) (11) (16),NA
FACULTAD DE CIENCIAS JURÍDICAS Y SOCIALES,NA
"Derecho, Licenciatura en Ciencias Jurídicas",NA
17082,NA
y Sociales  (5) (11),NA
,"Medicina Veterinaria, Licenciatura en"
17014,
,Medicina Veterinaria  (2) (11)
FACULTAD DE FILOSOFÍA Y HUMANIDADES,
,"Antropología, Licenciatura en Antropología"
17029,
,(2) (11)
,"Periodismo, Licenciatura en Comunicación"
17056,
,Social(2) (11)
,"Pedagogía en Educación Física, Deportes y"
17074,"Recreación, Licenciatura en Educación  (2)"
,(11) (25)
,"Pedagogía en Historia y Ciencias Sociales,"
17077,
,Licenciatura en Educación(1) (2) (11) (25)
,"Pedagogía en Lenguaje y Comunicación,"
17084,
,Licenciatura en Educación  (2) (11) (25)
,Pedagogía en Comunicación en Lengua
17085,"Inglesa, Licenciatura en Educación  (2)"
,(11) (25)
FACULTAD DE MEDICINA,
,"Enfermería, Licenciatura en Enfermería"
17005,
,(11) (14)
,"Medicina: Campo Clínico Valdivia,"
17013,
,Licenciatura en Medicina (3) (11) (14)
,"Obstetricia y Puericultura, Licenciatura en"
17015,
,Obstetricia y Puericultura(11) (14)
,"Tecnología Médica, Licenciatura en"
17028,
,Tecnología Médica(2) (8) (11) (14)
,"Medicina: Campo Clínico Osorno,"
17031,
,Licenciatura en Medicina  (3) (9) (11) (14)
,"Terapia Ocupacional, Licenciatura en"
17032,
,Ciencias de la Ocupación(2) (11) (14)
,"Kinesiología, Licenciatura en Kinesiología"
17076,
,(2) (11) (14)
,"Odontología, Licenciatura en Odontología"
17089,
,(11) (12) (14)
17826,"Psicología, Licenciatura en Psicología  (2)"
,"Ingeniería Civil Industrial, Licenciatura en"
17052,
,Ciencias de la Ingeniería  (2)
,"Ingeniería Comercial, Licenciatura en"
17078,Ciencias de la Administración de Empresas
,(2) (6)
,"Tecnología Médica, Licenciatura en"
17086,
,Tecnología Médica(2) (10) (14)
,"Fonoaudiología, Licenciatura en"
17087,
,Fonoaudiología  (2) (14)
17088,"Psicología, Licenciatura en Psicología  (2) (8)"
,Pedagogía en Educación Diferencial con
17808,"Mención, Licenciatura en Educación  (2)"
,(18) (25)
,"Pedagogía en Matemáticas, Licenciatura en"
17811,
,Educación  (2) (25)
,Ingeniería en Información y Control de
17815,"Gestión, Licenciatura en Ciencias de la"
,Información y Control de Gestión  (2)
