V1,V2
43014 Medicina,NA
43015 Kinesiología,NA
43016 Terapia Ocupacional,NA
43017 Nutrición y Dietética,NA
43033 Fonoaudiología,NA
FACULTAD DE ODONTOLOGÍA,NA
43018 Odontología,NA
FACULTAD DE ENFERMERÍA Y OBSTETRICIA,NA
43024 Enfermería,NA
43032 Obstetricia y Puericultura,NA
ESCUELA DE PSICOLOGÍA,NA
43025 Psicología (1),NA
FACULTAD DE INGENIERÍA Y CIENCIAS APLIC,NA
Ingeniería Civil (Plan Común),NA
"El plan común de Ingeniería Civil, conduce a",NA
los títulos profesionales de: Ingeniero Civil,NA
"43013 en Ciencias de la Computación, Ingeniero",NA
"Civil Eléctrico, Ingeniero Civil Industrial,",NA
"Ingeniero Civil en Obras Civiles, Ingeniero Civil",NA
Ambiental.,NA
FACULTAD DE CIENCIAS ECONÓMICAS Y EM,NA
43010 Ingeniería Comercial (1),NA
ESCUELA DE ADMINISTRACIÓN DE SERVICI,NA
43019 Administración de Servicios (1),NA
FACULTAD DE DERECHO,NA
43012 Derecho,NA
FACULTAD DE COMUNICACIÓN,NA
"Periodismo, Comunicación Audivisual y",NA
43036,NA
Publicidad (1),NA
43037 Publicidad,NA
43038 Comunicación Audiovisual,NA
FACULTAD DE FILOSOFÍA Y HUMANIDADES,NA
43026 Filosofía (1),NA
43027 Historia,NA
43028 Literatura (1),NA
43021 Pedagogía Media en Historia,NA
43022 Pedagogía Media en Filosofía (1),NA
43029 Pedagogía Media en Lengua y Literatura (1),NA
FACULTAD DE EDUCACIÓN,NA
43020 Pedagogía en Educación Básica (1),NA
Pedagogía Básica Bilingüe Inglés-Español,NA
43039,NA
(1),NA
43023 Educación de Párvulos (1),NA
PROGRAMA DE BACHILLERATO,NA
43001 Bachillerato de Medicina,NA
43002 Bachillerato de Odontología,NA
43003 Bachillerato de Ingeniería,NA
43004 Bachillerato en Salud,NA
43005 Bachillerato de Ingeniería Comercial (1),NA
43006,Bachillerato en Humanidades (1)
43034,Bachillerato de Psicología (1)
43007,Bachillerato de Derecho
43030,Bachillerato de Enfermería
43035,Bachillerato de Obstetricia y Puericultura
,Bachillerato de Administración de Servicios
43031,
,(1)
