V1,V2
29001,Arquitectura (1) (2) (12)
29004,Diseño Industrial (1) (11)
29005,Ingeniería en Construcción (1) (2) (13)
29010,Trabajo Social (1) (2)
29015,Bachillerato en Ciencias (7)
29018,Ingeniería Estadística (1) (2)
29019,Ingeniería Civil Química (1) (2)
29020,Ingeniería Civil Industrial (1) (2)
29021,Ingeniería Civil (1) (2)
,Ingeniería Civil en Industrias de la Madera
29024,
,(1) (2)
29026,Ingeniería Civil Mecánica (1) (2)
29027,Ingeniería Civil en Informática (1) (2) (9)
29028,Ingeniería Civil en Automatización (1) (2)
29029,Ingeniería Civil Eléctrica (1) (2)
29030,Ingeniería de Ejecución en Electricidad (2)
29032,Ingeniería de Ejecución en Mecánica (2)
29035,Ingeniería de Ejecución en Electrónica (2)
,Ingeniería de Ejecución en Computación e
29037,
,Informática (2) (10)
29045,Contador Público y Auditor (1) (2) (8)
29049,Ingeniería Comercial (1) (2)
29051,Ingeniería en Alimentos (1) (2)
29052,Enfermería (1) (4) (5)
29054,Nutrición y Dietética (1) (2) (4) (5)
29055,Fonoaudiología (1) (3) (5)
29057,Ingeniería Civil en Informática (1) (2) (9)
29059,Ingeniería Comercial (1) (2)
29063,Contador Público y Auditor (1) (2) (8)
29064,Diseño Gráfico (1)
29066,Trabajo Social (1) (2)
29067,Psicología (1) (2)
29068,Bachillerato en Ciencias (7)
29069,Ingeniería en Recursos Naturales (1) (6)
29071,Pedagogía en Educación Física (1) (2) (4)
29072,Pedagogía en Castellano y Comunicación (1)
,Pedagogía en Ciencias Naturales (1)
,- Mención Biología
29073,
,- Mención Física
,- Mención Química
29076,Pedagogía en Inglés (1)
29078,Pedagogía en Historia y Geografía (1)
29080,Pedagogía en Educación Parvularia (1) (2)
,Pedagogía en Educación General Básica
29082,
,(1) (2)
29086,Pedagogía en Educación Matemática (1) (2)
