V1,V2
,"Programa Académico de Bachillerato,"
,Ingreso Común
,Programa de cuatro semestres que conduce
11078,al Grado Académico de Bachiller con
,mención en Ciencias Naturales y Exactas
,o con mención en Humanidades y Ciencias
,Sociales (2)
FACULTAD DE ARQUITECTURA Y URBANISMO,
11001,"Arquitectura, Lic. en Arquitectura (2)(3)"
11005,"Diseño, Lic. en Diseño (2)(4)"
11062,"Geografía, Lic. en Geografía (2)"
FACULTAD DE ARTES (5),
,"Actuación Teatral, Lic. en Artes con mención"
11003,
,en Actuación Teatral (6)(7)
,"Artes Plásticas, Lic. en Artes con mención en"
11011,Artes Plásticas (8)
,"Composición, Lic. en Artes con mención"
11097,
,en (6)
,"Diseño Teatral, Lic. en Artes con mención en"
11004,Diseño Teatral
,"Ingeniería en Sonido, Licenciatura en Artes"
11524,
,con mención en Sonido (9)
,"Teoría de la Música, Lic. en Artes con"
11017,
,mención en Teoría de la Música (10)
,"Teoría e Historia del Arte, Licenciatura en"
11016,
,Artes con mención en
FACULTAD DE CIENCIAS,
,"Biología, Licenciatura en Ciencias con"
11032,
,mención en
,"Física, Licenciatura en Ciencias con mención"
11033,
,en
,"Matemáticas, Licenciatura en Ciencias con"
11034,
,mención en
,"Química, Licenciatura en Ciencias con"
11036,
,mención en
,"Biología con mención en Medio Ambiente,"
11029,Lic. en Ciencias Ambientales con mención
,en Biología
,"Ingeniería en Biotecnología Molecular, Lic."
11039,
,en Biotecnología Molecular
,Pedagogía de Educación Media en Biología y
11521,
,"Química, Lic. en Ciencias Naturales (11)(12)"
,Pedagogía de Educación Media en
11028,"Matemática y Física, Lic. en Ciencias Exactas"
,(11)(13)
,"Química Ambiental, Lic. en Ciencias"
11038,
,Ambientales con mención en Química
FACULTAD DE CIENCIAS AGRONÓMICAS,
,"Ingeniería Agronómica, Lic. en Ciencias"
11020,
,Agropecuarias (2)
,Ingeniería en Recursos Naturales
11024,"Renovables, Lic. en Ciencias de los Recursos"
,Naturales Renovables (2)
,Ingeniería y Ciencias - Plan Común. El Plan
,Común de Ingeniería y Ciencias conduce:
,* A los títulos profesionales de:
,"Ingeniero/a Civil con menciones,"
,"Ingeniero/a Civil en Biotecnología,"
,"Ingeniero/a Civil en Computación,"
,"Ingeniero/a Civil Eléctrico/a,"
,"Ingeniero/a Civil Industrial,"
11045,
,"Ingeniero/a Civil Matemático/a,"
,"Ingeniero/a Civil Mecánico/a,"
,"Ingeniero/a Civil de Minas,"
,Ingeniero/a Civil Químico/a y
,"Geólogo/a, con sus correspondientes"
,licenciaturas.
,* Al grado de Licenciado/a en Ciencias con
,"menciones: Astronomía, Física y Geofísica"
FACULTAD DE CIENCIAS FORESTALES Y DE LA C,
,"Ingeniería Forestal, Lic. en Ciencias"
11021,
,Forestales (2)
FACULTAD DE CIENCIAS QUÍMICAS Y FARMACÉU,
11030,"Bioquímica, Lic. en Bioquímica"
,"Ingeniería en Alimentos, Lic. en Ciencias de"
11031,
,los Alimentos
11035,"Química, Lic. en Química"
11037,"Química y Farmacia, Lic. en Farmacia (14)"
FACULTAD DE CIENCIAS SOCIALES,
,"Antropología-Arqueología, Lic. en"
11060,Antropología con mención en Antropología
,"Social, Antropología Física o Arqueología"
,"Pedagogía en Educación Parvularia, Lic. en"
11522,
,Educación (2)(11)
11069,"Psicología, Lic. en Psicología (2)"
11070,"Sociología, Lic. en Sociología"
11520,"Trabajo Social, Lic. en Trabajo Social (2)"
FACULTAD DE CIENCIAS VETERINARIAS Y PECU,
,"Medicina Veterinaria, Lic. en Ciencias"
11022,
,Veterinaria y Pecuarias
FACULTAD DE DERECHO,
,"Derecho, Licenciatura en Ciencias Jurídicas"
11055,
,y Sociales
FACULTAD DE ECONOMÍA Y NEGOCIOS,
,"Contador Auditor, Lic. en Contabilidad y"
11026,
,Auditoría (2)
,"Ingeniería Comercial, Lic. en Ciencias"
11042,Económicas o Lic. en Ciencias en la
,Administración de Empresas (2)
,Ingeniería en Información y Control de
11027,"Gestión, Lic. en Sistemas de Información y"
,Control de Gestión (2)
FACULTAD DE FILOSOFÍA Y HUMANIDADES (15),
11061,"Filosofía, Licenciatura en"
11063,"Historia, Licenciatura en"
,"Estudios Internacionales, Lic. en Estudios"
11525,
,Internacionales (16)
,Lingüística y Literatura con mención en
11072,
,"Lingüística o en Literatura, Licenciatura en"
,"Lingüística y Literatura Inglesas,"
11065,
,Licenciatura en
,"Pedagogía en Educación Básica, Lic. en"
11523,
,Educación (2)(11)
FACULTAD DE MEDICINA,
11080,"Enfermería, Lic. en Enfermería"
11081,"Fonoaudiología, Lic. en Fonoaudiología"
11082,"Kinesiología, Lic. en Kinesiología"
11083,"Medicina, Lic. en Medicina"
,"Nutrición y Dietética, Lic. en Nutrición y"
11084,
,Dietética
,"Obstetricia y Puericultura, Lic. en"
11085,
,Obstetricia y Puericultura
,"Tecnología Médica, Lic. en Tecnología"
11086,
,Médica (17)
,"Terapia Ocupacional, Lic. en Ciencias de la"
11087,
,Ocupación Humana
FACULTAD DE ODONTOLOGÍA,
11095,"Odontología, Lic. en Odontología (18)"
INSTITUTO DE ASUNTOS PÚBLICOS,
,"Administración Pública, Lic. en Ciencias"
11040,Políticas y Gubernamentales con mención
,en Gestión Pública o Ciencia Política
INSTITUTO DE LA COMUNICACIÓN E IMAGEN,
,"Cine y Televisión, Lic. en Comunicación"
11090,
,Audiovisual (2)(19)
11068,"Periodismo, Lic. en Comunicación Social"
