V1,V2
36001,Derecho
36002,Biología Marina
36009,Educación de Parvulos (1) (6)
36010,Pedagogía en Educación Básica (2) (6)
36011,Periodismo
36012,Ingeniería Comercial
36016,Contador Auditor
36020,Medicina (4)
36021,Enfermería (4)
36029,Ingeniería Civil
36030,Ingeniería Civil Industrial
36031,Ingeniería Civil Informática
36050,Trabajo Social
36051,Nutrición y Dietética (4)
36052,Pedagogía en Educación Media en Inglés (6)
,Pedagogía en Educación Media  Lenguaje y
36053,
,Comunicación (6)
,Licenciatura en Cs. Religiosas y Estudios
36054,
,Eclesiásticos
36055,Licenciatura en Filosofía
36056,Pedagogía en Educación Diferencial(3) (6)
,Pedagogía Educ. media en Biología y
36057,
,Ciencias Naturales (6)
36058,Química Ambiental
36061,Licenciatura en Historia
36063,Ingenieria Civil Geológica
36064,Kinesiología (4)
,Pedagogia en Educacion Media en
36065,
,Matematica (6)
36066,Pedagogía en Educación Física (6)
36067,Ingeniería Civil Eléctrica
36077,Dirección Audiovisual y Multimedia
36078,Tecnología Médica (4) (5)
,Ingeniería en Información y Control de
36079,
,Gestión
,"Ingeniería Ejecución Industrial, Mención"
36068,
,Mantenimiento y Logística
