V1,V2
40001,Arquitectura (1)
40002,Diseño (1)
40010,Artes Visuales (1)
40020,Historia
40021,Literatura (1)
40022,Periodismo (1)
40023,Publicidad (1)
40030,Derecho (2)
40040,Ingeniería Comercial (1) (3)
40041,Auditoria (1)
40042,Ingeniería en Control de Gestión (1)
,Licenciatura en Dirección y Gestión de Artes
40043,
,Culinarias (1)
40050,Educación General Básica (1)
40051,Educación Parvularia (1)
40053,Ciencias de la Familia (1)
40060,Ingeniería Civil Plan Común
40061,Ingeniería Civil Industrial
,Ingeniería Civil Informática y
40062,
,Telecomunicaciones
40070,Medicina
40071,Kinesiología
40072,Nutrición y Dietética
40073,Enfermería
40074,Psicología (1)
40080,Odontología
40009,Teatro / Actuación (1) (4) (pe)
