V1,V2
25001,Ingeniería Civil Industrial (2)
25002,Ingeniería Civil Mecánica (2)
25003,Ingeniería Civil de Minas  (2)
25004,Ingeniería Civil (2)
25005,Ingeniería Civil Ambiental (2)
25010,Ingeniería en  Construcción (1) (2)
25014,Ingeniería en Alimentos (2)
25015,Arquitectura (2)
25016,Ingeniería Mecánica (2)
25017,Ingeniería  de Minas (2)
25020,Licenciatura en Matemática
25021,Ped en Matemáticas y Computación (3)
25024,Ped en Biología y Ciencias Naturales (3)
25025,Ped en Matemáticas y Física (3)
25026,Ped en Química y Ciencias Naturales (3)(5)
25027,Licenciatura en Física ( 4 )
25028,Licenciatura en Astronomía
25038,Química (9)
25034,Ingeniería en Computación (2)
25037,Kinesiología (2)
25036,Odontología (2)
25042,Pedagogía en Historia y Geografía (3)
25043,Pedagogía en Inglés (3)
25044,Pedagogía en Educación Musical (3)
25046,Licenciatura en Música (7)
25050,Pedagogía en Educación Parvularia (3)
25051,Ped en Educación General Básica (3)
25052,Pedagogía en Educación Diferencial (3)
25061,Auditoría
25063,Traductor Inglés – Español (2)
25065,Periodismo (2)
,Diseño (2)
,Conduce a  Diseñador con  mención  en:
25066,
,- Equipamiento
,- Comunicación
25067,Ingeniería Comercial (2)
,Ingeniería en Administración  de  Empresas
25069,
,(8)
25070,Derecho (2)
25033,Enfermería (2)
25064,Psicología  (2)
25031,Ingeniería Agronómica (2)(6)
25053,Pedagogía en Educación General Básica (3)
