V1,V2
,"Educación  Parvularia, Licenciatura en"
26000,
,Educación ( 8 )
,"Pedagogía en Educación Básica, Licenciatura"
26005,
,En Educación (1) (8)
,"Pedagogía en Educación Diferencial,"
26007,
,Licenciatura En Educación (2) (8)
,"Pedagogía en Castellano, Licenciatura en"
26010,
,Educación (8)
,"Pedagogía en Inglés, Licenciatura en"
26025,
,Educación(8)
26029,Traducción e Interpretación Ingles-Español
,"Pedagogía en Artes Plásticas, Licenciatura"
26030,
,en Educación(8)
26032,Licenciatura en Arte
26038,Dibujante Proyectista
,"Pedagogía en Educación  Musical,"
26040,
,Licenciatura en Educación (3) (8)
,"Pedagogía en Educación Física (Damas),"
26045,
,Licenciatura en Educación (4)(8)
,"Pedagogía en Educación Física (Varones),"
26047,
,Licenciatura en Educación (4)(8)
,"Pedagogía en Historia y Geografia, Lic. en"
26050,
,Educación(5)(8)
,Fonoaudiología. Licenciatura en
26052,
,Fonoaudiología(9)
,"Geografia, Lic. en Geografia C/Mención en"
26054,
,Gestión y Ordenamiento Territorial
,"Pedagogía en Filosofía, Lic. en Educación(5)"
26055,
,(8)
,"Pedagogía en Biología y Ciencias,"
26060,
,Licenciatura en Educación(8)
,"Ingeniería Civil Ambiental, Licenciatura en"
26062,
,Ciencias de la Ingeniería
,"Ingeniería Civil Industrial, Licenciatura en"
26063,
,Ciencias de la Ingeniería
,"Ingeniería Ambiental, Licenciatura en"
26064,
,Ciencias de la Ingeniería
,"Pedagogía en Física, Licenciatura en"
26066,
,Educación(5) (8)
,Ingeniería Informática C/M en Gestión de la
26067,
,"Información, Lic. en Cs. de la Ing."
,Ingeniería en Estadística. Licenciado en
26068,
,Ciencias de la Ingeniería
,"Pedagogía en Química y Ciencias,"
26070,
,Licenciatura en Educación(8)
,"Nutrición y Dietética, Licenciatura en"
26071,
,Nutrición
,Pedagogía en Matemática. Licenciatura en
26073,
,Educación (8)
,"Bibliotecología, Licenciatura en Ciencias de"
26080,
,la Documentación
,"Periodismo, Licenciatura en Comunicación"
26082,
,Social
,Administración Turística Multilingüe C/
26083,
,Mención Ingl-Francés o Ingl-Alemán(7)
26084,Psicología. Licenciatura en Psicología(9)
26092,"Enfermería, Licenciatura en Enfermería (9)"
,"Terapia Ocupacional, Licenciatura en"
26093,
,Ciencias De La Ocupación Humana
26094,"Kinesiología, Licenciatura en Kinesiología"
,"Tecnología en Deportes y Recreación, Lic. en"
26095,
,Ciencias de la Actividad Física(4)(6)
26096,"Sociología, Licenciatura en Sociología"
,"Teatro, Licenciatura en Arte Escénico"
26097,
,(Prueba Especial)
26300,Diseño
,Pedagogía en Educ. Básica con Mención-
26034,
,Vespertina. Licenciatura en Educación (1)(8)
,Educación Parvularia- San Felipe.
26004,
,Licenciatura en Educación (8)
,Pedagogía en Educación Diferencial con
26008,Mención- San Felipe. Licenciatura en
,Educación (2) (8)
,"Pedagogía en Castellano- San Felipe,"
26009,
,Licenciatura en Educación  (8)
,Pedagogía en Inglés-San Felipe. Licenciatura
26059,
,en Educación (8)
,Pedagogía en Historia y Geografia- San
26098,
,Felipe. Licenciatura en Educación (8)
,Ingeniería En Informática C/M en Gestión de
26099,
,la Información-San Felipe
