V1,V2
16001 Ingeniería Civil en Electricidad  (1),NA
16002 Ingeniería Civil en Geografía  (1),NA
16003 Ingeniería Civil en Industria  (1),NA
16004 Ingeniería Civil en Informática  (1),NA
16005 Ingeniería Civil en Mecánica  (1),NA
16006 Ingeniería Civil en Metalurgia  (1),NA
16007 Ingeniería Civil en Minas  (1),NA
16008 Ingeniería Civil en Obras Civiles  (1),NA
16009 Ingeniería Civil en Química  (1),NA
16010 Ingeniería en Biotecnología  (2),NA
16022 Ingeniería Ambiental  (3),NA
16011 Ingeniería de Ejecución en Electricidad  (4),NA
16012 Ingeniería de Ejecución en Geomensura  (4),NA
16013 Ingeniería de Ejecución en Industria  (4),NA
Ingeniería de Ejecución en Computación e,NA
16014,NA
Informática  (4),NA
16015 Ingeniería de Ejecución en Mecánica  (4),NA
16016 Ingeniería de Ejecución en Metalurgia  (4),NA
16017 Ingeniería de Ejecución en Minas  (4),NA
16019 Ingeniería de Ejecución en Química  (4),NA
Ingeniería de Ejecución en Climatización,NA
"16021 (Calefacción, Refrigeración y Aire",NA
Acondicionado)  (4),NA
PROGRAMA DE BACHILLERATO,NA
Bachillerato en Ciencias y Humanidades,NA
16030,NA
(5) (6),NA
FACULTAD DE ADMINISTRACIÓN Y ECONOMÍA,NA
Administración Pública  (5) (7),NA
16034,NA
16035 Ingeniería Comercial  (5) (8),NA
16036 Contador Público y Auditor (Diurno)  (5) (9),NA
Contador Público y Auditor (Vespertino),NA
16038,NA
(5) (9),NA
FACULTAD DE CIENCIA,NA
16042 Ingeniería Física  (10),NA
16047 Ingeniería Matemática  (11),NA
16048 Ingeniería Estadística  (12),NA
Licenciatura en Ciencia de la Computación,NA
16046,NA
(13),NA
Pedagogía en Matemática y Computación,NA
16045 / Licenciatura en Educación Matemática y,NA
Computación (14),NA
Pedagogía en Física y Matemática /,NA
16049 Licenciatura en Educación de Física y,NA
Matemática (15),NA
FACULTAD DE QUÍMICA Y BIOLOGÍA,NA
Bioquímica y Licenciatura en Bioquímica,NA
16041,NA
(16),NA
16044 Química y Licenciatura en Química  (17),NA
16043 Pedagogía en Química y Biología (18),NA
Técnico Universitario en Análisis Químico y,NA
16040,NA
Físico (Diurno)  (19),NA
,Técnico Universitario en Análisis Químico y
16079,
,Físico (Vespertino)  (19)
16039,Química y Farmacia  (20)
FACULTAD DE HUMANIDADES,
,Pedagogía en Castellano / Licenciatura en
16050,
,Educación en Castellano (21)
,Pedagogía en Inglés / Licenciatura en
16052,
,Educación en Inglés (22)
,Pedagogía en Filosofía / Licenciatura en
16053,
,Educación en Filosofía (23)
16058,Licenciatura en Historia(24)
,Pedagogía en Historia y Ciencias Sociales
16051,/ Licenciatura en Educación en Historia y
,Ciencias Sociales (25)
,Pedagogía en Educación General Básica
16056,
,(5) (26)
,Licenciatura en Lingüística Aplicada a la
16054,Traducción en Inglés - Japonés e Inglés -
,Portugués  (27)
,Licenciatura en Estudios Internacionales
16057,
,(28)
16055,Periodismo  (29)
16060,Psicología  (30)
ESCUELA DE ARQUITECTURA,
16070,Arquitectura  (5) (31)
FACULTAD  TECNOLÓGICA,
16066,Publicidad  (5) (32)
16067,Ingeniería de Alimentos  (33)
16068,Ingeniería en Agronegocios  (5) (34)
,Tecnólogo en Administración de Personal
16080,
,(5) (35)
16081,Tecnólogo en Alimentos  (5) (35)
16082,Tecnólogo en Construcciones  (5) (35)
16083,Tecnólogo en Control Industrial  (5) (35)
16084,Tecnólogo en Diseño Industrial  (5) (35)
,Tecnólogo en Automatización Industrial
16085,
,(5) (35)
,Tecnólogo en Mantenimiento Industrial
16086,
,(5) (35)
16089,Tecnólogo en Telecomunicaciones  (5) (35)
FACULTAD DE CIENCIAS MÉDICAS,
16091,Medicina  (36)
16092,Enfermería  (37)
16093,Obstetricia y Puericultura  (38)
,Pedagogía en Educación Física / Licenciatura
16095,
,en Ciencias de la Actividad Física (39)
,Licenciatura en Ciencias de la Actividad
16097,
,Física / Entrenador Deportivo  (40)
,Licenciatura en Ciencias de la Actividad
16096,Física / Terapeuta en Actividad Física y
,Salud  (41)
16098,Kinesiología (42)
16099,Terapia Ocupacional (43)
FACULTAD DE DERECHO,
16100,Derecho (44)
