nem,puntaje_nem_grupo_a,puntaje_nem_grupo_b,puntaje_nem_grupo_c
4,208,218,213
4.01,210,220,215
4.02,212,222,217
4.03,214,224,219
4.04,217,226,221
4.05,219,228,223
4.06,221,230,225
4.07,223,232,227
4.08,225,234,229
4.09,227,236,231
4.1,229,238,233
4.11,231,240,235
4.12,233,242,237
4.13,235,244,239
4.14,237,246,242
4.15,239,248,244
4.16,241,250,246
4.17,243,252,248
4.18,245,254,250
4.19,247,256,252
4.2,249,258,254
4.21,251,260,256
4.22,253,262,258
4.23,255,264,260
4.24,258,267,262
4.25,260,269,264
4.26,262,271,266
4.27,264,273,268
4.28,266,275,270
4.29,268,277,272
4.3,270,279,274
4.31,272,281,276
4.32,274,283,278
4.33,276,285,280
4.34,278,287,283
4.35,280,289,285
4.36,282,291,287
4.37,284,293,289
4.38,286,295,291
4.39,288,297,293
4.4,290,299,295
4.41,292,301,297
4.42,294,303,299
4.43,296,305,301
4.44,299,307,303
4.45,301,309,305
4.46,303,311,307
4.47,305,313,309
4.48,307,315,311
4.49,309,317,313
4.5,311,319,315
4.51,313,321,317
4.52,315,323,319
4.53,317,325,321
4.54,320,327,323
4.55,322,329,325
4.56,324,331,327
4.57,326,333,329
4.58,328,335,331
4.59,330,337,333
4.6,332,339,335
4.61,334,341,337
4.62,336,343,339
4.63,338,345,341
4.64,340,347,344
4.65,342,349,346
4.66,344,351,348
4.67,346,353,350
4.68,348,355,352
4.69,350,357,354
4.7,352,359,356
4.71,354,361,358
4.72,356,363,360
4.73,358,365,362
4.74,361,368,364
4.75,363,370,366
4.76,365,372,368
4.77,367,374,370
4.78,369,376,372
4.79,371,378,374
4.8,373,380,376
4.81,375,382,378
4.82,377,384,380
4.83,379,386,382
4.84,381,388,385
4.85,383,390,387
4.86,385,392,389
4.87,387,394,391
4.88,389,396,393
4.89,391,398,395
4.9,393,400,397
4.91,395,402,399
4.92,397,404,401
4.93,399,406,403
4.94,402,408,405
4.95,404,410,407
4.96,406,412,409
4.97,408,414,411
4.98,410,416,413
4.99,412,418,415
5,414,420,417
5.01,416,422,419
5.02,418,424,421
5.03,420,426,423
5.04,423,428,425
5.05,425,430,427
5.06,427,432,429
5.07,429,434,431
5.08,431,436,433
5.09,433,438,435
5.1,435,440,437
5.11,437,442,439
5.12,439,444,441
5.13,441,446,443
5.14,443,448,446
5.15,445,450,448
5.16,447,452,450
5.17,449,454,452
5.18,451,456,454
5.19,453,458,456
5.2,455,460,458
5.21,457,462,460
5.22,459,464,462
5.23,461,466,464
5.24,464,469,466
5.25,466,471,468
5.26,468,473,470
5.27,470,475,472
5.28,472,477,474
5.29,474,479,476
5.3,476,481,478
5.31,478,483,480
5.32,480,485,482
5.33,482,487,484
5.34,484,489,487
5.35,486,491,489
5.36,488,493,491
5.37,490,495,493
5.38,492,497,495
5.39,494,499,497
5.4,496,501,499
5.41,498,503,501
5.42,500,505,503
5.43,502,507,505
5.44,505,509,507
5.45,507,511,509
5.46,509,513,511
5.47,511,515,513
5.48,513,517,515
5.49,515,519,517
5.5,517,521,519
5.51,519,523,521
5.52,521,525,523
