V1,V2
45037,Administración Pública
45031,Antropología
45036,Arqueología
45014,Bachillerato en Humanidades (1)
45024,Ciencia Política y Relaciones Internacionales
45041,Contador Público Auditor (2)
45009,Derecho
45008,Educación Básica
45016,Educación Parvularia
45033,Geografía
,"Gestión Información, Bibliotecología y"
45028,
,Archivística
45001,Ingeniería Comercial
45010,Licenciatura en Filosofía
45017,Licenciatura en Historia
45011,Licenciatura en Lengua y Literatura
45034,Licenciatura en Teoría e Historia del Arte
45035,Pedagogía en Artes Visuales
,Pedagogía en Educación Diferencial con
45038,Mención en Dificultades del Aprendizaje
,Escolar
45018,Pedagogía en Filosofía
45020,Pedagogía en Historia y Ciencias Sociales
45021,Pedagogía en Inglés
,Pedagogía en Lengua Castellana y
45019,
,Comunicación
45029,Pedagogía en Matemática
45025,Pedagogía en Música (3)
45006,Periodismo
45005,Psicología
45002,Sociología
45004,Trabajo Social
