V1,V2
,Ingeniería Comercial (1) (2) (4)
,- Administración de Empresas
42001,
,- Economía
,Articulación Ingeniería en Diseño
,"Ingeniería Civil, Plan Común (1) (3) (4)"
,El Plan Común de Ingeniería Civil conduce a los
,siguientes títulos profesionales:
,- Ingeniería Civil Industrial
,- Ingeniería Civil
42002,- Ingeniería Civil Mecánica
,- Ingeniería Civil en Informática
,- Ingeniería Civil en Minería
,- Ingeniería Civil en Bioingeniería
,- Ingeniería Civil en Energía y Medioambiente
,Articulación Ingeniería en Diseño
42003,Derecho (1)
42004,Psicología (1)
42005,Periodismo (1)
42011,Bachillerato de Ingeniería Comercial (1)
42012,Bachillerato de Ingeniería (1)
,Ingeniería Comercial (1) (2)
42021,
,- Administración de Empresas
,"Ingeniería Civil, Plan Común (1) (3)"
,El Plan Común de Ingeniería Civil conduce a los
,siguientes títulos profesionales:
,- Ingeniería Civil Industrial
,- Ingeniería Civil
42022,
,- Ingeniería Civil Mecánica
,- Ingeniería Civil en Informática
,- Ingeniería Civil en Minería
,- Ingeniería Civil en Bioingeniería
,- Ingeniería Civil en Energía y Medioambiente
42023,Derecho (1)
42024,Psicología (1)
42025,Periodismo (1)
