V1,V2
12007,Actuación (PE)
12013,Agronomía e Ingeniería Forestal
12022,Antropología- Arqueología (7)
12004,Arquitectura (3)
12005,Arte
12032,Astronomía
,Biología
12011,- Recursos Naturales y Medio Ambiente
,- Bioprocesos
12012,Biología Marina
12010,Bioquímica
12037,Ciencia Política
,College Artes y Humanidades (1)
,Conduce al grado de Licenciado en Artes y
,"Humanidades, con especialización en alguna"
,"de las disciplinas de los majors: Antropología,"
,"Arquitectura, Historia del Arte, Iniciación a la"
,"Expresión Artística, Comunicaciones, Diseño,"
,"Gestión Cultural, Planificación Urbana,"
,"Filosofía, Historia de América Latina, Historia"
,"de Chile, Historia del Mundo, Ciencias del"
,"Lenguaje, Literatura, Narración, Música,"
12026,
,"Ciencia y Tecnología, Teoría y Literatura"
,"Musical, Técnicas Actorales y Teología. Los"
,graduados de College están en condiciones
,"de acceder a los títulos profesionales,"
,según corresponda a su major. College tiene
,también como una de sus opciones de salida
,el realizar un programa de dos años de
,"duración y optar por cupos, a un cambio a la"
,carrera tradicional de acuerdo a lo informado
,en www.college.uc.cl
,College Ciencias Naturales y Matemáticas
,(1)
,Conduce al grado de Licenciado en Ciencias
,"Naturales y Matemáticas, con especialización"
,en alguna de las disciplinas de los major:
,"Agronomía, Recursos Naturales Renovables,"
,"Arquitectura, Ciencias Biológicas, Economía,"
,"Finanzas, Gestión de Negocios, Construcción"
,"Civil, Diseño, Fundamentos de la Enfermería,"
,"Planificación Urbana, Filosofía, Astronomía"
,"y Astrofísica, Física, Geografía, Procesos"
12027,
,"y Sistemas Naturales, Ingeniería Civil,"
,"Estadística, Matemática, Ciencias Biomédicas,"
,"Ciencias de la Salud, Ciencias Farmacéuticas"
,y Química. Los graduados de College están
,en condiciones de acceder a los títulos
,"profesionales, según corresponda a su major."
,College tiene también como una de sus
,opciones de salida el realizar un programa de
,"dos años de duración y optar por cupos, a un"
,cambio a la carrera tradicional de acuerdo a lo
,informado en www.college.uc.cl
,College Ciencias Sociales (1)
,Conduce al grado de Licenciado en Ciencias
,"Sociales, con especialización en alguna de"
,"las disciplinas de los majors: Antropología,"
,"Arquitectura, Relaciones Internacionales,"
,"Economía, Finanzas, Gestión de Negocios,"
,"Comunicaciones, Derecho, Diseño,"
,"Fundamentos de la Enfermería, Planificación"
,"Urbana, Filosofía, Geografía, Territorio y"
12028,"Sociedad, Historia de América Latina, Historia"
,"de Chile, Historia del Mundo, Psicología,"
,Sociología y Trabajo Social. Los graduados de
,College están en condiciones de acceder a los
,"títulos profesionales, según corresponda a su"
,major. College tiene también como una de sus
,opciones de salida el realizar un programa de
,"dos años de duración y optar por cupos, a un"
,cambio a la carrera tradicional de acuerdo a lo
,informado en www.college.uc.cl
12038,Construcción Civil
12021,Derecho
12006,Diseño (3)
,Enfermería
,- Enfermería con certificado académico en:
12057,"Adulto, Adulto Mayor, Niño, Comunitaria,"
,Salud Mental y Psiquiatría.
,-  Enfermera (o) Matrona (ón) (***)
12049,Estadística (4)
12030,Filosofía
12031,Física
12062,Fonoaudiología
12034,Geografía
12035,Historia
,Ingeniería
,- Ingeniería Civil con Diploma Académico en:
,"Ingeniería Ambiental, Ingeniería de Diseño y"
,"Construcción de Obras, Ingeniería Estructural,"
,"Ingeniería Geotécnica, Ingeniería y Gestión"
,"de la Construcción, Hidráulica, Ingeniería de"
,Minería e Ingeniería de Transporte.
,- Ingeniería Civil de Industrias con Diploma
,"Académico en: Ingeniería Ambiental,"
,"Ingeniería Bioprocesos, Ingeniería de"
12039,
,"Computación, Ingeniería de la Construcción,"
,"Ingeniería Eléctrica, Ingeniería Hidráulica,"
,"Ingeniería Matemática, Ingeniería Mecánica,"
,"Ingeniería  Minería, Ingeniería Química,"
,Ingeniería  en Tecnología de Información e
,Ingeniería en Transporte.
,- Ingeniería Civil Electricista.
,- Ingeniería Civil Mecánica.
,- Ingeniería Civil de Computación.
,- Ingeniería Civil de Biotecnología.
,Ingeniería Comercial
12014,- Economía
,- Administración de Empresas
12061,Kinesiología
,Letras mención en Lingüística y Literatura
12008,
,Hispánicas
,Letras mención en Lingüística y Literatura
12009,
,Inglesas
12051,Matemática (5)
12058,Medicina
,Música opciones en:  (PE)
,"- Composición, Dirección Coral,"
12059,
,"Interpretación, Musicología y Teoría y"
,Literatura Musical.
12060,Nutrición y Dietética
12056,Odontología
,Pedagogía General Básica mención en: (2)
12024,"- Ciencias Naturales, Ciencias Sociales,"
,Lenguaje y Comunicación y Matemática.
,Pedagogía en Educación Media en Ciencias
12041,
,Naturales y Biología (2) (9)
,Pedagogía en Educación Media en Química
12042,
,(2) (10)
,Pedagogía en Educación Media en
12043,
,Matemática (2) (11)
,Pedagogía en Educación Media en Física
12044,
,(2) (12)
12025,Pedagogía en Educación Parvularia (2)
,Periodismo - Dirección Audiovisual –
12046,
,Publicidad
12017,Psicología
12054,Química
12055,Química y Farmacia
12019,Sociología
12015,Teología
12018,Trabajo Social
(*),Licenciatura en Estética
"Pedagogía en Educación Media, (**)",
,Licenciatura en Educación
12070,Pedagogía en Inglés (2) (6)
12023,Pedagogía en Religión Católica (2) (8)
,Pedagogía General Básica mención en:  (2)
12096,"- Ciencias Naturales, Ciencias Sociales,"
,Lenguaje y Comunicación y Matemática.
12097,Pedagogía en Educación Parvularia (2)
