V1,V2
18077 Analista Químico,NA
18040 Arquitectura,NA
18056 Contador Auditor - Contador Público,NA
Contador Auditor - Contador Público,NA
18078,NA
(Vespertino),NA
18060 Derecho,NA
18054 Geología,NA
18067 Ingeniería Civil,NA
18065 Ingeniería Civil Ambiental,NA
18072 Ingeniería Civil de Minas,NA
Ingeniería Civil en Computación e,NA
18068,NA
Informática,NA
Ingeniería Civil en Gestión de la,NA
18200,NA
Construcción  (*),NA
18062 Ingeniería Civil Industrial,NA
18069 Ingeniería Civil Metalúrgica,NA
18070 Ingeniería Civil Química,NA
Ingeniería Civil Plan Común,NA
Conducente a:,NA
-  Ingeniería Civil,NA
-  Ingeniería Civil en Gestión de la,NA
Construcción,NA
-  Ingeniería Civil Ambiental,NA
18055,NA
-  Ingeniería Civil de Minas (**),NA
-  Ingeniería Civil en Computación e,NA
Informática,NA
-  Ingeniería Civil Industrial (**),NA
- Ingeniería Civil Metalúrgica,NA
-  Ingeniería Civil Química,NA
18046 Ingeniería Comercial,NA
18057 Ingeniería en Computación e Informática,NA
18041 Ingeniería en Construcción,NA
Ingeniería en Información y Control de,NA
18071,NA
Gestión,NA
18058 Ingeniería en Metalurgia,NA
18059 Ingeniería en Procesos Químicos,NA
Ingeniería en Prevención de Riesgos y,NA
18076,NA
Medioambiente,NA
Licenciatura en Física con Mención en,NA
18064,NA
Astronomía,NA
18074 Licenciatura en Matemática,NA
Pedagogía  en Educación  Básica con,NA
Especialización:,NA
18073,NA
- Matemática y Ciencias Naturales,NA
- Lenguaje y Ciencias Sociales,NA
18066 Pedagogía en Inglés,NA
Pedagogía en Matemática en Educación,NA
18075,NA
Media,NA
18039 Periodismo,NA
18061 Psicología,NA
18079 Química Industrial,NA
18063 Química y Farmacia,NA
COQUIMBO,NA
18080 Biología Marina,NA
18083 Derecho,NA
18089 Enfermería,NA
Ingeniería Civil en Computación e,NA
18092,NA
Informática,NA
18093,Ingeniería Civil Industrial
18084,Ingeniería Comercial
18081,Ingeniería en Acuicultura
,Ingeniería en Información y Control de
18094,
,Gestión
,Ingeniería en Prevención de Riesgos y
18086,
,Medioambiente
18090,Kinesiología
18082,Licenciatura en Ciencias Religiosas
18087,Medicina
18091,Nutrición y Dietética
18085,Pedagogía en Filosofía y Religión
