V1,V2
46101,Pedagogía en Educación Básica Diurna (1)
,Pedagogía en Educación Básica  Vespertina
46102,
,(1)
46103,Educación Parvularia  Diurna(2)
,Pedagogía en Educación Diferencial
46104,
,Diurna (3)
46105,Pedagogía en Castellano Diurna (4)
,Pedagogía en Historia y Geografía Diurna
46106,
,(5)
46107,Pedagogía en Educación Física Diurna  (6)
46108,Pedagogía en Inglés Diurna (7)
,Pedagogía en Matemáticas e Informática
46109,
,Educativa Diurna (8)
,"Pedagogía en Educación Artística, Mención"
46110,
,Artes Visuales Diurna (9)
,"Pedagogía en Educación Artística, Mención"
46111,
,Artes Musicales Diurna (9)
46201,Pedagogía en Filosofía Diurna (10)
46301,Trabajo Social Diurna (11)
46302,Sociología Diurna (12)
46303,Ingeniería Comercial Diurna (13)
46304,Contador Público y Auditor Diurna  (14)
46305,Psicología Diurna (15)
46306,Derecho Diurna (16)
46311,Derecho Vespertina (16)
46401,Kinesiología Diurna (17)
46402,Fonoaudiología  Diurna (18)
46403,Enfermería Diurna (19)
,Ing. en Prevención de Riesgos y Medio
46404,
,Ambiente Diurna (20)
,Bachillerato en Ciencias y Humanidades
46500,
,Diurna (21)
,Bachillerato en Ciencias y Humanidades
46501,
,Vespertina (21)
