V1,V2
13006,Agronomía (Chillán)
13105,Agronomía
13026,Antropología (1)
13080,Arquitectura
13054,Artes Visuales (2)
13055,Astronomía
13022,Auditoría
13094,Auditoría - Diurna (Los Angeles)
13052,Bachillerato en Humanidades (3)
13012,Bioingeniería
13014,Biología (4)
13013,Biología Marina (5)
13048,Bioquímica
13046,Ciencias Físicas (6)
13023,Administración Pública y Ciencia Política
13024,Derecho
13029,Derecho  (Chillán)
13032,Educación Básica (7)
13028,Educación Diferencial
13027,Educación Parvularia
13092,Educación Básica (Los Angeles) (7)
13089,Educación Diferencial (Los Angeles)
13087,Enfermería
13103,Enfermería (Chillán)
13104,Enfermería (Los Angeles)
13082,Fonoaudiología (8)
13056,Geofísica
13018,Geografía
13015,Geología
13010,Ingeniería Agroindustrial (Chillán)
13061,Ingeniería Ambiental
13044,Ingeniería Ambiental (Chillán)
13009,Ingeniería Civil Agrícola (Chillán)
13068,Ingeniería Civil - Primer Año Común (9)
13069,Ingeniería Civil
13066,Ingeniería Civil Aeroespacial
13062,Ingeniería Civil Biomédica
13063,Ingeniería Civil de Materiales
13102,Ingeniería Civil de Minas
13070,Ingeniería Civil Eléctrica
13071,Ingeniería Civil Electrónica
13064,Ingeniería Civil en Telecomunicaciones
13072,Ingeniería Civil Industrial
13073,Ingeniería Civil Informática
13003,Ingeniería Civil Matemática
13074,Ingeniería Civil Mecánica
13075,Ingeniería Civil Metalúrgica
13076,Ingeniería Civil Química
13019,Ingeniería Comercial (10)
13030,Ingeniería Comercial  (Chillán)  (10)
13078,Ingeniería Comercial  (Los Angeles)  (10)
,Ingeniería en Biotecnología Marina y
13016,
,Acuicultura
13020,Ingeniería en Biotecnología Vegetal
,Ingeniería en Biotecnología Vegetal (Los
13085,
,Angeles)
,Ingeniería en Conservación de Recursos
13043,
,Naturales
,Ingeniería en Prevención de Riesgos (Los
13084,
,Angeles)
13065,Ingeniería Estadística
13008,Ingeniería Forestal  (11)
13093,Ingeniería Geomática  (Los Angeles)
13083,Kinesiología
13059,Licenciatura en Historia
13002,Licenciatura en Matemática
13001,Licenciatura en Química-Químico (12)
13086,Medicina
13011,Medicina Veterinaria
13007,Medicina Veterinaria (Chillán)
13050,Nutrición y Dietética
13088,Obstetricia y Puericultura
13091,Odontología
13038,Pedagogía en Artes Plásticas
13035,Pedagogía en Ciencias Naturales y Biología
,Pedagogía en Ciencias Naturales y Biología
13079,
,(Los Angeles)
13036,Pedagogía en Ciencias Naturales y Física
13037,Pedagogía en Ciencias Naturales y Química
13101,Pedagogía en Educación Física
13039,Pedagogía en Educación Musical
13041,Pedagogía en Español
13042,Pedagogía en Filosofía
13040,Pedagogía en Historia y Geografía
13057,Pedagogía en Inglés
13106,Pedagogía en Inglés (Los Angeles)
13045,Pedagogía en Matemática y Computación
,Pedagogía en Matemática y Educ.
13098,
,Tecnológica (Los Angeles)
13031,Periodismo
13067,Psicología (10)
13049,Química y Farmacia
13004,Químico Analista
13077,Sociología
13081,Tecnología Médica
13025,Trabajo Social
,Traducción/Interpretación en Idiomas
13058,
,Extranjeros (13)
