V1,V2
32003,Ingeniería Civil en Informática(1)
32011,Contador Público y Auditor(2)
32012,Ingeniería Comercial(3)
32023,Ingeniería en Alimentos(4)
32026,Biología Marina(18)
32027,Enfermería(5)
32028,Kinesiología(6)
32029,Nutrición y Dietética(7)
,Pedagogía en Educación Media en Historia
32034,
,y Geografía(8)
,Pedagogía en Educación Media en
32037,
,Matemática y Computación(8)
,Pedagogía en Educación Media en Educación
32039,
,Física(8)
32042,Pedagogía en Educación Media en Inglés (8)
,Educación Diferencial con Especialización
32048,
,en Problemas de Aprendizaje(9)
32051,Educación Parvularia(10)
32061,Trabajo Social(11)
32130,Fonoaudiología(12)
32162,Psicología(13)
32001,Arquitectura(14)
32002,Kinesiología(6)
32005,Enfermería(5)
32014,Ciencias Políticas y Administrativas(15)
32016,Ingeniería Civil en Informática(1)
32018,Ingeniería Civil Industrial(16)
32020,Ingeniería Ambiental(17)
,Pedagogía en Educación Media en Artes
32044,
,Mención:Música y Artes Visuales(8)
,Pedagogía en Educación Media en Educación
32045,
,Física(8)
32163,Psicología(13)
