V1,V2
39101,Agronomía
39102,Animación Digital
39103,Arquitectura
39104,Biotecnología
39105,Cine
39106,Construcción Civil
39107,Derecho (1) (Manuel Montt)
39139,Derecho (1) (Oriente)
39108,Diseño (2)
39109,Enfermería
39110,Fonoaudiología
39134,Geología
39111,Ingeniería Civil Electrónica
,Ingeniería Civil En Computación e
39112,
,Informática
39113,Ingeniería Civil Industrial
39114,Ingeniería Comercial (Manuel Montt)
39138,Ingeniería Comercial (Oriente)
39115,Ingeniería en Administración (3)
39116,Ingeniería Forestal
,Ingeniería en Medio Ambiente y
39140,
,Sustentabilidad
39117,Kinesiología
39118,Medicina
39119,Medicina Veterinaria
39120,Nutrición y Dietética
39121,Obstetricia y Puericultura
39122,Odontología
,Pedagogía en Artes Musicales para
39123,
,Educación Básica y Media
,Pedagogía en Educación Diferencial C/M en
39124,
,Discapacidades Intelectual y Múltiples
,"Pedagogía en Educación Física, Deportes y"
39125,
,Recreación para Educación Básica y Media
,Pedagogía en Educación Parvularia y
39126,
,Educación Básica para Primer Ciclo
,Pedagogía en Inglés para Educación Básica
39127,
,y Media
39128,Periodismo
39129,Psicología
39130,Psicopedagogía
39131,Teatro (5)
39132,Tecnología Médica (4)
39133,Terapia Ocupacional
39401,Arquitectura
39402,Ingeniería en Construcción
39403,Derecho (1)
39405,Enfermería
39406,Fonoaudiología
39408,Ingeniería Civil Industrial
39409,Ingeniería Comercial
39410,Kinesiología
39411,Medicina
39412,Medicina Veterinaria
39413,Nutrición y Dietética
39414,Obstetricia Y Puericultura
39415,Odontología
39419,Psicología
39420,Tecnología Médica (4)
39421,Terapia Ocupacional
