V1,V2
,Licenciatura en Educación y Pedagogía en
20007,
,Artes Visuales
,Licenciatura en Educación y Pedagogía en
20011,
,Música (1)
,Licenciatura en Música y Dirección de
20012,
,Agrupaciones Musicales Instrumentales (1)
,Licenciatura en Educación y Pedagogía  en
20056,"Educación Física, Deportes y Recreación"
,(damas) (2)
,Licenciatura en Educación y Pedagogía  en
20061,"Educación Física, Deportes y Recreación"
,(varones)  (2)
20098,Kinesiología
FACULTAD DE CIENCIAS BÁSICAS,
,Licenciatura en Educación  en Biología y
,Pedagogía en Biología mención  Ciencias
20022,"Naturales, ó  Informática Educativa, ó"
,"Estadística Educacional,  ó  Educación en"
,"Tecnología, ó  Educación en Astronomía."
,Licenciatura en Educación en Física  y
,Pedagogía en Física mención  Ciencias
20023,"Naturales, ó  Informática Educativa, ó"
,"Estadística Educacional,  ó  Educación en"
,"Tecnología, ó  Educación en Astronomía. ."
,Licenciatura en  Educación  Matemática
,"yPedagogía en Matemática,  mención"
20024,"Ciencias Naturales, ó  Informática Educativa,"
,"ó Estadística Educacional,  ó  Educación en"
,"Tecnología, ó  Educación en Astronomía."
,Licenciatura en Educación en Química y
,Pedagogía en Química menciónCiencias
20025,"Naturales, ó  Informática Educativa, ó"
,"Estadística Educacional,  ó  Educación en"
,"Tecnología, ó  Educación en Astronomía."
FACULTAD DE FILOSOFÍA Y EDUCACIÓN,
,Licenciatura en Educación y Pedagogía en
,"Educación Básica  c/m en Matemática, ó en"
20050,"Lenguaje  y Comunicación, ó en Ciencias"
,"Naturales, ó en Ciencias Sociales, ó en"
,Primer Ciclo (Santiago)
,Licenciatura en Educación y Pedagogía
20051,en Educación DiferencialEspecialidad
,Problemas de Aprendizaje
,Licenciatura en Educación y Pedagogía
20052,enEducación  DiferencialEspecialidad
,Problemas de Audición y Lenguaje
,Licenciatura en Educación y Pedagogía
20054,en  Educación  DiferencialEspecialidad
,Problemas de la Visión
,Licenciatura en Educación y Pedagogía
20057,en Educación DiferencialEspecialidad
,Retardo Mental
,Licenciatura en Educación y Pedagogía en
,"Educación Parvularia c/m en Inglés, o en"
20066,"Educación Comunitaria, o en Integración"
,"Curricular,o en Educación Artística"
,(Santiago)
,Licenciatura en Educación y Pedagogía  en
20071,
,Filosofía
"FACULTAD DE HISTORIA, GEOGRAFÍA Y LETR",
,Licenciatura en Educación c/m en Historia
20076,"o Geografía y Pedagogía en Historia,"
,Geografía y Educación Civica
,Licenciatura en Educación c/m en Alemán y
20081,
,Pedagogía en Alemán
,Licenciatura en Educación c/m en Castellano
20086,
,y  Pedagogía en  Castellano
,Licenciatura en Educación c/m en Francés y
20091,
,Pedagogía en  Francés
,Licenciatura en Educación c/m en Inglés y
20096,
,Pedagogía en  Inglés
