V1,V2
22007 Trabajo Social (1)(3)(29),NA
22020 Psicología (1)(3)(17),NA
22021 Derecho (1)(3),NA
Antropología Conducente a: (1)(3)(4)(18),NA
22023 - Antropología Social,NA
- Arqueología,NA
ESCUELA UNIVERSITARIA DE ADMINISTRAC,NA
22005 Ingeniería Comercial (1)(3)(17),NA
Contador Auditor-Contador Público,NA
22004,NA
(Régimen Vespertino)  (1)(3)(17)(30),NA
Ingeniería en Información y Control de,NA
22008,NA
Gestión(1)(2)(3)(17),NA
FACULTAD DE CIENCIAS,NA
22024 Pedagogía en Matemática (1)(3),NA
22025 Pedagogía en Física y Matemática (1)(3),NA
Pedagogía en Biología y Ciencias Naturales,NA
22031,NA
(1)(3),NA
22030 Químico Laboratorista (3)(29),NA
22028 Ingeniería Química Ambiental (1)(3)(17)(27),NA
FACULTAD DE CIENCIAS DE LA SALUD,NA
22026 Enfermería (1)(17),NA
Obstetricia y Puericultura con mención en,NA
22029,NA
Gestión y Salud Familiar (17)(22),NA
22052 Kinesiología y Rehabilitación (17)(24),NA
22055 Nutrición y Dietética (17)(23),NA
Tecnologia Medica/ Imagenología y Fisica,NA
22056,NA
Medica (5)(17),NA
"Tecnologia Medica/ Laboratorio Clínico,",NA
22057,NA
Hematología y Banco de Sangre (6)(17),NA
Tecnología Médica/ Oftalmología y,NA
22058,NA
Optometría (7)(17),NA
22050 Medicina (31)(32),NA
FACULTAD DE EDUCACIÓN Y HUMANIDADE,NA
22059 Pedagogía en Historia y Geografía (1)(3)(17),NA
22061 Educación Parvularia  (1)(3)(8),NA
22037 Pedagogía en Educación Básica(1)(3)(9),NA
Licenciatura en Inglés conducente al título,NA
de:  (1)(3)(10)(17),NA
22063,NA
- Traductor Inglés,NA
- Castellano,NA
Licenciatura en Lenguaje y Comunicación,NA
22064,NA
(1)(3)(11)(17),NA
22065 Profesor de Educación Física (1)(3)(12)(17),NA
Licenciatura Historia y Geografía,NA
conducente al titulo de: (1)(3)(13)(17),NA
22066,NA
- Historiador,NA
- Geógrafo,NA
22090 Pedagogía en Inglés (1)(3)(17),NA
Pedagogía en Castellano y Comunicación,NA
22091,NA
(1)(3)(17),NA
Pedagogía en Educación Diferencial  (1),NA
22107,NA
(3)(18),NA
,"Agronomía, conducente a:"
22070,- Ingeniero Agrónomo (1)(3)(17)
,- Ingeniero Ejecución Agrícola (1)(3)(18)
ESCUELA UNIVERSITARIA DE INGENIERÍA EL,
,Ingenieria Civil y Ejecución Eléctrica-
,"Electrónica Ingreso Común, conducente a:"
,- Ingeniería Civil Eléctrica con mención en:
,(3)(15)(16)
,· Accionamientos y Sistemas de Potencia
,- Ingeniería Civil Electrónica con mención
,en:  (3)(15)(16)
,· Control Automático y Robótica
22071,
,· Comunicaciones
,- Ingeniería de Ejecución Eléctrica con
,mención en: (3)(18)
,· Accionamientos y Sistemas de Potencia
,- Ingeniería de Ejecución Electrónica con
,mención en: (3)(18)
,· Control Automático y Robótica
,· Comunicaciones
ESCUELA UNIVERSITARIA DE INGENIERÍA IN,
,Ingeniería Civil en Computación e
,Informática con salida intermedia  a: (3)
22075,(15)(16)
,- Ingeniería de Ejecución en Computación e
,Informática (3)(18)
,Ingeniería Civil Industrial con salida
,intermedia a:  (3)(15)(16)
22077,
,- Ingeniería de Ejecución Industrial (3)
,(18)
ESCUELA UNIVERSITARIA DE INGENIERÍA M,
,Ingenierias Mecánica y Mecatrónica Ingreso
,Común conducente a:
22088,- Ingeniería Civil Mecánica (3)(15)(16)
,- Ingeniería Mecatrónica (3)(15)(17)
,- Ingeniería Mecatrónica (3)(15)(17)
ESCUELA UNIVERSITARIA DE EDUCACIÓN V,
,Diseño Multimedia Conducente al Título de:
,(3)(18)(25)(26)
22067,
,- Diseñador Comunicacional Multimedia
,- Diseñador Educativo Multimedia
,Ingeniería Comercial con mención en
22042,
,Gestión y Comercio Exterior (1)(3)(17)
,Ingeniería Civil Eléctrica mención Control
22049,
,Automático y Robótica (3)(15)(16)
22069,Ingeniería Civil en Informática (3)(15)(16)
,Ingeniería Civil Industrial (3)(15)(16)
22101,
,- Ingeniería de Ejecución Industrial (3)(18)
22041,Pedagogía en Educación Básica  (1)(3)(9)(18)
,Psicología (1)(3)(17)
22094,
,
,Derecho  (1)(3)
22095,
,
22097,Trabajo Social  (1)(3)(29)
22102,Nutrición y Dietética (17)(23)
22103,Kinesiología (17)(24)
22104,Enfermería (1)(17)
,Educación Parvularia Vespertina (1)(3)
22106,
,(8)(30)
