V1,V2
34003,Agronomía (1)
34018,Ingeniería Comercial (2)
34019,Ingeniería Informática Empresarial (3)
34020,Medicina (4)
34021,Obstetricia y Puericultura (5)
34022,Tecnología Médica (6)
34023,Odontología (7)
34024,Kinesiología (8)
34025,Fonoaudiología (9)
34026,Enfermería (10)
34027,Nutrición Y Dietética (11)
34030,Ingeniería Civil en Bioinformática (12)
34041,Psicología (*) (13)
34051,Derecho (14)
,Auditoría e Ingeniería en Control de
34055,
,Gestión (15)
34060,Arquitectura (16)
34062,Diseño (17)
,Ingeniería en Desarrollo de Videojuegos y
34079,
,Realidad Virtual (18)
34086,Bioquimica (19)
,Licenciatura en Interpretación y Formación
34087,
,Musical Especializada (20) (21)
34088,Administración Pública (22)
34006,Ingeniería Civil Industrial (23)
34007,Ingeniería Civil en Computacion (24)
34037,Ingeniería Civil en Obras Civiles (25)
34038,Ingeniería Civil Mecatrónica (26)
34039,Ingeniería Civil Mecánica (27)
34068,Ingeniería Civil de Minas (28)
34078,Ingeniería Civil Eléctrica (29)
34052,Derecho (14)
34057,Administración Pública (22)
34058,Ingeniería Comercial (2)
,Pedagogía en Educación Parvularia con
34042,
,Mención en Alemán (*) (30)
,Pedagogía en Educación General Básica con
34069,
,Mención en Alemán (*) (31)
,Pedagogía en Educación Media en Alemán
34049,
,(32)
,Pedagogía en Educación Parvularia Mención
34028,
,en Inglés (*) (33)
,Pedagogía en Educación General Básica
34029,
,Mención Inglés (*)(34)
,Pedagogía de Educación Media en Inglés
34048,
,(35)
34059,Contador Público y Auditor (36)
,Pedagogía en Educación Media en
34084,
,Matemática y Física (37)
,Pedagogía en Educación Media en Biología
34085,
,y Química (38)
