V1,V2
15100,Ingeniería Civil Plan Común (1)
15101,Ingeniería Civil Matemática
15102,"Licenciatura en Ciencias, mención Física"
15110,Construcción Civil
15111,Ingeniería Civil
15130,Ingeniería Civil Eléctrica
15131,Ingeniería Civil Electrónica
15140,Ingeniería Civil Mecánica
15141,Ingeniería Civil Metalúrgica
15150,Ingeniería Civil Química
15151,Ingeniería Civil Ambiental
15160,Ingeniería Civil Informática
15161,Ingeniería Civil Telemática
15170,Ingeniería Civil Industrial
15171,Ingeniería Comercial
15180,Arquitectura
15181,Ingeniería en Diseño de Productos
15220,Ingeniería en Aviación Comercial*
,Técnico Universitario en Mantenimiento
15222,
,Aeronáutico (2)*
15270,Ingeniería Civil Industrial
15271,Ingeniería Comercial
15300,Ingeniería Civil Plan Común (1)
15301,Ingeniería Civil Matemática
15311,Ingeniería Civil
15312,Ingeniería Civil de Minas
15330,Ingeniería Civil Eléctrica
15340,Ingeniería Civil Mecánica
15350,Ingeniería Civil Química
15360,Ingeniería Civil Informática
15381,Ingeniería en Diseño de Productos
,Ingeniería en Fabricación y Diseño Industrial
15441,
,Ingeniería de Ejecución en Mecánica de
15442,
,Procesos y Mantenimiento Industrial
,Ingeniería en Prevención de Riesgos
15474,
,Laborales y Ambientales
,"Técnico Universitario en Química, mención"
15405,
,Química Analítica
15412,Técnico Universitario en Construcción
,Técnico Universitario en Minería y
15413,
,Metalurgia
15433,Técnico Universitario en Electricidad
15435,Técnico Universitario en Electrónica
,Técnico Universitario en Telecomunicaciones
15436,
,y Redes
,Técnico Universitario en Mecánica
15443,
,Automotriz
15444,Técnico Universitario en Mecánica Industrial
,Técnico Universitario en Proyecto y Diseño
15445,
,Mecánico
,Técnico Universitario en Proyectos de
15446,
,Ingeniería
,Técnico Universitario en Diseño y
15447,
,Producción Industrial en Moldes y Matrices
,Técnico Universitario en Mantenimiento
15448,
,Industrial
,Técnico Universitario en Energías
15449,
,Renovables
,Técnico Universitario en Control del Medio
15452,
,Ambiente
,Técnico Universitario en Gestión de Calidad
15453,
,en Alimentos
15463,Técnico Universitario en Informática
,Técnico Universitario en Prevención de
15475,
,Riesgos
,Ingeniería de Ejecución en Mecánica de
15542,
,Procesos y Mantenimiento Industrial
,Ingeniería en Prevención de Riesgos
15574,
,Laborales y Ambientales
,"Técnico Universitario en Química, mención"
15505,
,Química Industrial
15512,Técnico Universitario en Construcción
15533,Técnico Universitario en Electricidad
15535,Técnico Universitario en Electrónica
,Técnico Universitario en Telecomunicaciones
15536,
,y Redes
,Técnico Universitario en Automatización
15537,
,y Control
,Técnico Universitario en Robótica y
15538,
,Mecatrónica
,Técnico Universitario en Mecánica
15543,
,Automotriz
15544,Técnico Universitario en Mecánica Industrial
15545,Técnico Universitario Dibujante Proyectista
,Técnico Universitario en Control del Medio
15552,
,Ambiente
15563,Técnico Universitario en Informática
,Técnico Universitario en Prevención de
15575,
,Riesgos
