RBD;DV_RBD;NOM_RBD;RBD_A1;RBD_A2;COD_DEPE;COD_DEPE2;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;RURAL_RBD;EFECTIVR;SUPERAR;INICIAR;MEJORAR;INTEGRAR;IGUALDR;CLUSTER;INDICER;SEL2016_25;SEL2016_35;SEL
1;9;LICEO POLITECNICO ARICA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;41,494973;51,521082;87,836364;92,345679;76,083333;92,953156;1532;61,149999;2;2;3
2;7;PARVULARIO LAS ESPIGUITAS; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;56,500516;49,402534;91,754545;92,592593;70,7;96,895561;1512;66,947049;2;2;3
3;5;ESC. PEDRO VICENTE GUTIERREZ TORRES; ; ;2;1;15;151;15101;ARICA;151;ARICA;2;47,259024;49,135619;0;92,592593;0;95,273599;1521;54,055856;2;2;3
4;3;LICEO OCTAVIO PALMA PEREZ; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;67,427625;44,229581;100;92,592593;96,666667;97,728461;1532;71,51795;2;2;3
5;1;JOVINA NARANJO FERNANDEZ; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;70,269825;53,751541;93,25;74,074074;62,5;96,676192;1532;72,520511;2;1;2
7;8;L. POLI. ANTONIO VARAS DE LA BARRA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;42,548592;45,773217;89,663636;92,592593;67,583333;94,234238;1532;59,901849;2;2;3
8;6;COLEGIO INTEGRADO EDUARDO FREI MONTALVA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;47,023082;40,716694;0;81,481481;0;93,130816;1532;50,917624;2;2;3
9;4;ESCUELA REPUBLICA DE ISRAEL; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;61,990397;43,914076;98,1;92,592593;100;97,788783;1511;69,483772;2;1;2
10;8;ESCUELA REPUBLICA DE FRANCIA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;47,11606;40,798356;0;81,481481;0;95,714321;1512;51,543262;2;2;3
11;6;ESC. GRAL. PEDRO LAGOS MARCHANT; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;64,646284;64,134797;93,7;91,642925;93,5;96,149514;1512;75,15962;1;2;1
12;4;ESCUELA GRAL JOSE MIGUEL CARRERA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;67,819938;49,540262;100;92,433294;87,5;97,090678;1512;72,548265;1;2;1
13;2;ESCUELA MANUEL RODRIGUEZ ERDOYZA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;53,640304;54,03628;85,35;81,481481;74,5;97,479494;1512;66,898189;2;2;3
14;0;ESCUELA ROMULO J. PENA MATURANA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;51,445899;50,874594;92,05;100;73,5;95,483255;1512;65,484185;2;2;3
15;9;LICEO ARTISTICO DR. JUAN NOE CREVANI; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;43,875739;42,914765;95,7;74,074074;82,5;92,862855;1532;60,028467;2;2;3
16;7;ESCUELA REGIMIENTO RANCAGUA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;49,703102;51,134376;92,25;100;70;94,585382;1512;64,551557;2;2;3
17;5;ESCUELA SUBTTE. LUIS CRUZ MARTINEZ; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;58,190534;47,436163;97,85;100;73,5;96,813844;1512;67,657669;2;2;3
18;3;ESC. COMTE. JUAN JOSE SAN MARTIN; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;50,655445;46,184752;0;92,592593;0;96,416405;1512;54,737706;2;2;3
19;1;ESC. HUMBERTO VALENZUELA GARCIA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;57,749445;52,703272;96,7;74,074074;82,666667;97,331441;1512;68,953943;2;1;2
20;5;ESCUELA TUCAPEL; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;59,551259;51,509122;83,48;100;60,833333;96,549437;1512;67,747863;2;2;3
22;1;ESCUELA GABRIELA MISTRAL; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;55,132544;53,882701;92,85;99,925178;54,833333;96,624011;1512;67,05465;2;2;3
25;6;ESCUELA CENTENARIO; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;51,119221;32,049861;0;99,463231;0;95,457886;1532;50,878073;2;2;3
26;4;ESCUELA REPUBLICA DE ARGENTINA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;64,003813;64,846863;92,12;92,592593;76,166667;96,222737;1512;74,19492;1;2;1
27;2;ESCUELA ESMERALDA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;48,228418;49,886358;0;92,592593;0;95,821057;1512;54,745179;2;2;3
28;0;ESCUELA RICARDO SILVA ARRIAGADA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;70,036822;44,875256;100;100;96,166667;97,575442;1512;72,753626;1;2;1
29;9;ESCUELA AMERICA; ; ;2;1;15;151;15101;ARICA;151;ARICA;1;53,198215;49,070104;97;92,485239;72,916667;95,669473;1512;65,785791;2;2;3
30;2;ESCUELA DR. RICARDO OLEA GUERRA;10913; ;2;1;15;151;15101;ARICA;151;ARICA;1; ; ;85,5;92,592593;91,25;98,092003;1551;94,641693;2;1;2
31;0;ESCUELA DARIO SALAS DIAZ; ; ;2;1;15;151;15101;ARICA;151;ARICA;2;64,583711;51,178201;94,65;92,592593;81;97,527266;1521;71,26272;1;2;1
