year,region_id,cie_10_id,sex_id,casualities_count,casualities_rate_per_100_inhabitants
2010,15,C00-D48,2,132,1.4696
2010,15,C00-D48,1,122,1.2823
2010,15,E00-E90,2,42,0.46759999999999996
2010,15,E00-E90,1,47,0.494
2010,15,I00-I99,2,118,1.3137999999999999
2010,15,I00-I99,1,112,1.1772
2010,15,J00-J99,2,48,0.5344
2010,15,J00-J99,1,55,0.5781000000000001
2010,15,K00-K93,2,64,0.7126
2010,15,K00-K93,1,40,0.4204
2010,15,V01-Y98,2,77,0.8573000000000001
2010,15,V01-Y98,1,25,0.26280000000000003
2010,15,B20-B24,2,8,0.0891
2010,15,B20-B24,1,1,0.0105
2010,15,V01-V99,2,26,0.2895
2010,15,V01-V99,1,10,0.1051
2010,15,X60-X84,2,19,0.2115
2010,15,X60-X84,1,4,0.042
2011,15,C00-D48,2,158,1.7834999999999999
2011,15,C00-D48,1,114,1.2051
2011,15,E00-E90,2,38,0.4289
2011,15,E00-E90,1,28,0.29600000000000004
2011,15,I00-I99,2,132,1.49
2011,15,I00-I99,1,104,1.0994
2011,15,J00-J99,2,59,0.6659999999999999
2011,15,J00-J99,1,42,0.444
2011,15,K00-K93,2,56,0.6321
2011,15,K00-K93,1,38,0.4017
2011,15,V01-Y98,2,95,1.0723
2011,15,V01-Y98,1,26,0.2748
2011,15,B20-B24,2,9,0.1016
2011,15,B20-B24,1,5,0.0529
2011,15,V01-V99,2,31,0.34990000000000004
2011,15,V01-V99,1,7,0.07400000000000001
2011,15,X60-X84,2,20,0.22579999999999997
2011,15,X60-X84,1,6,0.0634
2012,15,C00-D48,2,140,1.6025
2012,15,C00-D48,1,154,1.6376
2012,15,E00-E90,2,37,0.4235
2012,15,E00-E90,1,52,0.5529999999999999
2012,15,I00-I99,2,147,1.6825999999999999
2012,15,I00-I99,1,136,1.4462000000000002
2012,15,J00-J99,2,40,0.4579
2012,15,J00-J99,1,54,0.5742
2012,15,K00-K93,2,53,0.6067
2012,15,K00-K93,1,27,0.2871
2012,15,V01-Y98,2,91,1.0415999999999999
2012,15,V01-Y98,1,27,0.2871
2012,15,B20-B24,2,5,0.0572
2012,15,B20-B24,1,3,0.0319
2012,15,V01-V99,2,39,0.4464
2012,15,V01-V99,1,16,0.17010000000000003
2012,15,X60-X84,2,14,0.1603
2012,15,X60-X84,1,1,0.0106
2013,15,C00-D48,2,188,1.6186
2013,15,C00-D48,1,143,1.2448000000000001
2013,15,E00-E90,2,33,0.2841
2013,15,E00-E90,1,39,0.3395
2013,15,I00-I99,2,146,1.2570000000000001
2013,15,I00-I99,1,127,1.1055
2013,15,J00-J99,2,64,0.551
2013,15,J00-J99,1,64,0.5571
2013,15,K00-K93,2,56,0.48210000000000003
2013,15,K00-K93,1,42,0.36560000000000004
2013,15,V01-Y98,2,78,0.6715000000000001
2013,15,V01-Y98,1,30,0.2611
2013,15,B20-B24,2,21,0.1808
2013,15,B20-B24,1,1,0.0087
2013,15,V01-V99,2,29,0.24969999999999998
2013,15,V01-V99,1,15,0.1306
2013,15,X60-X84,2,14,0.12050000000000001
2013,15,X60-X84,1,3,0.026099999999999998
2014,15,C00-D48,2,184,1.5545
2014,15,C00-D48,1,173,1.4822
2014,15,E00-E90,2,38,0.321
2014,15,E00-E90,1,32,0.2742
2014,15,I00-I99,2,136,1.149
2014,15,I00-I99,1,110,0.9425
2014,15,J00-J99,2,53,0.44780000000000003
2014,15,J00-J99,1,50,0.42840000000000006
2014,15,K00-K93,2,61,0.5154
2014,15,K00-K93,1,31,0.2656
2014,15,V01-Y98,2,72,0.6083
2014,15,V01-Y98,1,37,0.317
2014,15,B20-B24,2,13,0.10980000000000001
2014,15,B20-B24,1,6,0.051399999999999994
2014,15,V01-V99,2,24,0.2028
2014,15,V01-V99,1,15,0.1285
2014,15,X60-X84,2,14,0.1183
2014,15,X60-X84,1,6,0.051399999999999994
2010,1,C00-D48,2,168,1.0284
2010,1,C00-D48,1,136,0.8996
2010,1,E00-E90,2,37,0.22649999999999998
2010,1,E00-E90,1,35,0.23149999999999998
2010,1,I00-I99,2,166,1.0162
2010,1,I00-I99,1,144,0.9525
2010,1,J00-J99,2,54,0.3306
2010,1,J00-J99,1,37,0.2447
2010,1,K00-K93,2,81,0.4959
2010,1,K00-K93,1,32,0.21170000000000003
2010,1,V01-Y98,2,98,0.5999
2010,1,V01-Y98,1,27,0.17859999999999998
2010,1,B20-B24,2,11,0.0673
2010,1,B20-B24,1,2,0.0132
2010,1,V01-V99,2,25,0.153
2010,1,V01-V99,1,8,0.0529
2010,1,X60-X84,2,23,0.1408
2010,1,X60-X84,1,5,0.0331
2011,1,C00-D48,2,206,1.232
2011,1,C00-D48,1,142,0.919
2011,1,E00-E90,2,29,0.1734
2011,1,E00-E90,1,26,0.16829999999999998
2011,1,I00-I99,2,166,0.9928
2011,1,I00-I99,1,129,0.8348
2011,1,J00-J99,2,56,0.33490000000000003
2011,1,J00-J99,1,48,0.3106
2011,1,K00-K93,2,66,0.3947
2011,1,K00-K93,1,41,0.26530000000000004
2011,1,V01-Y98,2,102,0.61
2011,1,V01-Y98,1,37,0.2394
2011,1,B20-B24,2,11,0.0658
2011,1,B20-B24,1,4,0.0259
2011,1,V01-V99,2,44,0.2632
2011,1,V01-V99,1,18,0.1165
2011,1,X60-X84,2,13,0.07769999999999999
2011,1,X60-X84,1,4,0.0259
2012,1,C00-D48,2,190,1.1108
2012,1,C00-D48,1,144,0.9120999999999999
2012,1,E00-E90,2,32,0.18710000000000002
2012,1,E00-E90,1,33,0.209
2012,1,I00-I99,2,181,1.0582
2012,1,I00-I99,1,144,0.9120999999999999
2012,1,J00-J99,2,42,0.2455
2012,1,J00-J99,1,49,0.3104
2012,1,K00-K93,2,60,0.3508
2012,1,K00-K93,1,43,0.2724
2012,1,V01-Y98,2,94,0.5495
2012,1,V01-Y98,1,31,0.19640000000000002
2012,1,B20-B24,2,18,0.1052
2012,1,B20-B24,1,1,0.0063
2012,1,V01-V99,2,36,0.21050000000000002
2012,1,V01-V99,1,15,0.095
2012,1,X60-X84,2,20,0.11689999999999999
2012,1,X60-X84,1,3,0.019
2013,1,C00-D48,2,203,1.2239
2013,1,C00-D48,1,161,1.0388
2013,1,E00-E90,2,39,0.2351
2013,1,E00-E90,1,34,0.2194
2013,1,I00-I99,2,191,1.1516
2013,1,I00-I99,1,176,1.1356
2013,1,J00-J99,2,57,0.34369999999999995
2013,1,J00-J99,1,59,0.3807
2013,1,K00-K93,2,77,0.4642
2013,1,K00-K93,1,44,0.2839
2013,1,V01-Y98,2,112,0.6753
2013,1,V01-Y98,1,35,0.22579999999999997
2013,1,B20-B24,2,3,0.0181
2013,1,B20-B24,1,1,0.006500000000000001
2013,1,V01-V99,2,29,0.1748
2013,1,V01-V99,1,12,0.0774
2013,1,X60-X84,2,27,0.1628
2013,1,X60-X84,1,6,0.0387
2014,1,C00-D48,2,205,1.206
2014,1,C00-D48,1,164,1.0328
2014,1,E00-E90,2,38,0.2235
2014,1,E00-E90,1,37,0.233
2014,1,I00-I99,2,205,1.206
2014,1,I00-I99,1,180,1.1335
2014,1,J00-J99,2,57,0.3353
2014,1,J00-J99,1,59,0.3715
2014,1,K00-K93,2,72,0.4236
2014,1,K00-K93,1,33,0.2078
2014,1,V01-Y98,2,94,0.5529999999999999
2014,1,V01-Y98,1,28,0.17629999999999998
2014,1,B20-B24,2,16,0.0941
2014,1,B20-B24,1,3,0.0189
2014,1,V01-V99,2,32,0.1883
2014,1,V01-V99,1,8,0.0504
2014,1,X60-X84,2,12,0.0706
2014,1,X60-X84,1,2,0.0126
2010,2,C00-D48,2,473,1.5794
2010,2,C00-D48,1,335,1.2147
