"","reply_ratio_2015","available_2014","available_2013","available_2012","available_2011","available_2010"
"ID_DIRECTORIO",1,1,0,0,0,0
"ID_IDENTIFICACION",1,1,1,1,1,1
"R_P_C",1,1,1,1,1,1
"ANO_TRIMESTRE",1,1,1,1,1,1
"MES_CENTRAL",1,1,1,1,1,1
"ESTRATO",1,1,1,1,1,1
"TIPO",1,1,1,1,1,1
"T_MUESTRA",1,1,1,1,1,0
"MES_ENCUESTA",1,1,1,1,1,1
"HOGAR",1,1,1,1,1,1
"ANO_ENCUESTA",1,1,1,1,1,1
"NRO_LINEA",1,1,1,1,1,1
"EDAD",0.9876,1,1,1,1,1
"PARENTESCO",1,1,1,1,1,1
"SEXO",1,1,1,1,1,1
"CURSO",0.8583,1,1,1,1,1
"NIVEL",1,1,1,1,1,1
"TERMINO_NIVEL",1,1,1,1,1,1
"CINE",1,1,1,1,1,1
"PROVEEDOR",1,1,1,1,1,1
"NACIONALIDAD",1,1,1,1,1,1
"EST_CONYUGAL",1,1,1,1,1,1
"GRUPO_EDAD",1,1,1,1,1,1
"TPERH",0.9998,1,1,1,1,1
"TMENH",0.5608,1,1,1,1,1
"TMAYH",0.9999,1,1,1,1,1
"A1",0.7966,1,1,1,1,1
"A2",0.3888,1,1,1,1,1
"A3",0.4195,1,1,1,1,1
"A4",0.0055,1,1,1,1,1
"A5",0.3771,1,1,1,1,1
"A6",0.0261,1,1,1,1,1
"A6_OTRO",1,1,1,1,1,1
"A7",0.0101,1,1,1,1,1
"A8",0.0094,1,1,1,1,1
"B1",0.4429,1,1,1,1,1
"CISE",1,1,1,1,1,1
"B7_1",0.3198,1,1,1,1,1
"B7_2",0.3216,1,1,1,1,1
"B7_3",0.3231,1,1,1,1,1
"B7_4",0.3232,1,1,1,1,1
"B7_5",0.3175,1,1,1,1,1
"B7_6",0.3121,1,1,1,1,1
"B7_7",0.299,1,1,1,1,1
"PRESTACIONES_TOTALES",0.2662,1,1,0,0,0
"PRESTACIONES_SOCIALES",0.262,1,1,0,0,0
"TRAM_PL",0.2662,1,1,1,1,0
"B8",0.3258,1,1,1,1,1
"B9",0.3258,1,1,1,1,1
"B10",0.1013,1,1,1,1,1
"B11",0.3258,1,1,1,1,1
"B12",0.3084,1,1,1,1,1
"B13",1,1,1,1,1,1
"B14",0.4429,1,1,1,1,1
"B14_REV4CL_CAENES",0.4429,0,0,0,0,0
"B15_1",0.4254,1,1,1,1,1
"B15_2",1,1,1,1,1,1
"B16",0.4254,1,1,1,1,1
"B16_OTRO",1,1,1,1,1,1
"B17_MES",0.4429,1,1,1,1,1
"B17_ANO",0.4429,1,1,1,1,1
"MESES_EMPLEO",0.4165,1,1,1,1,1
"TME",0.4429,1,1,1,1,1
"B18_VARIAS",1,1,1,1,1,1
"B18_CODIGO",1,1,1,1,1,1
"B19",0.4429,1,1,1,1,1
"C1",0.4429,1,1,1,1,1
"C5",0.4429,1,1,1,1,1
"C9",0.1157,1,1,1,1,1
"C10",0.4429,1,1,1,1,1
"C11",0.1451,1,1,1,1,1
"C12",0.1451,1,1,1,1,1
"C13",0.2978,1,1,1,1,1
"HABITUALES",0.4429,1,1,0,0,0
"EFECTIVAS",0.421,1,1,0,0,0
"CONTRATADAS",0.3258,1,1,0,0,0
"HABITUALES_TRAMOS",1,1,1,0,0,0
"EFECTIVAS_TRAMOS",1,1,1,0,0,0
"E1",0.3537,1,1,1,1,1
"E2",0.7966,1,1,1,1,1
"E3_1",0.0336,1,1,1,1,1
"E3_2",0.0166,1,1,1,1,1
"E3_3",0.0197,1,1,1,1,1
"E3_4",0.0188,1,1,1,1,1
"E3_5",0.0029,1,1,1,1,1
"E3_6",0.0008,1,1,1,1,1
"E3_7",0.0005,1,1,1,1,1
"E3_8",0.0013,1,1,1,1,1
"E3_9",0.0013,1,1,1,1,1
"E3_10",0.0001,1,1,1,1,1
"E3_11",0.0004,1,1,1,1,1
"E3_12",0.0004,1,1,1,1,1
"E3_TOTAL",0.0574,1,1,1,1,1
"E4",0.0268,1,1,1,1,1
"E6_MES",0.029,1,1,1,1,1
"E6_ANO",0.029,1,1,1,1,1
"E7",0.0559,1,1,1,1,1
"E8",0.0559,1,1,1,1,1
"E9",0.3247,1,1,1,1,1
"E10",0.003,1,1,1,1,1
"E11",0.3428,1,1,1,1,1
"E12",0.264,1,1,1,1,1
"E13",0.3537,1,1,1,1,1
"E15_MESES",0.218,1,1,1,1,1
"E15_ANOS",0.2223,1,1,1,1,1
"E16",0.2265,1,1,1,1,1
"E17",1,1,1,1,1,1
"E18",0.2265,1,1,1,1,1
"E19",0.2265,1,1,1,1,1
"E19_OTRO",1,1,1,1,1,1
"D1_opcion",0.3258,1,1,1,1,1
"D1_opcionB",0.3039,1,1,1,1,0
"D1_monto",0.3025,1,1,1,1,0
"SS_T",0.3025,1,1,1,1,1
"D2_1_opcion",0.3039,1,1,1,1,1
"D2_1_monto",0.011,1,1,1,1,1
"D2_1_porcentaje",0.0002,1,1,1,1,1
"D2_1_opcionb",0.001,1,1,1,0,0
"D2_1_opcionc",0.0122,1,1,1,0,0
"D2_2_opcion",0.3039,1,1,1,1,1
"D2_2_monto",0.0535,1,1,1,1,1
"D2_2_porcentaje",0.0001,1,1,1,1,1
"D2_2_opcionb",0.0027,1,1,1,0,0
"D2_2_opcionc",0.0564,1,1,1,0,0
"D2_3_opcion",0.3039,1,1,1,1,1
"D2_3_monto",0.0044,1,1,1,1,1
"D2_3_porcentaje",0.0003,1,1,1,1,1
"D2_3_opcionb",0.0006,1,1,1,0,0
"D2_3_opcionc",0.0054,1,1,1,0,0
"D2_4_opcion",0.3039,1,1,1,1,1
"D2_4_monto",0.0123,1,1,1,1,1
"D2_4_porcentaje",0.0001,1,1,1,1,1
"D2_4_opcionb",0.0016,1,1,1,0,0
"D2_4_opcionc",0.0139,1,1,1,0,0
"D2_5_opcion",0.3039,1,1,1,1,1
"D2_5_monto",0.0086,1,1,1,1,1
"D2_5_porcentaje",0.0004,1,1,1,1,1
"D2_5_opcionb",0.0004,1,1,1,0,0
"D2_5_opcionc",0.0094,1,1,1,0,0
"SVAR_T",0.0509,1,1,1,1,1
"D3_1_opcion",0.3039,1,1,1,1,1
"D3_1_monto",0.0067,1,1,1,1,1
"D3_1_porcentaje",0,1,1,1,1,1
"D3_1_opcion2",0.0001,1,1,1,0,0
"D3_2_opcion",0.3039,1,1,1,1,1
"D3_2_monto",0.0563,1,1,1,1,1
"D3_2_porcentaje",0,1,1,1,1,1
"D3_2_opcion2",0.0009,1,1,1,0,0
"D3_3_opcion",0.3039,1,1,1,1,1
"D3_3_monto",0.0008,1,1,1,1,1
"D3_3_porcentaje",0,1,1,1,1,1
"D3_3_opcion2",0,1,1,1,0,0
"D3_4_opcion",0.3039,1,1,1,1,1
"D3_4_monto",0.0042,1,1,1,1,1
"D3_4_porcentaje",0,1,1,1,1,1
"D3_4_opcion2",0.0002,1,1,1,0,0
"D3_5_opcion",0.3039,1,1,1,1,1
"D3_5_monto",0.0017,1,1,1,1,1
"D3_5_porcentaje",0,1,1,1,1,1
"D3_5_opcion2",0,1,1,1,0,0
"D3_6_opcion",0.3039,1,1,1,1,1
"D3_6_monto",0.0372,1,1,1,1,1
"D3_6_porcentaje",0,1,1,1,1,1
"D3_6_opcion2",0.0009,1,1,1,0,0
"D3_7_opcion",0.3039,1,1,1,1,1
"D3_7_monto",0.0032,1,1,1,1,1
"D3_7_porcentaje",0,1,1,1,1,1
"D3_7_opcion2",0.0001,1,1,1,0,0
"D3_8_opcion",0.3039,1,1,1,1,1
"D3_8_monto",0.0035,1,1,1,1,1
"D3_8_porcentaje",0,1,1,1,1,1
"D3_8_opcion2",0.0002,1,1,1,0,0
"D3_9_opcion",0.3039,1,1,1,1,1
"D3_9_monto",0.0028,1,1,1,1,1
"D3_9_porcentaje",0,1,1,1,1,1
"D3_9_opcion2",0.0001,1,1,1,0,0
"D3_10_opcion",0.3039,1,1,1,1,0
"D3_10_monto",0.0009,1,1,1,1,1
"D3_10_porcentaje",0,1,1,1,1,1
"D3_10_opcion2",0,1,1,1,0,0
"D3_11_opcion",0.3039,1,1,1,1,0
"D3_11_otro",1,1,1,1,1,0
"D3_11_monto",0.0034,1,1,1,1,1
"D3_11_porcentaje",0,1,1,1,1,1
"D3_11_opcion2",0,1,1,1,0,0
"REG_T",0.0872,1,1,1,1,1
"ING_T_D",0.3038,1,1,1,1,1
"DIAS",0.3039,1,1,1,1,1
"HORAS",0.3039,1,1,1,1,1
"D5_opcion",0.1102,1,1,1,1,1
"D5_opcionB",0.106,1,1,1,1,0
"D5_monto",0.0779,1,1,1,1,0
"D5_promedio",0.0261,1,1,1,1,0
"GAN_T",0.1041,1,1,1,1,1
"SALUD_OPCION",0.106,1,1,1,1,1
"AFP_INP_OPCION",0.106,1,1,1,1,1
"D7_opcion",0.106,1,1,1,1,0
"D7_monto",0.0243,1,1,1,1,0
"D7_promedio",0.0022,1,1,1,1,0
"AUTOCONSUMO_T",0.0265,1,1,1,1,1
"D8_opcion",0.106,1,1,1,1,0
"D8_monto",0.0257,1,1,1,1,0
"AHORROIMP_T",0.0257,1,1,1,1,1
"ING_T_I",0.1046,1,1,1,1,1
"ING_T_I_AI",0.1041,1,1,1,1,1
"ING_T_P",0.4084,1,1,1,1,1
"D9_opcion",0.4429,1,1,1,1,0
"D9_monto",0.0303,1,1,1,1,0
"D9_promedio",0.003,1,1,1,1,0
"D9_opcionb",0.3537,1,1,1,0,0
"D9_montob",0.0185,1,1,1,0,0
"D9_promediob",0.0009,1,1,1,0,0
"ING_OT",0.0528,1,1,1,1,1
"ING_T_T",0.4388,1,1,1,1,1
"ING_T_T_AI",0.4384,1,1,1,1,1
"D10_opcion",0.7966,1,1,1,1,0
"D10_monto",0.0175,1,1,1,1,0
"D10_promedio",0.0007,1,1,1,1,0
"ING_A_P",0.0182,1,1,1,1,1
"D11_opcion",0.7966,1,1,1,1,0
"D11_monto",0.001,1,1,1,1,0
"D11_promedio",0.0001,1,1,1,1,0
"ING_A_OB",0.0011,1,1,1,1,1
"ING_A_T",0.0192,1,1,1,1,1
"TIPO_VIVIENDA",0.3215,1,1,1,1,1
"VIVIENDA_OTRO",1,1,1,1,1,1
"D12_monto",0.0896,1,1,0,0,0
"D12_estimacion",0.2659,1,1,1,1,0
"DIV_IMP",0.0323,1,1,1,1,0
"ALQ_IMP",0.2258,1,1,1,1,1
"D13_1_opcion",0.7966,1,1,1,1,0
"D13_1_tramo",0.0147,1,1,1,1,0
"ING_CAH",0.0137,1,1,1,1,1
"D13_2_opcion",0.7966,1,1,1,1,0
"D13_2_tramo",0.0079,1,1,1,1,0
"ING_INT",0.0073,1,1,1,1,1
"D13_3_opcion",0.7966,1,1,1,1,0
"D13_3_tramo",0.0017,1,1,1,1,0
"ING_DIV",0.0016,1,1,1,1,1
"ING_P_T",0.038,1,1,1,1,1
"D14_1_opcion",0.7966,1,1,1,1,1
"JUBVEJEZ",0.0763,1,1,1,1,1
"D14_2_opcion",0.7966,1,1,1,1,1
"JUBINVALIDEZ",0.0067,1,1,1,1,1
"D14_3_opcion",0.7966,1,1,1,1,1
"MONTEPIO",0.0239,1,1,1,1,1
"ING_JUB",0.1043,1,1,1,1,1
"D14_4_opcion",0.7966,1,1,1,1,0
"PORFAND",0.0019,1,1,1,1,1
"D14_5_opcion",0.7966,1,1,1,1,0
"PDISCAP",0.0103,1,1,1,1,1
"D14_6_opcion",0.7966,1,1,1,1,0
"PESTADO",0.0417,1,1,1,1,1
"D14_7_opcion",0.7966,1,1,1,1,0
"PALIMENT",0.0228,1,1,1,1,1
"D14_8_opcion",0.7966,1,1,1,1,0
"POTRAS",0.007,1,1,1,1,1
"ING_PEN",0.0817,1,1,1,1,1
"D14_10_opcion",0.7966,1,1,1,1,0
"SUF",0.0407,1,1,1,1,1
"D14_12_opcion",0.7966,1,1,1,1,0
"SUBOTROS",0.0606,1,1,1,1,1
"ING_SUBE",0.0924,1,1,1,1,1
"D14_9_opcion",0.7966,1,1,1,1,0
"ING_SUBC",0.0029,1,1,1,1,1
"D14_11_opcion",0.7966,1,1,1,1,0
"BECAEST",0.1705,1,1,1,1,1
"D14_13_opcion",0.7966,1,1,1,1,0
"DONACIONES",0.026,1,1,1,1,1
"D14_14_opcion",0.7966,1,1,1,1,0
"REMESAS",0.0005,1,1,1,1,1
"ING_BDR",0.1888,1,1,1,1,1
"ING_DR",0.0264,1,1,0,0,0
"D14_15_opcion",0.7966,1,1,1,1,0
"SALEXT",0.0001,1,1,1,1,1
"D14_16_opcion",0.7966,1,1,1,1,0
"D14_16_otro",1,1,1,1,1,0
"D14_16_monto",0.0004,1,1,1,0,0
"D14_17_opcion",0.0004,1,1,1,1,0
"D14_17_otro",1,1,1,1,1,0
"D14_17_monto",0,1,1,1,0,0
"OTRAFUENT",0.0004,1,1,1,1,1
"ING_OTROS",0.0005,1,1,1,1,1
"ING_AUT_CB",0.6489,1,1,0,0,0
"ING_AUT_SB",0.5837,1,1,0,0,0
"ING_MON_CB",0.6538,1,1,0,0,0
"ING_MON_SB",0.5934,1,1,0,0,0
"CSE_ESPECIFICO",1,1,1,1,1,1
"FACT",1,1,1,1,1,1
"F_PERS",1,1,1,1,1,0
"FACT_PER",1,1,1,1,1,1
"FACT_HOG",1,1,1,1,1,0
"OCUP_REF",0.4429,1,1,1,1,1
"TIM",1,1,1,1,1,1
"DECILH_CB",1,1,1,0,0,0
"DECILH_SB",1,1,1,0,0,0
