"","geography_division","geography_name","ID_DIRECTORIO","ID_IDENTIFICACION","ANO_TRIMESTRE","MES_CENTRAL","ESTRATO","TIPO","T_MUESTRA","MES_ENCUESTA","HOGAR","ANO_ENCUESTA","NRO_LINEA","EDAD","PARENTESCO","SEXO","CURSO","NIVEL","TERMINO_NIVEL","CINE","PROVEEDOR","NACIONALIDAD","EST_CONYUGAL","GRUPO_EDAD","TPERH","TMENH","TMAYH","A1","A2","A3","A4","A5","A6","A6_OTRO","A7","A8","B1","CISE","B7_1","B7_2","B7_3","B7_4","B7_5","B7_6","B7_7","PRESTACIONES_TOTALES","PRESTACIONES_SOCIALES","TRAM_PL","B8","B9","B10","B11","B12","B13","B14","B14_REV4CL_CAENES","B15_1","B15_2","B16","B16_OTRO","B17_MES","B17_ANO","MESES_EMPLEO","TME","B18_VARIAS","B18_CODIGO","B19","C1","C5","C9","C10","C11","C12","C13","HABITUALES","EFECTIVAS","CONTRATADAS","HABITUALES_TRAMOS","EFECTIVAS_TRAMOS","E1","E2","E3_1","E3_2","E3_3","E3_4","E3_5","E3_6","E3_7","E3_8","E3_9","E3_10","E3_11","E3_12","E3_TOTAL","E4","E6_MES","E6_ANO","E7","E8","E9","E10","E11","E12","E13","E15_MESES","E15_ANOS","E16","E17","E18","E19","E19_OTRO","D1_opcion","D1_opcionB","D1_monto","SS_T","D2_1_opcion","D2_1_monto","D2_1_porcentaje","D2_1_opcionb","D2_1_opcionc","D2_2_opcion","D2_2_monto","D2_2_porcentaje","D2_2_opcionb","D2_2_opcionc","D2_3_opcion","D2_3_monto","D2_3_porcentaje","D2_3_opcionb","D2_3_opcionc","D2_4_opcion","D2_4_monto","D2_4_porcentaje","D2_4_opcionb","D2_4_opcionc","D2_5_opcion","D2_5_monto","D2_5_porcentaje","D2_5_opcionb","D2_5_opcionc","SVAR_T","D3_1_opcion","D3_1_monto","D3_1_porcentaje","D3_1_opcion2","D3_2_opcion","D3_2_monto","D3_2_porcentaje","D3_2_opcion2","D3_3_opcion","D3_3_monto","D3_3_porcentaje","D3_3_opcion2","D3_4_opcion","D3_4_monto","D3_4_porcentaje","D3_4_opcion2","D3_5_opcion","D3_5_monto","D3_5_porcentaje","D3_5_opcion2","D3_6_opcion","D3_6_monto","D3_6_porcentaje","D3_6_opcion2","D3_7_opcion","D3_7_monto","D3_7_porcentaje","D3_7_opcion2","D3_8_opcion","D3_8_monto","D3_8_porcentaje","D3_8_opcion2","D3_9_opcion","D3_9_monto","D3_9_porcentaje","D3_9_opcion2","D3_10_opcion","D3_10_monto","D3_10_porcentaje","D3_10_opcion2","D3_11_opcion","D3_11_otro","D3_11_monto","D3_11_porcentaje","D3_11_opcion2","REG_T","ING_T_D","DIAS","HORAS","D5_opcion","D5_opcionB","D5_monto","D5_promedio","GAN_T","SALUD_OPCION","AFP_INP_OPCION","D7_opcion","D7_monto","D7_promedio","AUTOCONSUMO_T","D8_opcion","D8_monto","AHORROIMP_T","ING_T_I","ING_T_I_AI","ING_T_P","D9_opcion","D9_monto","D9_promedio","D9_opcionb","D9_montob","D9_promediob","ING_OT","ING_T_T","ING_T_T_AI","D10_opcion","D10_monto","D10_promedio","ING_A_P","D11_opcion","D11_monto","D11_promedio","ING_A_OB","ING_A_T","TIPO_VIVIENDA","VIVIENDA_OTRO","D12_monto","D12_estimacion","DIV_IMP","ALQ_IMP","D13_1_opcion","D13_1_tramo","ING_CAH","D13_2_opcion","D13_2_tramo","ING_INT","D13_3_opcion","D13_3_tramo","ING_DIV","ING_P_T","D14_1_opcion","JUBVEJEZ","D14_2_opcion","JUBINVALIDEZ","D14_3_opcion","MONTEPIO","ING_JUB","D14_4_opcion","PORFAND","D14_5_opcion","PDISCAP","D14_6_opcion","PESTADO","D14_7_opcion","PALIMENT","D14_8_opcion","POTRAS","ING_PEN","D14_10_opcion","SUF","D14_12_opcion","SUBOTROS","ING_SUBE","D14_9_opcion","ING_SUBC","D14_11_opcion","BECAEST","D14_13_opcion","DONACIONES","D14_14_opcion","REMESAS","ING_BDR","ING_DR","D14_15_opcion","SALEXT","D14_16_opcion","D14_16_otro","D14_16_monto","D14_17_opcion","D14_17_otro","D14_17_monto","OTRAFUENT","ING_OTROS","ING_AUT_CB","ING_AUT_SB","ING_MON_CB","ING_MON_SB","CSE_ESPECIFICO","FACT","F_PERS","FACT_PER","FACT_HOG","OCUP_REF","TIM","DECILH_CB","DECILH_SB"
"1","comuna","Algarrobo",21,21,21,21,21,21,21,21,21,21,21,20,21,21,20,21,21,21,21,21,21,21,21,11,21,18,7,11,3,7,1,21,0,0,10,21,6,6,6,6,6,6,6,6,5,6,6,6,1,6,6,21,10,10,10,21,10,21,10,10,10,10,21,21,10,10,10,1,10,4,4,6,10,9,6,21,21,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,8,8,8,6,6,6,21,6,6,21,6,6,6,6,6,0,0,0,0,6,4,0,0,4,6,1,0,0,1,6,0,0,0,0,6,0,0,0,0,4,6,0,0,0,6,2,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,2,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,21,0,0,0,2,6,6,6,3,3,3,0,3,3,3,3,2,0,2,3,0,0,3,3,9,10,1,1,8,0,0,2,9,9,18,1,0,1,18,0,0,0,1,9,21,2,9,2,7,18,0,0,18,1,1,18,0,0,2,18,3,18,1,18,2,6,18,0,18,0,18,0,18,0,18,0,0,18,0,18,0,0,18,0,18,3,18,1,18,0,4,1,18,0,18,21,0,0,21,0,0,0,17,16,17,16,21,21,21,21,21,10,21,21,21
"2","comuna","Alhué",36,36,36,36,36,36,36,36,36,36,36,35,36,36,33,36,36,36,36,36,36,36,36,21,36,31,25,6,0,25,3,36,1,1,8,36,7,8,8,8,8,7,6,8,7,8,8,8,2,8,8,36,8,8,8,36,8,36,8,8,8,8,36,36,8,8,8,4,8,5,5,3,8,6,8,36,36,23,31,0,1,2,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,21,0,21,16,23,15,15,15,36,15,15,36,8,8,8,8,8,0,0,0,0,8,6,0,1,7,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,5,8,0,0,0,8,7,0,0,8,0,0,0,8,1,0,0,8,0,0,0,8,4,0,0,8,0,0,0,8,0,0,0,8,1,0,0,8,0,0,0,8,36,0,0,0,7,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,23,2,0,2,10,10,31,0,0,0,31,0,0,0,0,14,36,1,13,0,13,31,1,1,31,0,0,31,0,0,1,31,1,31,1,31,2,4,31,0,31,0,31,5,31,0,31,3,8,31,1,31,3,4,31,0,31,5,31,0,31,0,5,0,31,0,31,36,0,0,36,0,0,0,22,20,23,21,36,36,36,36,36,8,36,36,36
"3","comuna","Alto del Carmen",146,146,146,146,146,146,146,146,146,146,146,144,146,146,125,146,146,146,146,146,146,146,146,91,146,114,51,64,1,50,1,146,0,0,65,146,43,43,43,43,43,42,42,37,37,37,43,43,28,43,43,146,65,65,65,146,65,146,65,65,56,65,146,146,65,65,65,17,65,5,5,60,65,64,43,146,146,49,114,4,3,2,0,0,0,0,0,0,0,0,0,6,6,0,0,6,6,49,0,48,35,49,38,38,38,146,38,38,146,43,34,34,34,34,0,0,0,0,34,3,0,0,3,34,0,0,0,0,34,2,0,0,2,34,0,0,0,0,5,34,1,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,0,0,0,34,146,0,0,0,1,34,34,34,21,21,8,9,17,21,21,21,10,0,10,21,8,8,19,18,53,65,6,3,49,4,1,14,65,64,114,2,0,2,114,0,0,0,2,53,146,1,52,0,51,114,0,0,114,0,0,114,0,0,2,114,10,114,0,114,1,11,114,0,114,2,114,15,114,2,114,0,19,114,13,114,8,19,114,0,114,23,114,3,114,0,26,3,114,0,114,146,0,0,146,0,0,0,93,85,93,87,146,146,146,146,146,65,146,146,146
"4","comuna","Alto Hospicio",813,813,813,813,813,813,813,813,813,813,813,798,813,813,680,813,813,813,813,813,813,813,813,597,813,589,274,318,1,271,28,813,6,6,346,813,219,218,219,219,218,217,214,181,178,181,219,219,65,219,213,813,346,346,340,813,340,813,346,346,325,346,813,813,346,346,346,127,346,164,164,182,346,314,219,813,813,243,589,49,22,12,23,3,1,0,0,0,0,2,0,66,33,33,33,66,66,210,4,217,136,243,107,111,112,813,112,112,813,219,204,204,204,204,7,0,0,7,204,41,0,0,41,204,1,0,0,1,204,15,0,0,15,204,1,0,0,1,31,204,0,0,0,204,5,0,0,204,1,0,0,204,0,0,0,204,0,0,0,204,4,0,0,204,0,0,0,204,0,0,0,204,0,0,0,204,0,0,0,204,813,0,0,0,9,204,204,204,125,119,112,7,119,119,119,119,19,0,19,119,13,13,119,119,323,346,19,1,243,17,0,37,347,347,589,17,0,17,589,1,0,1,18,217,813,74,152,9,143,589,4,4,589,0,0,589,0,0,21,589,14,589,4,589,9,27,589,1,589,5,589,17,589,19,589,0,42,589,39,589,21,58,589,4,589,143,589,7,589,4,151,11,589,0,589,813,0,0,813,0,0,0,451,395,456,408,813,813,813,813,813,346,813,813,813
"5","comuna","Ancud",279,279,279,279,279,279,279,279,279,279,279,279,279,279,256,279,279,279,279,279,279,279,279,144,279,229,106,123,2,106,5,279,3,3,127,279,55,55,55,55,55,51,53,44,43,44,55,55,14,55,52,279,127,127,124,279,124,279,127,127,120,127,279,279,127,127,127,9,127,37,37,90,127,123,55,279,279,102,229,3,3,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,3,99,1,98,87,102,66,66,66,279,66,66,279,55,51,51,51,51,2,0,1,3,51,12,0,1,13,51,1,0,0,1,51,5,0,0,5,51,3,0,0,3,6,51,4,0,0,51,3,0,0,51,0,0,0,51,1,0,1,51,0,0,0,51,5,0,0,51,0,0,0,51,0,0,0,51,1,0,0,51,0,0,0,51,279,0,0,0,11,51,51,51,69,66,54,11,65,66,66,66,20,1,21,66,27,27,66,64,117,127,10,0,102,5,0,15,125,124,229,3,0,3,229,0,0,0,3,100,279,1,98,0,94,229,1,1,229,1,1,229,0,0,5,229,24,229,0,229,9,33,229,1,229,4,229,29,229,2,229,3,39,229,24,229,1,24,229,0,229,44,229,2,229,0,46,2,229,0,229,279,0,0,279,0,0,0,188,176,191,180,279,279,279,279,279,127,279,279,279
"6","comuna","Andacollo",62,62,62,62,62,62,62,62,62,62,62,62,62,62,55,62,62,62,62,62,62,62,62,28,62,54,27,27,2,27,0,62,0,0,27,62,13,13,13,13,13,13,13,12,12,12,13,13,5,13,11,62,27,27,25,62,25,62,27,27,27,27,62,62,27,27,27,2,27,5,5,22,27,27,13,62,62,27,54,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,25,0,27,25,27,20,20,20,62,20,20,62,13,13,12,12,13,0,0,0,0,13,4,0,0,4,13,0,0,0,0,13,0,0,0,0,13,0,0,0,0,4,13,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,13,0,0,0,13,62,0,0,0,0,12,13,13,12,12,5,5,10,12,12,12,2,0,2,12,2,2,11,12,23,27,2,0,27,0,0,2,23,24,54,1,0,1,54,0,0,0,1,24,62,3,21,0,21,54,0,0,54,0,0,54,0,0,1,54,4,54,2,54,4,10,54,0,54,0,54,6,54,1,54,3,10,54,0,54,11,11,54,0,54,9,54,2,54,0,11,2,54,0,54,62,0,0,62,0,0,0,45,41,45,41,62,62,62,62,62,27,62,62,62
"7","comuna","Angol",1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1305,1316,1316,1114,1316,1316,1316,1316,1316,1316,1316,1316,710,1316,1066,551,546,7,520,46,1316,17,17,587,1316,428,428,428,428,422,428,424,354,339,354,428,428,163,428,399,1316,587,587,558,1316,558,1316,587,587,545,587,1316,1316,587,587,587,143,587,277,277,310,587,553,428,1316,1316,479,1066,56,37,47,31,8,2,1,3,3,0,4,0,99,56,43,43,99,99,436,5,460,322,479,309,319,326,1316,326,326,1316,428,397,394,394,397,20,1,2,23,397,94,0,2,96,397,9,0,0,9,397,27,1,3,31,397,7,0,0,7,89,397,12,0,0,397,57,0,1,397,1,0,0,397,7,0,0,397,0,0,0,397,45,1,1,397,2,0,0,397,3,0,0,397,5,0,0,397,1,0,0,397,1316,4,0,0,100,397,397,397,147,136,63,72,135,136,136,136,30,12,42,136,29,29,135,135,532,587,43,12,479,32,3,90,585,585,1066,24,0,24,1066,0,1,1,24,444,1316,96,366,15,341,1066,10,8,1066,3,3,1066,9,9,43,1066,119,1066,6,1066,45,166,1066,2,1066,26,1066,72,1066,41,1066,12,151,1066,73,1066,153,209,1066,2,1066,239,1066,45,1066,0,264,45,1066,0,1066,1316,0,0,1316,0,0,0,901,816,909,826,1316,1316,1316,1316,1316,587,1316,1316,1316
"8","comuna","Antofagasta",1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1637,1660,1660,1388,1660,1660,1660,1660,1660,1660,1660,1660,1013,1660,1298,585,717,4,581,45,1660,10,10,759,1660,597,599,600,600,594,575,499,535,533,535,600,600,92,600,587,1660,759,759,746,1660,746,1660,759,759,734,759,1660,1660,759,759,759,202,759,268,268,491,759,718,600,1660,1660,539,1298,100,5,31,41,2,5,0,0,2,0,0,6,117,70,39,39,109,109,500,3,525,444,539,228,242,248,1660,248,248,1660,600,579,574,574,579,8,0,1,9,579,111,0,3,114,579,10,0,2,12,579,5,0,0,5,579,7,0,0,7,99,579,11,1,0,579,8,0,1,579,2,0,0,579,16,0,0,579,18,0,0,579,29,0,0,579,7,0,0,579,0,0,0,579,3,0,0,579,3,0,0,579,1660,6,1,1,86,579,579,579,153,149,137,12,149,149,149,149,42,0,42,149,53,53,149,147,728,759,43,1,539,18,0,62,757,755,1298,40,0,40,1298,8,0,8,46,470,1660,233,346,108,237,1298,33,33,1298,17,17,1298,2,2,90,1298,81,1298,4,1298,35,115,1298,3,1298,5,1298,23,1298,26,1298,6,63,1298,10,1298,72,82,1298,3,1298,273,1298,30,1298,0,298,30,1298,0,1298,1660,0,0,1660,0,0,0,1012,893,1017,907,1660,1660,1660,1660,1660,759,1660,1660,1660
"9","comuna","Antuco",68,68,68,68,68,68,68,68,68,68,68,67,68,68,63,68,68,68,68,68,68,68,68,38,68,55,42,13,0,42,1,68,1,1,14,68,9,9,9,9,9,9,9,6,6,6,9,9,6,9,9,68,14,14,14,68,14,68,14,14,13,14,68,68,14,14,14,7,14,2,2,12,14,13,9,68,68,41,55,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,40,1,40,38,41,23,20,24,68,24,24,68,9,8,8,8,8,0,0,0,0,8,1,0,0,1,8,0,0,0,0,8,0,0,0,0,8,0,0,0,0,1,8,1,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,0,0,0,8,68,0,0,0,1,8,8,8,5,5,2,1,3,5,5,5,0,0,0,5,1,1,3,3,11,14,0,0,41,1,0,1,12,12,55,0,0,0,55,0,0,0,0,28,68,0,28,0,27,55,1,1,55,0,0,55,0,0,1,55,5,55,4,55,1,10,55,0,55,1,55,8,55,1,55,3,13,55,10,55,4,12,55,0,55,14,55,1,55,0,15,1,55,0,55,68,0,0,68,0,0,0,40,34,42,39,68,68,68,68,68,14,68,68,68
"10","comuna","Arauco",63,63,63,63,63,63,63,63,63,63,63,63,63,63,57,63,63,63,63,63,63,63,63,39,63,50,24,27,0,23,1,63,0,0,28,63,19,20,20,20,20,20,20,16,16,16,20,20,5,20,16,63,28,28,24,63,24,63,28,28,28,28,63,63,28,28,28,2,28,8,8,20,28,27,20,63,63,22,50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,21,0,20,12,22,14,14,14,63,14,14,63,20,20,20,20,20,1,0,0,1,20,0,0,0,0,20,0,0,0,0,20,1,0,0,1,20,2,0,0,2,0,20,0,0,0,20,7,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,7,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,0,0,0,20,63,0,0,0,10,20,20,20,8,8,8,0,8,8,8,8,1,0,1,8,1,1,8,8,28,28,0,0,22,2,0,2,30,30,50,1,0,1,50,0,0,0,1,24,63,1,23,0,23,50,0,0,50,1,1,50,0,0,2,50,6,50,0,50,4,10,50,0,50,0,50,1,50,0,50,0,1,50,6,50,1,7,50,0,50,15,50,0,50,0,15,0,50,0,50,63,0,0,63,0,0,0,37,35,37,35,63,63,63,63,63,28,63,63,63
