"","sex","company_size","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Menos de 5","Antofagasta","p21",2010,260134
"2","Hombre","Menos de 5","Antofagasta","p21",2011,250111
"3","Hombre","Menos de 5","Antofagasta","p21",2012,290412
"4","Hombre","Menos de 5","Antofagasta","p21",2013,321086
"5","Hombre","Menos de 5","Antofagasta","p21",2014,299944
"6","Hombre","Menos de 5","Antofagasta","p21",2015,300581
"7","Hombre","Menos de 5","Arauco","p82",2010,80112
"8","Hombre","Menos de 5","Arauco","p82",2011,79836
"9","Hombre","Menos de 5","Arauco","p82",2012,92908
"10","Hombre","Menos de 5","Arauco","p82",2013,100021
"11","Hombre","Menos de 5","Arauco","p82",2014,94498
"12","Hombre","Menos de 5","Arauco","p82",2015,127211
"13","Hombre","Menos de 5","Arica","p151",2010,158590
"14","Hombre","Menos de 5","Arica","p151",2011,152061
"15","Hombre","Menos de 5","Arica","p151",2012,180977
"16","Hombre","Menos de 5","Arica","p151",2013,221203
"17","Hombre","Menos de 5","Arica","p151",2014,239955
"18","Hombre","Menos de 5","Arica","p151",2015,280562
"19","Hombre","Menos de 5","Aysén","p112",2010,199863
"20","Hombre","Menos de 5","Aysén","p112",2011,200293
"21","Hombre","Menos de 5","Aysén","p112",2012,251148
"22","Hombre","Menos de 5","Aysén","p112",2013,245483
"23","Hombre","Menos de 5","Aysén","p112",2014,275231
"24","Hombre","Menos de 5","Aysén","p112",2015,206089
"25","Hombre","Menos de 5","Bíobío","p83",2010,142870
"26","Hombre","Menos de 5","Bíobío","p83",2011,99905
"27","Hombre","Menos de 5","Bíobío","p83",2012,140787
"28","Hombre","Menos de 5","Bíobío","p83",2013,141678
"29","Hombre","Menos de 5","Bíobío","p83",2014,179984
"30","Hombre","Menos de 5","Bíobío","p83",2015,200000
"31","Hombre","Menos de 5","Cachapoal","p61",2010,180000
"32","Hombre","Menos de 5","Cachapoal","p61",2011,183685
"33","Hombre","Menos de 5","Cachapoal","p61",2012,200524
"34","Hombre","Menos de 5","Cachapoal","p61",2013,227595
"35","Hombre","Menos de 5","Cachapoal","p61",2014,248106
"36","Hombre","Menos de 5","Cachapoal","p61",2015,274614
"37","Hombre","Menos de 5","Capitán Prat","p113",2010,100792
"38","Hombre","Menos de 5","Capitán Prat","p113",2011,90435
"39","Hombre","Menos de 5","Capitán Prat","p113",2012,150000
"40","Hombre","Menos de 5","Capitán Prat","p113",2013,250000
"41","Hombre","Menos de 5","Capitán Prat","p113",2014,100000
"42","Hombre","Menos de 5","Cardenal Caro","p62",2010,110528
"43","Hombre","Menos de 5","Cardenal Caro","p62",2011,153222
"44","Hombre","Menos de 5","Cardenal Caro","p62",2012,188160
"45","Hombre","Menos de 5","Cardenal Caro","p62",2013,199245
"46","Hombre","Menos de 5","Cardenal Caro","p62",2014,200718
"47","Hombre","Menos de 5","Cardenal Caro","p62",2015,241982
"48","Hombre","Menos de 5","Cauquenes","p72",2010,101500
"49","Hombre","Menos de 5","Cauquenes","p72",2011,122326
"50","Hombre","Menos de 5","Cauquenes","p72",2012,120675
"51","Hombre","Menos de 5","Cauquenes","p72",2013,173199
"52","Hombre","Menos de 5","Cauquenes","p72",2014,168677
"53","Hombre","Menos de 5","Cauquenes","p72",2015,150493
"54","Hombre","Menos de 5","Cautín","p91",2010,80256
"55","Hombre","Menos de 5","Cautín","p91",2011,130353
"56","Hombre","Menos de 5","Cautín","p91",2012,105774
"57","Hombre","Menos de 5","Cautín","p91",2013,125161
"58","Hombre","Menos de 5","Cautín","p91",2014,158116
"59","Hombre","Menos de 5","Cautín","p91",2015,180000
"60","Hombre","Menos de 5","Chacabuco","p133",2010,177254
"61","Hombre","Menos de 5","Chacabuco","p133",2011,200812
"62","Hombre","Menos de 5","Chacabuco","p133",2012,185688
"63","Hombre","Menos de 5","Chacabuco","p133",2013,200271
"64","Hombre","Menos de 5","Chacabuco","p133",2014,250000
"65","Hombre","Menos de 5","Chacabuco","p133",2015,200789
"66","Hombre","Menos de 5","Chañaral","p32",2010,103876
"67","Hombre","Menos de 5","Chañaral","p32",2011,156325
"68","Hombre","Menos de 5","Chañaral","p32",2012,118596
"69","Hombre","Menos de 5","Chañaral","p32",2013,285786
"70","Hombre","Menos de 5","Chañaral","p32",2014,162677
"71","Hombre","Menos de 5","Chañaral","p32",2015,187870
"72","Hombre","Menos de 5","Chiloé","p102",2010,82456
"73","Hombre","Menos de 5","Chiloé","p102",2011,147940
"74","Hombre","Menos de 5","Chiloé","p102",2012,150000
"75","Hombre","Menos de 5","Chiloé","p102",2013,150000
"76","Hombre","Menos de 5","Chiloé","p102",2014,180000
"77","Hombre","Menos de 5","Chiloé","p102",2015,200673
"78","Hombre","Menos de 5","Choapa","p42",2010,129913
"79","Hombre","Menos de 5","Choapa","p42",2011,145135
"80","Hombre","Menos de 5","Choapa","p42",2012,150677
"81","Hombre","Menos de 5","Choapa","p42",2013,199245
"82","Hombre","Menos de 5","Choapa","p42",2014,198839
"83","Hombre","Menos de 5","Choapa","p42",2015,200000
