"","sex","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Algarrobo","1",2010,152210
"2","Hombre","Algarrobo","1",2011,211015
"3","Hombre","Algarrobo","1",2012,291630
"4","Hombre","Algarrobo","1",2013,250339
"5","Hombre","Algarrobo","1",2014,293023
"6","Hombre","Algarrobo","1",2015,251019
"7","Hombre","Alto del Carmen","4",2010,170147
"8","Hombre","Alto del Carmen","4",2011,180000
"9","Hombre","Alto del Carmen","4",2012,190000
"10","Hombre","Alto del Carmen","4",2013,198758
"11","Hombre","Alto del Carmen","4",2014,167989
"12","Hombre","Alto del Carmen","4",2015,231891
"13","Hombre","Alto Hospicio","5",2010,202771
"14","Hombre","Alto Hospicio","5",2011,249201
"15","Hombre","Alto Hospicio","5",2012,281263
"16","Hombre","Alto Hospicio","5",2013,287201
"17","Hombre","Alto Hospicio","5",2014,350000
"18","Hombre","Alto Hospicio","5",2015,320087
"19","Hombre","Ancud","6",2010,140017
"20","Hombre","Ancud","6",2011,106231
"21","Hombre","Ancud","6",2012,119107
"22","Hombre","Ancud","6",2013,144274
"23","Hombre","Ancud","6",2014,202085
"24","Hombre","Ancud","6",2015,225917
"25","Hombre","Andacollo","7",2010,199863
"26","Hombre","Andacollo","7",2011,233750
"27","Hombre","Andacollo","7",2012,255266
"28","Hombre","Andacollo","7",2013,215777
"29","Hombre","Andacollo","7",2014,301297
"30","Hombre","Andacollo","7",2015,233268
"31","Hombre","Angol","8",2010,173535
"32","Hombre","Angol","8",2011,200000
"33","Hombre","Angol","8",2012,250753
"34","Hombre","Angol","8",2013,230000
"35","Hombre","Angol","8",2014,268844
"36","Hombre","Angol","8",2015,250000
"37","Hombre","Antofagasta","9",2010,372168
"38","Hombre","Antofagasta","9",2011,398721
"39","Hombre","Antofagasta","9",2012,452030
"40","Hombre","Antofagasta","9",2013,450290
"41","Hombre","Antofagasta","9",2014,450000
"42","Hombre","Antofagasta","9",2015,552989
"43","Hombre","Antuco","10",2010,49133
"44","Hombre","Antuco","10",2011,99680
"45","Hombre","Antuco","10",2012,84857
"46","Hombre","Antuco","10",2013,164942
"47","Hombre","Antuco","10",2014,114316
"48","Hombre","Antuco","10",2015,128170
"49","Hombre","Arauco","11",2010,217771
"50","Hombre","Arauco","11",2011,210823
"51","Hombre","Arauco","11",2012,238716
"52","Hombre","Arauco","11",2013,234204
"53","Hombre","Arauco","11",2014,224791
"54","Hombre","Arauco","11",2015,264402
"55","Hombre","Arica","12",2010,239950
"56","Hombre","Arica","12",2011,249201
"57","Hombre","Arica","12",2012,285148
"58","Hombre","Arica","12",2013,300000
"59","Hombre","Arica","12",2014,303127
"60","Hombre","Arica","12",2015,356665
"61","Hombre","Aysén","13",2010,254304
"62","Hombre","Aysén","13",2011,320523
"63","Hombre","Aysén","13",2012,391561
"64","Hombre","Aysén","13",2013,388971
"65","Hombre","Aysén","13",2014,349934
"66","Hombre","Aysén","13",2015,401483
"67","Hombre","Buin","14",2010,199876
"68","Hombre","Buin","14",2011,210000
"69","Hombre","Buin","14",2012,230000
"70","Hombre","Buin","14",2013,299906
"71","Hombre","Buin","14",2014,300000
"72","Hombre","Buin","14",2015,301222
"73","Hombre","Bulnes","15",2010,152876
"74","Hombre","Bulnes","15",2011,150123
"75","Hombre","Bulnes","15",2012,180131
"76","Hombre","Bulnes","15",2013,198557
"77","Hombre","Bulnes","15",2014,210450
"78","Hombre","Bulnes","15",2015,241065
"79","Hombre","Cabildo","16",2010,199863
"80","Hombre","Cabildo","16",2011,235347
"81","Hombre","Cabildo","16",2012,291171
"82","Hombre","Cabildo","16",2013,249056
"83","Hombre","Cabildo","16",2014,265007
"84","Hombre","Cabildo","16",2015,300017
"85","Hombre","Cabrero","18",2010,180876
"86","Hombre","Cabrero","18",2011,221562
"87","Hombre","Cabrero","18",2012,196731
"88","Hombre","Cabrero","18",2013,209207
"89","Hombre","Cabrero","18",2014,232051
"90","Hombre","Cabrero","18",2015,286953
"91","Hombre","Calama","19",2010,449215
"92","Hombre","Calama","19",2011,492368
"93","Hombre","Calama","19",2012,560346
"94","Hombre","Calama","19",2013,695391
"95","Hombre","Calama","19",2014,612814
"96","Hombre","Calama","19",2015,600077
"97","Hombre","Calbuco","20",2010,200196
"98","Hombre","Calbuco","20",2011,216306
"99","Hombre","Calbuco","20",2012,192866
"100","Hombre","Calbuco","20",2013,196887
"101","Hombre","Calbuco","20",2014,212235
"102","Hombre","Calbuco","20",2015,279845
"103","Hombre","Caldera","21",2010,179877
"104","Hombre","Caldera","21",2011,239853
"105","Hombre","Caldera","21",2012,250000
"106","Hombre","Caldera","21",2013,298867
"107","Hombre","Caldera","21",2014,325239
"108","Hombre","Caldera","21",2015,301126
"109","Hombre","Calera","22",2010,190680
"110","Hombre","Calera","22",2011,181418
"111","Hombre","Calera","22",2012,201805
"112","Hombre","Calera","22",2013,256347
"113","Hombre","Calera","22",2014,351390
"114","Hombre","Calera","22",2015,300156
"115","Hombre","Calera de Tango","23",2010,180176
"116","Hombre","Calera de Tango","23",2011,235633
"117","Hombre","Calera de Tango","23",2012,241349
"118","Hombre","Calera de Tango","23",2013,210285
"119","Hombre","Calera de Tango","23",2014,202085
"120","Hombre","Calera de Tango","23",2015,360864
"121","Hombre","Calle Larga","24",2010,160157
"122","Hombre","Calle Larga","24",2011,194600
"123","Hombre","Calle Larga","24",2012,220583
"124","Hombre","Calle Larga","24",2013,225305
"125","Hombre","Calle Larga","24",2014,252606
"126","Hombre","Calle Larga","24",2015,286161
"127","Hombre","Camarones","25",2010,89468
"128","Hombre","Camarones","25",2011,78881
"129","Hombre","Camarones","25",2012,79020
"130","Hombre","Camarones","25",2013,32044
"131","Hombre","Canela","27",2010,229777
"132","Hombre","Canela","27",2011,199376
"133","Hombre","Canela","27",2012,200902
"134","Hombre","Canela","27",2013,253476
"135","Hombre","Canela","27",2014,249667
"136","Hombre","Canela","27",2015,200000
"137","Hombre","Cañete","28",2010,150043
"138","Hombre","Cañete","28",2011,149521
"139","Hombre","Cañete","28",2012,152790
"140","Hombre","Cañete","28",2013,166004
"141","Hombre","Cañete","28",2014,134446
"142","Hombre","Cañete","28",2015,200000
