"","sex","icse","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Asalariado Sector Privado","Antofagasta","p21",2010,381489
"2","Hombre","Asalariado Sector Privado","Antofagasta","p21",2011,400000
"3","Hombre","Asalariado Sector Privado","Antofagasta","p21",2012,477670
"4","Hombre","Asalariado Sector Privado","Antofagasta","p21",2013,479633
"5","Hombre","Asalariado Sector Privado","Antofagasta","p21",2014,499906
"6","Hombre","Asalariado Sector Privado","Antofagasta","p21",2015,550010
"7","Hombre","Asalariado Sector Privado","Arauco","p82",2010,220000
"8","Hombre","Asalariado Sector Privado","Arauco","p82",2011,201388
"9","Hombre","Asalariado Sector Privado","Arauco","p82",2012,230034
"10","Hombre","Asalariado Sector Privado","Arauco","p82",2013,239701
"11","Hombre","Asalariado Sector Privado","Arauco","p82",2014,260000
"12","Hombre","Asalariado Sector Privado","Arauco","p82",2015,297307
"13","Hombre","Asalariado Sector Privado","Arica","p151",2010,249841
"14","Hombre","Asalariado Sector Privado","Arica","p151",2011,233895
"15","Hombre","Asalariado Sector Privado","Arica","p151",2012,265368
"16","Hombre","Asalariado Sector Privado","Arica","p151",2013,299868
"17","Hombre","Asalariado Sector Privado","Arica","p151",2014,300000
"18","Hombre","Asalariado Sector Privado","Arica","p151",2015,361314
"19","Hombre","Asalariado Sector Privado","Aysén","p112",2010,239419
"20","Hombre","Asalariado Sector Privado","Aysén","p112",2011,300735
"21","Hombre","Asalariado Sector Privado","Aysén","p112",2012,301353
"22","Hombre","Asalariado Sector Privado","Aysén","p112",2013,300407
"23","Hombre","Asalariado Sector Privado","Aysén","p112",2014,351621
"24","Hombre","Asalariado Sector Privado","Aysén","p112",2015,372970
"25","Hombre","Asalariado Sector Privado","Bíobío","p83",2010,196915
"26","Hombre","Asalariado Sector Privado","Bíobío","p83",2011,221063
"27","Hombre","Asalariado Sector Privado","Bíobío","p83",2012,219874
"28","Hombre","Asalariado Sector Privado","Bíobío","p83",2013,263733
"29","Hombre","Asalariado Sector Privado","Bíobío","p83",2014,270000
"30","Hombre","Asalariado Sector Privado","Bíobío","p83",2015,300077
"31","Hombre","Asalariado Sector Privado","Cachapoal","p61",2010,241367
"32","Hombre","Asalariado Sector Privado","Cachapoal","p61",2011,241160
"33","Hombre","Asalariado Sector Privado","Cachapoal","p61",2012,249530
"34","Hombre","Asalariado Sector Privado","Cachapoal","p61",2013,280000
"35","Hombre","Asalariado Sector Privado","Cachapoal","p61",2014,283045
"36","Hombre","Asalariado Sector Privado","Cachapoal","p61",2015,320087
"37","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2010,159891
"38","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2011,49840
"39","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2012,652932
"40","Hombre","Asalariado Sector Privado","Capitán Prat","p113",2013,90000
