"","sex","isco","year","lb_weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,138470
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,159616
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,170456
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,169663
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,199962
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,205055
"7","Hombre","Empleados de oficina",2010,266087
"8","Hombre","Empleados de oficina",2011,299041
"9","Hombre","Empleados de oficina",2012,329126
"10","Hombre","Empleados de oficina",2013,350000
"11","Hombre","Empleados de oficina",2014,389932
"12","Hombre","Empleados de oficina",2015,380000
"13","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la adm. pública y de empresas",2011,996804
"14","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empr",2012,1005621
"15","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empr",2013,1195468
"16","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empr",2014,1199775
"17","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empr",2015,1204890
"18","Hombre","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración publica y de empres",2010,999316
"19","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2010,219951
"20","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2011,250000
"21","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2012,281574
"22","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2013,300407
"23","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,303127
"24","Hombre","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2015,350095
"25","Hombre","Operadores de instalaciones y maquinas y montadores",2010,270000
"26","Hombre","Operadores de instalaciones y maquinas y montadores",2011,299041
"27","Hombre","Operadores de instalaciones y máquinas y montadores",2012,311743
"28","Hombre","Operadores de instalaciones y máquinas y montadores",2013,348178
"29","Hombre","Operadores de instalaciones y máquinas y montadores",2014,363393
"30","Hombre","Operadores de instalaciones y máquinas y montadores",2015,400000
"31","Hombre","Otros no identificados",2012,602922
"32","Hombre","Otros no identificados",2013,570720
"33","Hombre","Otros no identificados",2014,650000
"34","Hombre","Otros no identificados",2015,676036
"35","Hombre","Otros No identificados",2010,489487
"36","Hombre","Otros No identificados",2011,515617
"37","Hombre","Profesionales científicos e intelectuales",2010,800000
"38","Hombre","Profesionales científicos e intelectuales",2011,800000
"39","Hombre","Profesionales científicos e intelectuales",2012,890173
"40","Hombre","Profesionales científicos e intelectuales",2013,889279
"41","Hombre","Profesionales científicos e intelectuales",2014,974225
"42","Hombre","Profesionales científicos e intelectuales",2015,1000271
"43","Hombre","Técnicos y profesionales de nivel medio",2010,399726
"44","Hombre","Técnicos y profesionales de nivel medio",2011,448562
"45","Hombre","Técnicos y profesionales de nivel medio",2012,456078
"46","Hombre","Técnicos y profesionales de nivel medio",2013,500302
"47","Hombre","Técnicos y profesionales de nivel medio",2014,501172
"48","Hombre","Técnicos y profesionales de nivel medio",2015,588075
"49","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2010,210564
"50","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2011,243788
"51","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2012,258117
"52","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2013,298867
"53","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2014,299944
"54","Hombre","Trabajadores de los servicios y vendedores de comercios y mercados",2015,301222
"55","Hombre","Trabajadores no calificados",2010,174937
"56","Hombre","Trabajadores no calificados",2011,194673
"57","Hombre","Trabajadores no calificados",2012,201124
"58","Hombre","Trabajadores no calificados",2013,230000
"59","Hombre","Trabajadores no calificados",2014,249953
"60","Hombre","Trabajadores no calificados",2015,260070
"61","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2010,49971
"62","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2011,60000
"63","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2012,47268
"64","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2013,50066
"65","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2014,64570
"66","Mujer","Agricultores y trabajadores calificados agropecuarios y pesqueros",2015,71701
"67","Mujer","Empleados de oficina",2010,227444
"68","Mujer","Empleados de oficina",2011,250000
"69","Mujer","Empleados de oficina",2012,281574
"70","Mujer","Empleados de oficina",2013,298867
"71","Mujer","Empleados de oficina",2014,300000
"72","Mujer","Empleados de oficina",2015,340039
"73","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la adm. pública y de empresas",2011,599978
"74","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empr",2012,611012
"75","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empr",2013,686160
"76","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empr",2014,795095
"77","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración pública y de empr",2015,901509
"78","Mujer","Miembros del poder ejecutivo y de los cuerpos legislativos y personal directivo de la administración publica y de empres",2010,400000
"79","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2010,55882
"80","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2011,65260
"81","Mujer","Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2012,60271
