"","sex","isco","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2010,170166
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2011,50000
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2012,270318
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2013,130000
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2014,71759
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta","p21",2015,330073
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2010,75847
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2011,67679
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2012,130347
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2013,90073
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2014,86893
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arauco","p82",2015,150018
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2010,165565
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2011,164378
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2012,179500
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2013,230490
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2014,259356
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica","p151",2015,331760
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2010,180613
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2011,193649
"21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2012,256144
"22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2013,222178
"23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2014,235853
"24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén","p112",2015,200815
"25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2010,144255
"26","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2011,89075
"27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2012,147545
"28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2013,97759
"29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2014,99981
"30","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío","p83",2015,49706
"31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cachapoal","p61",2010,175295
"32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cachapoal","p61",2011,212678
"33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Cachapoal","p61",2012,189679
