"","sex","isco","geography_name","geography_id","year","lb_weighted_median"
"1","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2010,220000
"2","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2011,105000
"3","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2012,245459
"4","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2013,126818
"5","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2014,170985
"6","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Antofagasta",2,2015,319165
"7","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2010,61585
"8","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2011,60290
"9","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2012,72637
"10","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2013,63112
"11","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2014,91651
"12","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Araucanía",9,2015,96827
"13","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2010,150147
"14","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2011,154549
"15","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2012,159292
"16","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2013,223269
"17","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2014,249953
"18","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Arica y Parinacota",15,2015,325669
"19","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2010,149364
"20","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2011,146733
"21","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2012,135546
"22","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2013,205121
"23","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2014,169625
"24","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Atacama",3,2015,227965
"25","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2010,191315
"26","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2011,194246
"27","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2012,208234
"28","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2013,198359
"29","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2014,246255
"30","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Aysén",11,2015,251032
"31","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2010,100965
"32","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2011,115546
"33","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2012,170000
"34","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2013,119547
"35","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2014,120000
"36","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Bíobío",8,2015,167054
"37","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2010,129547
"38","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2011,141409
"39","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2012,116087
"40","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2013,150203
"41","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2014,197903
"42","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Coquimbo",4,2015,185166
"43","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2010,106444
"44","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2011,152299
"45","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2012,132742
"46","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2013,182855
"47","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2014,159625
"48","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Lagos",10,2015,200786
"49","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2010,87835
"50","Hombre","Agricultores y trabajadores calificados agropecuarios y pesqueros","Los Ríos",14,2011,100472
